Close,Hi,Low
,TATAELXSI,
1543.750972,1428.948276,1658.553669
1545.340292,1369.621189,1721.059395
1544.053179,1326.794191,1761.312168
,TATAGLOBAL,
151.5644385,145.3314321,157.7974449
151.5635573,142.8109649,160.3161497
151.3098883,140.5020956,162.1176811
,TATAMOTORS,
441.2815855,415.4272347,467.1359364
441.0857422,404.7570976,477.4143867
440.4295083,395.9163642,484.9426523
,TATAMTRDVR,
271.6842634,254.4568285,288.9116983
271.523309,246.9514341,296.0951839
270.4386512,240.3723763,300.5049261
,TATAPOWER,
84.16563888,80.98646956,87.3448082
84.15625776,79.68324845,88.62926707
84.13572053,78.67912432,89.59231673
,TATASTEEL,
450.2908929,431.1158891,469.4658967
450.4703542,423.2949467,477.6457618
450.9644037,418.0262097,483.9025977
,TCS,
2314.160717,2231.569464,2396.75197
2317.123524,2196.41897,2437.828078
2319.384283,2170.202911,2468.565655
,TECHM,
426.9227113,374.347421,479.4980016
432.9999789,357.7199461,508.2800117
432.6469322,348.5967458,516.6971187
,TITAN,
478.8227605,461.4377517,496.2077692
479.168517,456.0466067,502.2904273
478.7830854,451.1589258,506.4072449
,TORNTPHARM,
1434.961319,1368.531849,1501.390789
1434.93698,1342.715284,1527.158676
1435.322746,1324.425168,1546.220325
,TORNTPOWER,
219.6547986,208.1370966,231.1725007
219.9037046,203.5631244,236.2442848
219.5579141,199.1813596,239.9344686
,TV18BRDCST,
41.99506438,39.35952253,44.63060624
41.91095981,38.17949725,45.64242236
41.90229568,37.42327843,46.38131293
,TVSMOTOR,
482.8568994,467.4886239,498.2251749
483.6168318,462.3196922,504.9139715
484.3920451,458.770273,510.0138172
,UBL,
752.1010669,707.5966934,796.6054405
752.2617766,691.7949789,812.7285742
752.3713308,677.7941196,826.948542
,UJJIVAN,
402.0073199,371.0513498,432.9632899
402.1932727,358.7483337,445.6382117
401.7532065,347.8363802,455.6700327
,ULTRACEMCO,
3976.461849,3840.728562,4112.195136
3976.222749,3782.123236,4170.322263
3978.057838,3740.868655,4215.247021
,UNIONBANK,
157.3742362,146.653312,168.0951604
157.7251364,142.1196418,173.3306311
157.7661277,137.6513648,177.8808905
,UPL,
779.9216975,750.8337683,809.0096266
780.2104423,739.6460673,820.7748173
780.2042463,730.9541705,829.4543221
,VEDL,
232.1672973,221.5413452,242.7932494
232.3422746,217.4555254,247.2290238
232.1828507,213.8107556,250.5549459
,VOLTAS,
413.4949888,396.3599282,430.6300494
414.6656284,390.3587922,438.9724645
414.119323,384.8542654,443.3843807
,WIPRO,
491.798082,473.8609438,509.7352203
492.4211809,467.1823948,517.659967
491.4664916,461.0182572,521.9147261
,WOCKPHARMA,
740.0976781,644.0833246,836.1120315
740.1798016,596.7809952,883.578608
740.1581772,562.2416993,918.0746552
,YESBANK,
1541.769758,1492.879256,1590.660259
1542.268668,1473.621735,1610.915602
1544.11233,1459.183928,1629.040732
,ZEEL,
529.1566919,509.4334611,548.8799227
528.8418939,502.3198083,555.3639794
528.9594268,496.9420384,560.9768152
