"Date","BATAINDIA.NS.Open","BATAINDIA.NS.High","BATAINDIA.NS.Low","BATAINDIA.NS.Close","BATAINDIA.NS.Volume","BATAINDIA.NS.Adjusted"
2016-08-24,543,547.4,534,543.4,413100,543.4
2016-08-25,543,546.8,530.6,536.65,428300,536.65
2016-08-26,533.1,541,532.05,533.75,175400,533.75
2016-08-29,534,538.15,525.1,532.75,270600,532.75
2016-08-30,532.75,540.75,532.6,535.45,412700,535.45
2016-08-31,536,538.6,532.6,534.45,654500,534.45
2016-09-01,534.45,547.6,532.45,537.85,581200,537.85
2016-09-02,539.2,543.8,536.9,538.15,199500,538.15
2016-09-05,538.15,538.15,538.15,538.15,0,538.15
2016-09-06,540,540.25,532.6,534.55,338900,534.55
2016-09-07,536.95,543.9,534,537.35,370600,537.35
2016-09-08,535.1,542.35,535.1,538.5,197300,538.5
2016-09-09,539,548,537,542.85,518300,542.85
2016-09-12,538.9,538.9,526,530,457400,530
2016-09-13,530,530,530,530,0,530
2016-09-14,528.8,528.8,511.05,525.95,715800,525.95
2016-09-15,526.05,534.3,520.05,532.05,534200,532.05
2016-09-16,533.3,537.2,524.45,526.25,508800,526.25
2016-09-19,532,532,519.1,523.35,618200,523.35
2016-09-20,523,527,519,521.55,417600,521.55
2016-09-21,520,520,508.35,510.3,615000,510.3
2016-09-22,512.5,516.4,507.65,511.5,897300,511.5
2016-09-23,512,520.7,502.45,506.65,867800,506.65
2016-09-26,506,506,498,501.7,1052100,501.7
2016-09-27,501.9,507.05,498,499.9,455900,499.9
2016-09-28,499.95,505.4,499.5,503.35,280000,503.35
2016-09-29,506,508.5,475.85,483.35,831200,483.35
2016-09-30,475.25,496.65,475.25,490.3,458300,490.3
2016-10-03,493,501.7,491.15,496.55,237300,496.55
2016-10-04,498,499.6,487.15,489.05,353900,489.05
2016-10-05,490,496.35,485.5,492.3,447600,492.3
2016-10-06,494,496.5,483,486.65,294700,486.65
2016-10-07,487,496.2,485.45,494.65,534800,494.65
2016-10-10,497,507.5,495.25,501.05,567100,501.05
2016-10-11,501.05,501.05,501.05,501.05,0,501.05
2016-10-12,501.05,501.05,501.05,501.05,0,501.05
2016-10-13,500.75,505.75,492.3,496.2,536100,496.2
2016-10-14,495,498.45,484.75,486.8,714400,486.8
2016-10-17,485,486.8,480.6,482.55,279900,482.55
2016-10-18,485,490.6,482.25,488.45,274300,488.45
2016-10-19,491.5,495.9,486.5,495.15,302000,495.15
2016-10-20,497.4,501.65,489,494.9,462400,494.9
2016-10-21,494.5,497.8,491.1,492.55,238200,492.55
2016-10-24,495.5,496.35,487.2,488.5,234500,488.5
2016-10-25,491,491.95,480.6,481.9,437800,481.9
2016-10-26,482,485.9,479,481.1,414700,481.1
2016-10-27,481.1,487.35,469.8,482.95,598300,482.95
2016-10-28,483,486,479.25,481.3,264900,481.3
