"Date","AXISBANK.NS.Open","AXISBANK.NS.High","AXISBANK.NS.Low","AXISBANK.NS.Close","AXISBANK.NS.Volume","AXISBANK.NS.Adjusted"
2016-03-09,409,418.2,407.5,416.85,8437200,412.99
2016-03-10,417.5,420,410.6,413,5631500,409.17
2016-03-11,413.85,421.95,408.25,412.8,8348400,408.98
2016-03-14,417.6,422.25,413.1,415.45,6963600,411.6
2016-03-15,417.5,421.75,416.1,418.85,8188500,414.97
2016-03-16,419,426.35,411,424.6,8290000,420.67
2016-03-17,430,435,425.5,428.15,11080900,424.18
2016-03-18,429.95,437.6,429.1,436.1,6675900,432.06
2016-03-21,439,445.5,437.9,444.5,8910500,440.38
2016-03-22,447,447.6,434.3,441.25,8004800,437.16
2016-03-23,439.25,441.25,435.1,437.5,5018300,433.45
2016-03-24,437.5,437.5,437.5,437.5,0,433.45
2016-03-25,437.5,437.5,437.5,437.5,0,433.45
2016-03-28,437.85,438.6,419.8,422.9,9200900,418.98
2016-03-29,423.9,432.9,422.4,429.45,6674900,425.47
2016-03-30,433.3,445.7,432.1,444.25,9551100,440.13
2016-03-31,443.7,449,438.2,444.15,12671900,440.04
2016-04-01,440.9,452,440.05,449.9,8827700,445.73
2016-04-04,451.5,451.55,442.1,444.75,5347500,440.63
2016-04-05,443.4,449.5,431,432.6,12100200,428.59
2016-04-06,433.3,436.3,423.1,424.65,7457800,420.72
2016-04-07,427.75,431.8,424.9,426.65,5374000,422.7
2016-04-08,426.7,427.35,420.05,421.6,6881300,417.69
2016-04-11,423.9,431.9,417.5,429.8,6221700,425.82
2016-04-12,430.5,436.45,429.4,434.05,5586200,430.03
2016-04-13,440.05,445.3,438.1,440.5,9091200,436.42
2016-04-14,440.5,440.5,440.5,440.5,0,436.42
2016-04-15,440.5,440.5,440.5,440.5,0,436.42
2016-04-18,444.95,446.05,437.4,445.25,6674300,441.13
2016-04-19,445.25,445.25,445.25,445.25,0,441.13
2016-04-20,446.1,460.65,444.35,459.1,10775600,454.85
2016-04-21,463.8,472.75,463,467.95,11717600,463.61
2016-04-22,465.6,478.5,462.1,475.85,7323300,471.44
2016-04-25,474,477.35,465,469.9,7474900,465.55
2016-04-26,470.1,484.9,463.65,480.2,12685800,475.75
2016-04-27,461.3,473.5,458.05,465.5,29544800,461.19
2016-04-28,463,471.85,461.55,468.05,16457400,463.71
2016-04-29,466.75,477.45,465.05,472.4,10883400,468.02
2016-05-02,474.35,479,468.45,471.8,9439300,467.43
2016-05-03,473.9,475,466.3,470.55,8097900,466.19
2016-05-04,466,470,460.25,462.45,8777900,458.17
2016-05-05,463,467.3,458.45,461.05,8736100,456.78
2016-05-06,461,464.05,459,461.45,4804800,457.17
2016-05-09,465.8,478,461.65,477.1,10228000,472.68
2016-05-10,479,489,478.15,487.95,12131800,483.43
2016-05-11,482.6,499.35,480.25,498.2,21878700,493.58
2016-05-12,498.6,506.9,490.6,492.55,13528200,487.99
2016-05-13,493.7,496.2,486.5,490.65,7426100,486.1
2016-05-16,492,493.65,477.25,486.45,5809800,481.94
2016-05-17,490.7,505.5,490.3,503.35,8982400,498.69
2016-05-18,498.5,503,495.25,501.1,8241700,496.46
2016-05-19,501.75,501.75,489,490.5,5989200,485.96
2016-05-20,493.95,495.7,488.1,490.6,5012900,486.05
2016-05-23,495.4,495.4,485,486.5,4700900,481.99
2016-05-24,483.25,490.95,482,488.95,4838900,484.42
2016-05-25,494,503,493.35,502.15,7144100,497.5
2016-05-26,502.5,523,500.25,519,11207900,514.19
2016-05-27,520.25,525,509,512.4,7699400,507.65
2016-05-30,513.95,522.05,512.5,513.7,4892100,508.94
2016-05-31,515,518.7,510.7,515.2,5706700,510.43
2016-06-01,524.85,529.45,510,511.95,9559400,507.21
2016-06-02,510.5,525,506.75,524.35,7013200,519.49
2016-06-03,527.15,544.95,527,542.65,13581200,537.62
