"Date","KOTAKBANK.NS.Open","KOTAKBANK.NS.High","KOTAKBANK.NS.Low","KOTAKBANK.NS.Close","KOTAKBANK.NS.Volume","KOTAKBANK.NS.Adjusted"
2016-02-26,614,621.4,606.6,615.75,586400,615.3527
2016-02-29,615,640.35,585.75,630.4,2099300,629.9933
2016-03-01,620,641.2,620,638.45,1980400,638.0381
2016-03-02,647.25,659.95,641.7,656.3,1243600,655.8766
2016-03-03,658,661.5,649.95,657.65,922400,657.2257
2016-03-04,658,669.85,645,665.65,716400,665.2206
2016-03-07,665.65,665.65,665.65,665.65,0,665.2206
2016-03-08,664.95,665.8,648.05,650.55,663500,650.1303
2016-03-09,649.95,664.15,647.7,659.9,812800,659.4743
2016-03-10,670,670,651.1,654.6,3566700,654.1777
2016-03-11,657,659.1,640.5,642.65,4293600,642.2354
2016-03-14,649.9,650.1,632.55,636.8,2566100,636.3891
2016-03-15,637.9,643,632.05,639.5,2150900,639.0874
2016-03-16,636.5,653.35,635.5,651.25,2153700,650.8298
2016-03-17,655.9,657.25,644.2,651.25,5790500,650.8298
2016-03-18,650,660.95,648.8,658.8,1939100,658.375
2016-03-21,660.05,665,652.6,663.7,1164300,663.2718
2016-03-22,660.05,669.85,655,666.3,1179500,665.8701
2016-03-23,666,675.8,655.1,659.95,3269500,659.5242
2016-03-24,659.95,659.95,659.95,659.95,0,659.5242
2016-03-25,659.95,659.95,659.95,659.95,0,659.5242
2016-03-28,664.45,677.9,660.55,669.6,2904800,669.168
2016-03-29,670.05,682,668.95,671.5,1966300,671.0668
2016-03-30,675.05,686.5,665.5,683.85,2827400,683.4088
2016-03-31,677.1,694.9,677.1,680.65,3982100,680.2109
2016-04-01,682,686.65,677.15,679.9,1470300,679.4614
2016-04-04,681.5,689.3,674.25,687.3,2059900,686.8566
2016-04-05,684,684.75,664.75,668.75,2892500,668.3185
2016-04-06,669,674.3,664.3,668,1683700,667.569
2016-04-07,667,668,655.5,662.5,1619400,662.0726
2016-04-08,658.1,670.4,658.1,665.35,1007700,664.9207
2016-04-11,670.9,674.95,660.3,671.3,1990800,670.8669
2016-04-12,669.85,682.05,669.75,677.35,1185600,676.913
2016-04-13,687,699.95,683.2,692.35,2437700,691.9033
2016-04-14,692.35,692.35,692.35,692.35,0,691.9033
2016-04-15,692.35,692.35,692.35,692.35,0,691.9033
2016-04-18,691.1,691.1,657.7,683.35,1638200,682.9091
2016-04-19,683.35,683.35,683.35,683.35,0,682.9091
2016-04-20,687.4,692,680.2,687.15,1087600,686.7067
2016-04-21,689,689.6,683.15,686.7,2137400,686.257
