"Date","LICHSGFIN.NS.Open","LICHSGFIN.NS.High","LICHSGFIN.NS.Low","LICHSGFIN.NS.Close","LICHSGFIN.NS.Volume","LICHSGFIN.NS.Adjusted"
2016-01-18,468,478.5,455.55,463.65,2716000,453.94
2016-01-19,466,472.2,461,469.8,1909400,459.96
2016-01-20,463.9,464.65,450.1,460.2,2290900,450.56
2016-01-21,467.3,476,463.3,467.45,1738600,457.66
2016-01-22,476,488.75,471.1,483.95,1694300,473.81
2016-01-25,490,490,481.05,482.25,888300,472.15
2016-01-26,482.25,482.25,482.25,482.25,0,472.15
2016-01-27,485,485.7,473.7,480.15,2486400,470.09
2016-01-28,480,480,471.45,474.55,1983800,464.61
2016-01-29,475,478.35,469.4,475.9,2324600,465.93
2016-02-01,477.8,479.85,466.2,468.25,1673500,458.44
2016-02-02,465.25,471.8,447.95,450.95,2315000,441.5
2016-02-03,442.95,448.4,436.15,442.8,1938700,433.52
2016-02-04,447.4,451.4,432.35,437.55,1494700,428.38
2016-02-05,436.15,451,436.15,447.5,1525100,438.12
2016-02-08,449,453.2,441.9,444.2,1543600,434.89
2016-02-09,437,438.55,423,424.3,2196800,415.41
2016-02-10,421.45,434.8,415,430.05,2385400,421.04
2016-02-11,427,429.85,404.25,406.6,2295400,398.08
2016-02-12,409,413.5,393.3,408.8,3406300,400.24
2016-02-15,416,432.8,414.2,427.95,1718200,418.98
2016-02-16,428.25,431.1,408.85,411.75,2320300,403.12
2016-02-17,413.85,414,402.05,406.05,4262800,397.54
2016-02-18,411.7,417,405.1,408.7,2659000,400.14
2016-02-19,410,421.2,406.75,419.55,2167100,410.76
2016-02-22,421.95,425.6,416.6,424,2833200,415.12
2016-02-23,425.5,428.4,414.35,415.9,2411900,407.19
2016-02-24,410,412.5,396.05,397.35,3099700,389.03
2016-02-25,398.6,398.7,388.65,391.35,3110300,383.15
2016-02-26,396,409.9,396,408.35,2609000,399.8
2016-02-29,413,431.9,404.4,421.85,4999700,413.01
2016-03-01,423.9,441.85,423.5,439.2,3519900,430
2016-03-02,445,458,444,452.5,3303500,443.02
2016-03-03,454.1,454.5,444.3,446.15,2132500,436.8
2016-03-04,448,452.35,440.05,448.2,1770400,438.81
2016-03-07,448.2,448.2,448.2,448.2,0,438.81
2016-03-08,448.2,455.5,444.4,448.8,1925300,439.4
2016-03-09,448.9,464,445.75,460.95,2372500,451.29
2016-03-10,467,467.45,456.65,458.3,1434100,448.7
2016-03-11,459.3,467.4,458,462.2,1828700,452.52
2016-03-14,465,467,454,456.2,1761000,446.64
2016-03-15,456.9,459.55,451.6,453.95,1288500,444.44
2016-03-16,454.75,455.95,438.15,445.75,2648800,436.41
2016-03-17,448.5,457.6,447.7,450.6,1582900,441.16
2016-03-18,452.7,464.9,446.65,463.6,2009100,453.89
2016-03-21,465.25,472.95,461.1,470.95,1361800,461.08
2016-03-22,471.5,479.85,469.85,477.95,2514100,467.94
2016-03-23,479,480,473.1,477.75,1944500,467.74
2016-03-24,477.75,477.75,477.75,477.75,0,467.74
2016-03-25,477.75,477.75,477.75,477.75,0,467.74
2016-03-28,477.75,483.45,467.65,471.3,1736100,461.43
2016-03-29,473.6,481.8,466.6,476.85,1506700,466.86
2016-03-30,481.95,489,477,488.15,2455900,477.92
2016-03-31,489.9,495.4,482.05,493.15,2989900,482.82
2016-04-01,489.2,493.5,483.25,485.6,1707600,475.43
2016-04-04,488,493,484.65,486.7,1288500,476.5
2016-04-05,483.5,485,465,467.6,3119200,457.8
2016-04-06,469.95,472.7,463.15,467.65,2130300,457.85
2016-04-07,468,471.8,461.6,464.75,1571800,455.01
2016-04-08,467.25,479,464.4,476.8,2032500,466.81
2016-04-11,479.7,482.3,473,476.9,2114700,466.91
2016-04-12,478,482.3,475.75,478.4,1227100,468.38
2016-04-13,481.9,487,479.05,480.75,2656000,470.68
2016-04-14,480.75,480.75,480.75,480.75,0,470.68
2016-04-15,480.75,480.75,480.75,480.75,0,470.68
2016-04-18,484.9,490,479.5,485.45,4573600,475.28
2016-04-19,485.45,485.45,485.45,485.45,0,475.28
2016-04-20,486.9,488.45,465.6,466.9,5013300,457.12
2016-04-21,468.9,472.45,460.5,464.85,3835800,455.11
2016-04-22,464.9,467.9,458.65,460.5,3029900,450.85
2016-04-25,459,459.7,453.2,456.85,2088400,447.28
2016-04-26,455,463.15,453.95,461,2895500,451.34
2016-04-27,463,466.9,461.4,462.55,1909200,452.86
2016-04-28,463.8,467.5,453.3,456.75,2482700,447.18
2016-04-29,458,464.4,455.7,462.3,2167500,452.61
2016-05-02,459.4,463.5,458.15,460.35,1014700,450.71
2016-05-03,462,465,452.2,454.85,1928500,445.32
2016-05-04,451.7,456,447.65,451.35,1499600,441.89
2016-05-05,453.4,455.8,442,449.4,2237500,439.99
2016-05-06,449.4,453.5,445.55,450.2,1031800,440.77
2016-05-09,453.9,464.3,452.35,462.7,1564700,453.01
2016-05-10,462.3,466,459,460.35,1682700,450.71
2016-05-11,455.9,458.85,448.8,452.1,2255000,442.63
2016-05-12,451.45,472,451.45,469.2,2544400,459.37
2016-05-13,469,471,457.25,458.7,2048100,449.09
2016-05-16,458.55,464.45,456.1,463,1148800,453.3
2016-05-17,464.1,468.9,460.3,462.1,1298500,452.42
2016-05-18,459.9,463,454.6,461.5,1227500,451.83
2016-05-19,461,465.6,452,454.7,1186000,445.17
2016-05-20,456,458.05,443.45,444.45,1573000,435.14
2016-05-23,448,448.7,434,435.2,1875800,426.08
2016-05-24,435.25,438,431.1,434.4,1658400,425.3
2016-05-25,439,445.2,437.5,443.35,2339700,434.06
2016-05-26,445.1,461.5,444.5,457.4,4184900,447.82
2016-05-27,459.4,465,453.6,461.95,2778100,452.27
2016-05-30,463.9,470.4,460.55,468.35,1544900,458.54
2016-05-31,469.9,472.7,466,470.75,2485900,460.89
2016-06-01,470.3,470.5,463.25,467.7,1212400,457.9
2016-06-02,467.5,476,466.15,473.95,1547400,464.02
2016-06-03,476.95,479.9,471.3,476,2031100,466.03
2016-06-06,476,476,465.05,467.15,1288000,457.36
2016-06-07,468.55,476.4,465.95,474.45,2153000,464.51
2016-06-08,477.8,481.8,472.3,480.2,1443400,470.14
2016-06-09,481.95,483,474.4,475.6,1701700,465.64
2016-06-10,477,480.4,471.6,473.3,1136600,463.38
2016-06-13,469.9,472,462.5,470.6,1173000,460.74
2016-06-14,470,472.1,464.5,469.4,1096500,459.57
2016-06-15,470.8,479.1,468.75,477.45,1012000,467.45
2016-06-16,479.4,479.4,464.4,469.6,1543600,459.76
2016-06-17,472.3,476.1,470.05,474.65,1164500,464.71
2016-06-20,471.1,482,469.3,480.5,1014300,470.43
2016-06-21,481.55,489.3,481.1,485.05,2829000,474.89
2016-06-22,485,487.6,480.35,483.95,1085800,473.81
2016-06-23,485,489.8,483.95,488.95,1854800,478.71
2016-06-24,477.65,480.2,465.5,478,1596400,467.99
2016-06-27,476,485.35,474.6,482.35,1483200,472.24
2016-06-28,483.9,500.75,483.05,497.65,2422000,487.22
2016-06-29,500,501.65,488.75,490.4,2760000,480.13
2016-06-30,493,497.35,490.45,495,1289500,484.63
2016-07-01,495.05,504.65,491.1,498.75,3320500,488.3
2016-07-04,502.7,507.15,499.6,500.85,1488000,490.36
2016-07-05,502,504.85,494.9,498.75,1358700,488.3
2016-07-06,498.75,498.75,498.75,498.75,0,488.3
2016-07-07,499.7,501.55,495.25,498.05,1135500,487.62
2016-07-08,498,513.75,496.7,511.15,3834600,500.44
2016-07-11,518.2,529.9,518.1,523.7,4677300,512.73
2016-07-12,526,533.4,518.7,520.7,3768700,509.79
2016-07-13,522.55,528,509.8,511.6,3897200,500.88
2016-07-14,513.7,514.8,504.6,506.75,2426000,496.13
2016-07-15,510,530,503.4,525.45,9073200,514.44
2016-07-18,529.8,537.9,515.4,520.2,3628800,509.3
2016-07-19,522.7,522.7,505.65,507.95,2946600,497.31
2016-07-20,510,510.4,501.1,504.15,3045600,493.59
2016-07-21,506.75,512,501.15,502.8,2375700,492.27
2016-07-22,504.7,512.4,502.1,510.9,1430600,500.2
2016-07-25,511.5,519.65,510.6,518.55,1906500,507.69
2016-07-26,519,524.35,510.15,512.7,1581900,501.96
2016-07-27,513.95,521.75,512.2,518.45,3196100,507.59
2016-07-28,516.95,522.4,510,514.1,2189700,503.33
2016-07-29,514.2,522.4,511.5,520,1081500,509.11
2016-08-01,522.05,524.8,515.6,521.9,1338800,510.97
2016-08-02,522,522.5,512,513.45,2092800,502.69
2016-08-03,514.8,514.95,498,500.4,1549300,489.92
2016-08-04,502.25,513,495.4,511.7,1456500,500.98
2016-08-05,516,521,512.8,518.65,1257200,507.78
2016-08-08,520.1,527.2,517.3,526,1564800,520.5
2016-08-09,522.85,526.9,517.4,520.75,1982200,520.75
2016-08-10,520.9,521.6,509.2,517.2,2207500,517.2
2016-08-11,512.25,526.3,510.75,522.7,2618000,522.7
2016-08-12,522,557.9,522,554.95,6377100,554.95
2016-08-15,554.95,554.95,554.95,554.95,0,554.95
2016-08-16,555,555.9,545.2,548.35,1982900,548.35
2016-08-17,548,550.8,541.35,547.8,1565400,547.8
2016-08-18,549.2,562.8,549.2,555.25,1335400,555.25
2016-08-19,554.8,558.75,548,553.9,1248100,553.9
2016-08-22,553,554,543.95,550.6,875500,550.6
2016-08-23,549.9,553.75,544.8,551.9,1287900,551.9
2016-08-24,552.5,557.8,551.1,555.1,2907200,555.1
2016-08-25,555.65,567,555.1,557.4,1959400,557.4
2016-08-26,559,579.65,558.5,577.85,3495100,577.85
2016-08-29,579.85,579.85,566.5,571.75,1447700,571.75
2016-08-30,574,582.15,571.6,572.75,1157100,572.75
2016-08-31,575.15,580.4,568.5,573.05,2082100,573.05
2016-09-01,573,578.75,570,572.55,1108600,572.55
2016-09-02,572.55,583.55,572.55,574.95,1824700,574.95
2016-09-05,574.95,574.95,574.95,574.95,0,574.95
