"Date","SUNTV.NS.Open","SUNTV.NS.High","SUNTV.NS.Low","SUNTV.NS.Close","SUNTV.NS.Volume","SUNTV.NS.Adjusted"
2016-04-26,356,359.95,353,356.65,226700,351.847
2016-04-27,357.1,359.7,354.6,356.45,284300,351.65
2016-04-28,357.4,359.6,352.65,355.1,408100,350.318
2016-04-29,355.55,374.2,355.5,372.45,1384300,367.434
2016-05-02,375,378,367.3,369.65,587900,364.672
2016-05-03,371.5,374.6,363.1,364.5,373100,359.591
2016-05-04,364.5,366.05,350,352.4,484700,347.654
2016-05-05,353,358.8,350.2,355.35,394300,350.565
2016-05-06,354.7,357.25,350.5,351.4,275400,346.668
2016-05-09,352,366.6,352,363.85,416500,358.95
2016-05-10,360,366.6,356.2,360.65,338300,355.793
2016-05-11,356.55,371,352.2,369.9,690700,364.919
2016-05-12,369.5,384.3,365.25,381.8,711900,376.658
2016-05-13,382.15,397.8,381.15,391.15,1657900,385.882
2016-05-16,391.05,400.55,391.05,394.05,1006600,388.743
2016-05-17,407,436.8,404.05,433,7074900,427.169
2016-05-18,434,434,417.4,427.45,2664000,421.694
2016-05-19,429,429,368.3,371,10755400,366.004
2016-05-20,366.5,380.5,364.75,374.7,3560000,369.654
2016-05-23,374.5,380,364.5,365.95,1543400,361.022
2016-05-24,367.4,371.15,358,359.85,1128500,355.004
2016-05-25,364.85,370.7,362.3,369.35,1183100,364.376
2016-05-26,371,380.1,364.3,378.1,1281100,373.008
2016-05-27,385.1,388,378.1,382.3,1128600,377.152
2016-05-30,387,387,373.5,378.8,791000,373.699
2016-05-31,378.1,381.65,370.8,374.95,915300,369.901
2016-06-01,380,380,362.4,364.1,1219100,359.197
2016-06-02,361,371.1,356,369,1280700,364.031
2016-06-03,371,372.55,361,362.8,735800,357.914
2016-06-06,362,368.35,360.4,362.75,398500,357.865
2016-06-07,363.55,364.4,357.8,360.35,459200,355.497
2016-06-08,359,360.35,355.15,358.75,652600,353.919
2016-06-09,359,362.9,356.6,358.3,380600,353.475
2016-06-10,359.1,375.05,356.65,369.45,1880200,364.475
2016-06-13,367.5,369,361.65,364.9,487600,359.986
2016-06-14,368,374.8,363.5,373.55,1123000,368.519
2016-06-15,379.75,385.95,374.5,380.5,2268100,375.376
2016-06-16,379.5,381.85,364.65,374.7,1526800,369.654
2016-06-17,377,380.6,368.2,370.1,943600,365.116
2016-06-20,367.4,375,366,370.95,769600,365.955
2016-06-21,374.7,375,361.35,365.15,1098200,360.233
2016-06-22,365.7,370.55,363.35,366.2,453600,361.268
2016-06-23,365.25,367.05,360.6,362.75,534200,357.865
2016-06-24,358,358,335.1,349.5,703700,344.793
2016-06-27,348,357.55,343.05,354.8,705600,350.022
2016-06-28,353.5,359.5,353,355.35,493000,350.565
2016-06-29,358,359.45,350.35,356.2,946600,351.403
2016-06-30,354.15,366.9,354.15,363.95,1191800,359.049
2016-07-01,364,372.9,364,370.15,1057600,365.165
2016-07-04,371,375.5,369.45,372.95,763000,367.928
2016-07-05,372.95,376.95,369.4,370.75,1001700,365.757
2016-07-06,370.75,370.75,370.75,370.75,0,365.757
2016-07-07,371.25,383.4,365.65,381.6,1233800,376.461
2016-07-08,381,383.95,374.5,379,890300,373.896
2016-07-11,381,385.9,378,383.5,715000,378.335
2016-07-12,384,385.35,374.35,376.7,816500,371.627
2016-07-13,372.3,375,367.5,373.35,565900,368.322
2016-07-14,374,393.8,371.05,390.4,1473700,385.143
2016-07-15,394,397.05,385.35,390.5,1505800,385.241
2016-07-18,386.5,393.15,378.1,381.7,611200,376.56
2016-07-19,382.2,387.35,379,382.85,575000,377.694
2016-07-20,386,402.75,384.9,400.55,2139200,395.156
2016-07-21,398,423.6,398,407.5,5963600,402.012
2016-07-22,410,428,410,425.55,3132500,419.819
2016-07-25,425,436.9,418.4,434,2340400,428.155
