"Date","IBREALEST.NS.Open","IBREALEST.NS.High","IBREALEST.NS.Low","IBREALEST.NS.Close","IBREALEST.NS.Volume","IBREALEST.NS.Adjusted"
2016-06-15,96.8,97.4,94.8,95.6,7011700,95.6
2016-06-16,95.4,96.85,92.95,95.05,10323000,95.05
2016-06-17,95.95,99.15,95.8,98.45,16104400,98.45
2016-06-20,98,99.85,96.25,97,14723600,97
2016-06-21,96.9,97,93.25,95,11923300,95
2016-06-22,95.35,97.45,92.5,93.5,13665000,93.5
2016-06-23,93.35,93.65,90.3,92.4,10542000,92.4
2016-06-24,87.9,87.9,77.1,86.25,27099700,86.25
2016-06-27,86.35,91.45,86.35,89.05,18258400,89.05
2016-06-28,89.6,89.9,86.8,87.55,9527500,87.55
2016-06-29,87.9,90.9,87.85,88.9,12538800,88.9
2016-06-30,90.05,94.15,89.6,93.2,20457400,93.2
2016-07-01,94.35,97.7,94.1,96.9,16946000,96.9
2016-07-04,97.6,99.2,96.1,97.5,11600000,97.5
2016-07-05,97.3,98.65,94.15,95.05,10843400,95.05
2016-07-06,95.05,95.05,95.05,95.05,0,95.05
2016-07-07,95.1,95.6,91.5,91.95,8613900,91.95
2016-07-08,92,92.4,90,91.2,9206900,91.2
2016-07-11,92.8,95.15,92.6,94.05,6796900,94.05
2016-07-12,94.7,96.3,92.8,95.9,10125700,95.9
2016-07-13,96.15,96.15,86.25,91.65,55942800,91.65
2016-07-14,90.9,92.5,89.55,91.45,12371800,91.45
2016-07-15,91.5,91.85,87.5,88.2,10973900,88.2
2016-07-18,88.65,90.6,85.9,86.5,9430700,86.5
2016-07-19,86.6,86.6,84,84.9,7008600,84.9
2016-07-20,84.4,87.15,83.65,86.25,7360600,86.25
2016-07-21,87.05,89.6,86.8,87.9,7562800,87.9
2016-07-22,87.7,87.7,85.55,86.5,6248300,86.5
2016-07-25,87.25,90.3,86.5,88.8,8516700,88.8
2016-07-26,89,91.85,87.9,88.7,9339500,88.7
2016-07-27,88.8,89.9,87.15,88.7,7671600,88.7
2016-07-28,89.5,94.7,89.1,94.35,20193700,94.35
2016-07-29,94.95,95.5,91.3,92,10618500,92
2016-08-01,92.75,93.75,88.4,92.55,8896500,92.55
2016-08-02,93.35,94,88.7,89.4,8499100,89.4
2016-08-03,89.2,90.15,83.2,84.8,9037500,84.8
2016-08-04,85.25,88.35,83.75,87.6,10459600,87.6
2016-08-05,88.25,88.5,84.05,84.6,17800400,84.6
2016-08-08,85.4,88.3,84.7,87.9,11870500,87.9
2016-08-09,88,88.2,85.75,87.05,7721900,87.05
2016-08-10,87.25,87.5,82.15,85.15,11273200,85.15
2016-08-11,89.45,89.45,83.15,85.8,12306900,85.8
2016-08-12,86.1,86.5,84.4,84.95,4147700,84.95
2016-08-15,84.95,84.95,84.95,84.95,0,84.95
2016-08-16,85,85.7,82.6,84.7,5061800,84.7
2016-08-17,85,86,83.35,84.3,4846200,84.3
