"Date","RDEL.NS.Open","RDEL.NS.High","RDEL.NS.Low","RDEL.NS.Close","RDEL.NS.Volume","RDEL.NS.Adjusted"
2016-03-15,67.2,71.9,66.9,69.25,4102500,69.25
2016-03-16,69.35,70.9,68.1,68.95,1731300,68.95
2016-03-17,70.05,70.4,66.45,66.7,1897200,66.7
2016-03-18,67,67.5,64.75,65.25,1554300,65.25
2016-03-21,64.6,67.35,64.6,66.05,3025900,66.05
2016-03-22,67.2,69.9,67.2,68.8,3444500,68.8
2016-03-23,69.2,69.65,68.1,68.8,1581400,68.8
2016-03-24,68.8,68.8,68.8,68.8,0,68.8
2016-03-25,68.8,68.8,68.8,68.8,0,68.8
2016-03-28,69.7,71.85,68.5,69.4,2951800,69.4
2016-03-29,69.85,71.2,67.6,68,4314200,68
2016-03-30,70.45,70.85,67.05,67.85,4722300,67.85
2016-03-31,68.05,69.2,67.35,67.9,1524300,67.9
2016-04-01,67.8,68.95,67.45,68.3,1153000,68.3
2016-04-04,68.45,68.8,67.5,67.65,746900,67.65
2016-04-05,67.65,67.75,65.2,65.75,972200,65.75
2016-04-06,66,67.15,65.5,66.45,980700,66.45
2016-04-07,66.9,67.4,65.4,65.75,860100,65.75
2016-04-08,65.85,66.6,65.05,65.65,718200,65.65
2016-04-11,66.8,68.35,66.15,68,1897200,68
2016-04-12,68.3,69.35,67.15,68.8,1973400,68.8
2016-04-13,69.5,69.7,67.55,67.7,1750100,67.7
2016-04-14,67.7,67.7,67.7,67.7,0,67.7
2016-04-15,67.7,67.7,67.7,67.7,0,67.7
2016-04-18,68.15,70.7,66.95,67.15,2993400,67.15
2016-04-19,67.15,67.15,67.15,67.15,0,67.15
2016-04-20,67.5,69.45,67.3,68.25,2241200,68.25
2016-04-21,68.7,69.2,67,67.3,1307600,67.3
2016-04-22,67.9,69.25,67.25,68.1,2877800,68.1
2016-04-25,68.6,68.6,66.45,66.6,1002000,66.6
2016-04-26,66.65,67.6,66.2,66.9,881200,66.9
2016-04-27,67.25,68.2,66.5,67,1109500,67
2016-04-28,67.5,68.15,65,65.7,1224400,65.7
2016-04-29,66,67.25,64.75,65.15,2078100,65.15
2016-05-02,65.4,67.45,64.8,66.05,1655100,66.05
2016-05-03,67.8,70.2,66,66.4,5849300,66.4
2016-05-04,66.3,66.85,65.05,65.2,1091900,65.2
2016-05-05,65.3,69,65,67.7,3836200,67.7
2016-05-06,67.7,67.9,66.25,66.55,975200,66.55
2016-05-09,67,67.35,66.25,66.75,1000200,66.75
2016-05-10,66.75,66.85,65.9,66.1,699800,66.1
2016-05-11,65.2,66.75,64.75,66.4,1431800,66.4
2016-05-12,66.55,66.65,65.6,65.95,578300,65.95
2016-05-13,65.8,66.15,64.7,64.9,830300,64.9
2016-05-16,67.05,67.5,65.6,66.15,1383200,66.15
2016-05-17,66.65,66.7,65.35,65.5,603500,65.5
2016-05-18,65.2,65.5,64.65,64.75,669400,64.75
2016-05-19,64.95,65.35,63.8,64,592200,64
2016-05-20,64.4,64.55,62.05,62.25,595600,62.25
2016-05-23,62.7,63,61.25,61.65,414500,61.65
2016-05-24,61.7,62,59.1,59.35,513400,59.35
2016-05-25,60,60.2,57.8,58.1,889200,58.1
2016-05-26,58.4,60,57.1,57.8,1121100,57.8
2016-05-27,57.95,59.75,57.55,58.25,2610200,58.25
2016-05-30,58.65,59.4,58.1,58.95,757200,58.95
2016-05-31,59.55,60.5,59.05,59.6,1104400,59.6
2016-06-01,59.95,60.9,59.55,59.65,810000,59.65
2016-06-02,59.55,60.3,58.8,59.65,651500,59.65
2016-06-03,60.2,60.4,59,59.1,560300,59.1
2016-06-06,59.1,59.55,58.7,58.9,525000,58.9
2016-06-07,58.65,60.65,58.65,59.25,1089700,59.25
2016-06-08,60.7,67.8,60.7,65.1,8825700,65.1
2016-06-09,65.85,66.2,64.5,65.25,1723100,65.25
2016-06-10,65.4,65.5,62.65,63.15,1343500,63.15
2016-06-13,62.75,62.75,60.9,61.3,687300,61.3
2016-06-14,61.8,64,61.7,62.7,1122100,62.7
2016-06-15,63.35,63.65,62.3,62.45,655100,62.45
2016-06-16,62.3,62.5,61.05,61.4,444700,61.4
2016-06-17,62.85,64.3,61.05,61.35,2723100,61.35
2016-06-20,61.2,67.95,60.1,66.1,6976400,66.1
2016-06-21,66.95,67.9,65.05,65.35,2838700,65.35
2016-06-22,65.3,65.5,62.65,63,1052500,63
2016-06-23,63.7,65.7,63.1,64.15,1902800,64.15
2016-06-24,58.05,62.5,58.05,62.05,1504200,62.05
2016-06-27,62.15,64.4,62.15,63.1,1054400,63.1
2016-06-28,63.3,64.45,63.05,63.25,795700,63.25
2016-06-29,63.7,64.45,63.05,63.25,929500,63.25
2016-06-30,63.65,64.6,63.05,63.3,1485400,63.3
2016-07-01,63.6,68.25,63.4,65.75,6452300,65.75
2016-07-04,66.2,67.45,65.15,66.45,2542400,66.45
2016-07-05,66.7,67.35,65.45,65.8,1959500,65.8
2016-07-06,65.8,65.8,65.8,65.8,0,65.8
2016-07-07,66.5,67.35,65.8,66.95,2228200,66.95
2016-07-08,67.05,67.6,65.3,65.6,1023900,65.6
2016-07-11,66.5,66.85,65.25,65.55,798700,65.55
2016-07-12,66,66,64.25,64.45,833200,64.45
2016-07-13,64.7,65.8,63.25,63.85,955900,63.85
2016-07-14,64,65.1,63.6,64.35,953900,64.35
2016-07-15,64.7,64.85,62.7,63.05,743300,63.05
2016-07-18,63.4,70.35,63.25,64.65,8057700,64.65
2016-07-19,65,65.7,63.8,64.2,1111500,64.2
2016-07-20,64.25,65.25,64.2,64.5,860400,64.5
2016-07-21,64.85,65.5,63.7,64.05,825600,64.05
2016-07-22,64.35,66.95,63.75,65.35,2671900,65.35
2016-07-25,65.75,65.75,64.05,64.8,1124900,64.8
2016-07-26,64.8,66.35,64.1,64.55,1019500,64.55
2016-07-27,65.1,65.4,63.45,64.9,889700,64.9
2016-07-28,66.95,67.85,65.9,67.3,3043900,67.3
2016-07-29,67.45,69.35,66.8,68.45,2480100,68.45
2016-08-01,72,73,68.6,69.7,6864400,69.7
2016-08-02,70,70.1,67.05,67.5,1011200,67.5
2016-08-03,67.95,67.95,65.55,65.85,902700,65.85
2016-08-04,66.3,66.95,65.25,65.5,827400,65.5
2016-08-05,65.75,66.5,65.4,66,838800,66
2016-08-08,66.45,66.6,65.75,65.9,535300,65.9
2016-08-09,66.2,66.2,64.6,65.05,456300,65.05
2016-08-10,65.15,65.65,63.75,64,683700,64
2016-08-11,64.35,65.3,63.5,63.85,590700,63.85
2016-08-12,64.2,64.3,63.4,63.8,689000,63.8
2016-08-15,63.8,63.8,63.8,63.8,0,63.8
2016-08-16,64.1,64.1,63,63.65,471800,63.65
2016-08-17,63.7,64.9,63.5,64.35,601900,64.35
2016-08-18,64.5,66.25,63.9,65.85,1368400,65.85
2016-08-19,66.95,67.4,66.25,66.7,1642100,66.7
2016-08-22,67.6,67.9,66,66.2,1021400,66.2
2016-08-23,66.2,66.6,64.9,65.3,881900,65.3
2016-08-24,65.6,66.25,64.45,65.1,1582400,65.1
2016-08-25,65.4,65.75,64.5,64.8,689700,64.8
2016-08-26,65.25,65.7,63.8,64,877000,64
2016-08-29,63.95,64.2,63,63.2,1407300,63.2
2016-08-30,63.55,66.15,63.55,65.25,1989700,65.25
2016-08-31,65.45,66.35,64.2,64.75,1229700,64.75
2016-09-01,65,65.35,63.25,63.55,794800,63.55
2016-09-02,64.1,64.75,63.2,64,576200,64
2016-09-05,64,64,64,64,0,64
2016-09-06,64.3,65.4,64,65.1,953600,65.1
2016-09-07,65.75,67.15,65.3,65.7,2275400,65.7
2016-09-08,66,71.4,65.5,68.7,8381000,68.7
2016-09-09,69.15,69.7,62.6,64.95,14190900,64.95
2016-09-12,64,65,54.6,55.4,35255600,55.4
2016-09-13,55.4,55.4,55.4,55.4,0,55.4
2016-09-14,55.95,58.9,55.6,57.05,8902700,57.05
2016-09-15,57.5,58.3,55.65,56,3608100,56
2016-09-16,56.8,59.45,56.15,57.4,8135200,57.4
2016-09-19,58.5,59.55,58.1,58.85,3275500,58.85
2016-09-20,59.2,59.4,57.15,57.6,1365000,57.6
2016-09-21,57.8,60.7,57.6,58.95,5123900,58.95
2016-09-22,60.75,61.4,59.7,60.9,5342200,60.9
2016-09-23,61.15,62.65,60.5,60.7,4089700,60.7
2016-09-26,60.5,60.9,58.95,59.15,1599900,59.15
2016-09-27,59.8,59.9,58.8,59.05,1049000,59.05
2016-09-28,59.1,59.7,58.85,59,877100,59
2016-09-29,59.65,59.65,55,55.35,2275900,55.35
2016-09-30,55.95,56.85,55.3,56.45,1183900,56.45
