"Date","BANKBARODA.NS.Open","BANKBARODA.NS.High","BANKBARODA.NS.Low","BANKBARODA.NS.Close","BANKBARODA.NS.Volume","BANKBARODA.NS.Adjusted"
2016-09-20,167.15,168.35,165.35,166.7,3272200,166.7
2016-09-21,166.25,168.3,163.9,164.35,4207600,164.35
2016-09-22,167.1,170,166.65,169.45,5591000,169.45
2016-09-23,169.95,172.4,168.2,169.15,6444000,169.15
2016-09-26,168.5,169.4,165.5,166.35,5315500,166.35
2016-09-27,167.15,167.7,163.55,164,3742300,164
2016-09-28,163.9,169.7,163.5,168.45,6284000,168.45
2016-09-29,169.5,170.9,159.55,161.9,11281800,161.9
2016-09-30,160.5,168.2,160.05,167.4,7164600,167.4
2016-10-03,168.1,170.6,167.75,168.9,5528000,168.9
