"Date","CANBK.NS.Open","CANBK.NS.High","CANBK.NS.Low","CANBK.NS.Close","CANBK.NS.Volume","CANBK.NS.Adjusted"
2016-07-29,250.994,251.723,243.018,243.699,3766900,243.699
2016-08-01,245.498,247.492,235.723,236.89,4386900,236.89
2016-08-02,238.981,247.443,237.328,246.082,5397800,246.082
2016-08-03,247.054,250.556,242.288,244.769,4459700,244.769
2016-08-04,247.93,252.793,243.99,250.167,5450900,250.167
2016-08-05,252.355,254.981,249.583,252.161,3188500,252.161
2016-08-08,253.766,253.814,245.984,250.848,3314900,250.848
2016-08-09,250.799,257.754,249.097,254.252,5412700,254.252
2016-08-10,254.349,257.024,242.191,243.212,5110900,243.212
2016-08-11,243.455,243.455,235.966,240.44,4414900,240.44
2016-08-12,242.094,253.328,239.711,248.805,5279300,248.805
2016-08-15,248.805,248.805,248.805,248.805,0,248.805
2016-08-16,249.972,251.626,244.331,247.2,3095800,247.2
2016-08-17,248.659,254.836,246.568,252.939,4058800,252.939
2016-08-18,255.127,261.061,253.377,257.413,3865100,257.413
2016-08-19,257.754,260.769,254.592,259.018,3914300,259.018
2016-08-22,259.699,263.589,257.364,260.088,3809800,260.088
2016-08-23,260.234,261.012,254.446,258.191,3036200,258.191
2016-08-24,258.678,264.562,257.754,263.638,4215300,263.638
2016-08-25,263.687,267.383,261.79,263.152,4391700,263.152
2016-08-26,262.714,264.805,259.796,261.012,2538200,261.012
2016-08-29,260.574,267.383,259.699,266.118,2761800,266.118
2016-08-30,266.945,274.046,266.216,272.927,3894000,272.927
2016-08-31,273.316,276.283,271.857,272.878,3564300,272.878
