"Date","ALBK.NS.Open","ALBK.NS.High","ALBK.NS.Low","ALBK.NS.Close","ALBK.NS.Volume","ALBK.NS.Adjusted"
2016-05-18,51.5,53.65,51,53.25,3167000,53.25
2016-05-19,53,53.6,51.05,51.5,2165200,51.5
2016-05-20,52,52.05,50.1,50.4,1675600,50.4
2016-05-23,50.75,51.3,49.35,50.25,1830900,50.25
2016-05-24,50,50.5,49.2,49.7,1501200,49.7
2016-05-25,50.1,51,49.85,50.65,1753600,50.65
2016-05-26,50.65,51.75,49.1,50.9,12310100,50.9
2016-05-27,50.9,54,50.7,52.7,2881200,52.7
2016-05-30,53.6,54,52.2,52.6,1874300,52.6
2016-05-31,52.6,53.55,51.1,53.15,3665700,53.15
2016-06-01,53.3,53.95,51.25,51.65,2718600,51.65
2016-06-02,51.65,52,50.1,51.8,2385200,51.8
2016-06-03,52.15,52.2,50.15,50.6,2423600,50.6
2016-06-06,50.6,51.9,50.6,51.35,1785600,51.35
2016-06-07,51.55,53.2,50.8,52.25,3234200,52.25
2016-06-08,52.25,53.9,51.9,53.4,2972600,53.4
2016-06-09,53.5,55.2,53.4,54.2,3596900,54.2
2016-06-10,53.95,55.1,52.8,53.3,2805600,53.3
2016-06-13,52.5,52.95,51.5,52.05,2362500,52.05
2016-06-14,52.8,53.9,52.1,53.6,3516100,53.6
2016-06-15,54.15,54.7,53.35,54.05,2578500,54.05
2016-06-16,53.8,58.7,52.65,58.05,9915300,58.05
2016-06-17,58.65,58.8,56.8,58.25,5603300,58.25
2016-06-20,56.75,60.6,56.35,60,7867800,60
2016-06-21,60,61.25,59.45,60.7,6517000,60.7
2016-06-22,60.5,62.15,59.8,60.5,5164900,60.5
2016-06-23,60.2,64.6,60.1,64.1,8637500,64.1
2016-06-24,62.8,65.95,59.4,65.35,10299100,65.35
2016-06-27,66,67.9,65.6,67.3,6387900,67.3
2016-06-28,67.7,69,67.05,68.3,5607100,68.3
2016-06-29,68.6,69.1,68.1,68.35,3378000,68.35
2016-06-30,68.9,70.2,68.75,69.2,3370300,69.2
2016-07-01,69.7,70.2,68.85,69.65,3147300,69.65
2016-07-04,69.85,75.9,69.8,75.4,10301800,75.4
2016-07-05,75.6,78.15,75.55,76.7,7022200,76.7
2016-07-06,76.7,76.7,76.7,76.7,0,76.7
2016-07-07,76.9,78.2,76.1,76.5,4257200,76.5
2016-07-08,76.95,79.1,74.05,77.65,6853100,77.65
2016-07-11,79.8,83.1,78.4,82.7,7198100,82.7
2016-07-12,83.25,83.7,80.55,81.25,7821000,81.25
2016-07-13,81.5,81.9,78.05,79.1,5410800,79.1
2016-07-14,78.8,82.3,78.4,81.1,7987000,81.1
2016-07-15,81.75,81.9,78.75,79,7763800,79
2016-07-18,79.65,79.65,75.2,75.7,5011200,75.7
2016-07-19,75.5,78.4,73.4,76.45,10402800,76.45
2016-07-20,76.6,77.25,75.8,76.55,3169600,76.55
2016-07-21,76.4,76.85,74.1,74.45,3713900,74.45
2016-07-22,74.25,74.45,72.6,73.9,3540000,73.9
2016-07-25,73.95,79.9,73,78.85,8030000,78.85
2016-07-26,79.3,81.75,78.1,78.55,8312400,78.55
2016-07-27,78.55,80,76.65,78.25,4407200,78.25
2016-07-28,78.6,79.5,77.7,78.35,3783500,78.35
2016-07-29,78.7,78.7,76.6,77.3,3758900,77.3
2016-08-01,77.5,78.3,74.7,75.5,3817000,75.5
2016-08-02,75.5,78.35,75,75.9,4453400,75.9
2016-08-03,76.65,77.95,74.75,75.45,4173100,75.45
2016-08-04,76.5,78.9,74.65,77.8,5009500,77.8
2016-08-05,79.1,80.6,78.5,79.05,5192300,79.05
2016-08-08,79.9,79.9,76.25,77.5,3173200,77.5
2016-08-09,77.7,79.55,76.75,78,3764700,78
2016-08-10,78.65,78.65,75,75.3,3715700,75.3
2016-08-11,75,75.3,71.85,73.25,3337800,73.25
2016-08-12,72.5,76.4,71.45,75.45,7179800,75.45
2016-08-15,75.45,75.45,75.45,75.45,0,75.45
2016-08-16,74.95,74.95,73,74,5629500,74
2016-08-17,74.35,76.25,73.9,75.25,3912400,75.25
2016-08-18,75.95,76.9,75.8,76.55,2967400,76.55
2016-08-19,77.1,79.65,77,79.05,4363100,79.05
2016-08-22,79.5,80.05,77.9,79.3,4348900,79.3
2016-08-23,79.4,81.7,78.1,80.45,7114900,80.45
2016-08-24,80.95,82.15,80.2,81.55,4639600,81.55
2016-08-25,81.6,81.95,78.85,79.35,3850000,79.35
2016-08-26,79.5,80.35,77.5,78.15,3477200,78.15
2016-08-29,77.9,79.1,77.05,78.75,2936400,78.75
2016-08-30,79.15,84.6,78.9,84,8059300,84
2016-08-31,85,86.55,83.7,84.15,8863800,84.15
2016-09-01,84.25,84.7,81.75,82.05,3510800,82.05
2016-09-02,82.45,84.8,82.1,84.4,3716100,84.4
2016-09-05,84.4,84.4,84.4,84.4,0,84.4
2016-09-06,85.1,86,84.55,84.9,4003200,84.9
