"Date","UNIONBANK.NS.Open","UNIONBANK.NS.High","UNIONBANK.NS.Low","UNIONBANK.NS.Close","UNIONBANK.NS.Volume","UNIONBANK.NS.Adjusted"
2016-05-11,119,120.9,115.8,116.85,4824000,115.05
2016-05-12,116.7,118.6,116.1,118.05,4219200,116.23
2016-05-13,117.4,118.35,114.2,116,4334900,114.21
2016-05-16,113.5,113.65,108.1,109.1,8979300,107.42
2016-05-17,109.3,109.9,106.3,108.1,6616600,106.43
2016-05-18,107,111.25,106.25,110.5,5031100,108.8
2016-05-19,110.25,110.85,106.5,106.9,3898500,105.25
2016-05-20,107.5,107.65,105.3,105.7,3316400,104.07
2016-05-23,106.2,107.25,104.5,105.35,2859100,103.73
2016-05-24,105.4,107.8,105.4,106.85,3535100,105.2
2016-05-25,108.55,109.85,107.35,109.35,4718900,107.66
2016-05-26,109.95,111.35,108.1,110.8,7569600,109.09
2016-05-27,113,117.05,111.35,115.15,5618500,113.37
2016-05-30,117.9,117.9,114.5,115.7,2505100,113.92
2016-05-31,115.5,118.9,113.65,118.4,4223600,116.57
2016-06-01,118.8,119.2,113.2,114,4258600,112.24
2016-06-02,112.3,117,112.3,116.4,3877600,114.6
2016-06-03,117,117.7,112.6,113.35,3759700,111.6
2016-06-06,114.7,116.75,113.65,116.05,3285000,114.26
2016-06-07,116.85,118.7,115.1,117.9,4786400,116.08
2016-06-08,117.9,122,117.25,120.7,5809200,118.84
2016-06-09,121.5,124.2,120.2,121.25,5378900,119.38
2016-06-10,121.1,122.75,119.1,120.5,4020400,118.64
2016-06-13,119,119.15,116.6,118.55,2442200,116.72
2016-06-14,119,123.15,119,121.95,5011100,120.07
2016-06-15,123.15,125.4,121.35,124.3,5464600,122.38
2016-06-16,123.5,127.4,120.5,126.45,7644500,124.5
2016-06-17,125.4,127.65,124.25,126.95,6246200,126.95
2016-06-20,124,130,123.7,128.2,8185300,128.2
2016-06-21,128.8,129.75,125.05,125.7,5040500,125.7
2016-06-22,126.5,128.2,122.8,124.55,5137600,124.55
2016-06-23,124.5,126.75,124.05,126.3,4141800,126.3
2016-06-24,120.8,123.5,115.75,122.05,11702100,122.05
2016-06-27,123,125.9,121.75,125.2,5315500,125.2
2016-06-28,126.5,128.2,124.3,127.55,4815400,127.55
2016-06-29,128.2,129.7,127.6,128.05,2779000,128.05
2016-06-30,129.5,130,127.85,128.3,2791600,128.3
2016-07-01,129.3,133.45,128.1,131.75,6133300,131.75
2016-07-04,134.2,137.4,133.15,134.9,6044400,134.9
2016-07-05,135.5,138.3,133.55,134.55,4678800,134.55
2016-07-06,134.55,134.55,134.55,134.55,0,134.55
2016-07-07,134.8,136.95,132.3,132.85,3369900,132.85
2016-07-08,133.35,133.7,127.2,129.7,7054700,129.7
2016-07-11,133.05,135.65,131.5,135.2,4936700,135.2
2016-07-12,135.85,139.5,134.8,137.85,9699700,137.85
2016-07-13,139,139,133.7,134.8,5249200,134.8
2016-07-14,134.75,142.7,134,140.85,10366900,140.85
2016-07-15,141.45,143,138.8,139.95,7484300,139.95
2016-07-18,140.7,143.75,137.85,138.4,6072700,138.4
2016-07-19,138.5,140.9,135.45,137.15,9267700,137.15
2016-07-20,137.6,138.4,136.1,136.65,3828700,136.65
2016-07-21,136.75,137.45,130.2,130.95,4981600,130.95
2016-07-22,130,130,125.7,126.45,8243000,126.45
2016-07-25,126.7,132.75,125.65,131.4,10057300,131.4
2016-07-26,131.8,134.6,128.9,129.7,5463900,129.7
