"Date","BIOCON.NS.Open","BIOCON.NS.High","BIOCON.NS.Low","BIOCON.NS.Close","BIOCON.NS.Volume","BIOCON.NS.Adjusted"
2016-04-27,578,581.4,564.55,571.9,1820800,571.9
2016-04-28,573.9,577.8,569.6,575.65,1110000,575.65
2016-04-29,574.5,589.9,573.5,585.4,1261800,585.4
2016-05-02,585.45,610,583.4,607.55,1890400,607.55
2016-05-03,613.05,617.5,604.75,612.4,1855900,612.4
2016-05-04,612.4,628.5,608.15,621.3,1499800,621.3
2016-05-05,621.55,627,613.8,619.25,1058200,619.25
2016-05-06,614,624.9,610.55,612.6,621600,612.6
2016-05-09,614,616,608.1,610.35,850200,610.35
2016-05-10,613.75,622.8,609.6,618.6,748700,618.6
2016-05-11,614,633.6,612.5,626.55,1492200,626.55
2016-05-12,627,631.05,623.55,626.5,619600,626.5
2016-05-13,626,635.2,624.7,628.5,601600,628.5
2016-05-16,630,633.4,625.1,627.05,393100,627.05
2016-05-17,628.1,629.85,615.45,625.8,561000,625.8
2016-05-18,622.1,627.4,618.7,623.05,551700,623.05
2016-05-19,623,628.4,617.25,619.05,258200,619.05
2016-05-20,620.5,626,617.9,622.05,273800,622.05
2016-05-23,626.1,643.45,622.9,640.85,929200,640.85
2016-05-24,644,647.35,637.8,644.15,920800,644.15
2016-05-25,644.15,652.8,642.45,649.7,684400,649.7
2016-05-26,652.7,662,645.2,657.3,829200,657.3
2016-05-27,660.6,717,658.4,699.45,2378900,699.45
2016-05-30,703.9,709.85,686.05,701.5,758200,701.5
2016-05-31,705,721.8,704,717.55,1492100,717.55
2016-06-01,717,726.95,711.2,714.55,906400,714.55
2016-06-02,713.7,714.5,703,709.35,718200,709.35
2016-06-03,712,715,701.65,703.2,529100,703.2
2016-06-06,704,735.5,704,726.3,2550000,726.3
2016-06-07,734,736.4,721.1,724.05,961800,724.05
2016-06-08,729.4,739,723.4,732,825900,732
2016-06-09,731.8,733.95,718.65,721.1,488700,721.1
2016-06-10,721.95,725.3,711.8,713.4,748700,713.4
2016-06-13,710.4,723.9,706.95,717.25,908200,717.25
2016-06-14,717.5,722,710,713.8,284800,713.8
2016-06-15,720.4,722.8,714.7,719.75,458500,719.75
2016-06-16,719.5,729,715.35,718.35,621800,718.35
2016-06-17,723,724.9,712.35,717.1,351600,717.1
2016-06-20,710,729.85,710,726.25,642300,726.25
2016-06-21,728.8,731.8,721.4,724.75,427100,724.75
2016-06-22,723.6,729.7,713.95,716.1,379200,716.1
2016-06-23,721.4,727,710.6,719.3,366300,719.3
2016-06-24,708.9,712.95,688.15,710.6,673600,710.6
2016-06-27,711,763.8,711,757.2,1950200,757.2
2016-06-28,758,765,746.7,749.2,1424100,749.2
2016-06-29,750,750.9,739.3,740.2,716000,740.2
2016-06-30,744.8,753,737.4,741.2,1267500,741.2
2016-07-01,745,749.4,738.2,739.7,418600,739.7
2016-07-04,741.4,751.95,740,744.65,573500,744.65
2016-07-05,737,739,723.4,734.5,608600,734.5
2016-07-06,734.5,734.5,734.5,734.5,0,734.5
2016-07-07,739,744.35,728.45,731.5,632500,731.5
2016-07-08,731,736.9,725.3,727.35,332500,727.35
2016-07-11,731.6,743.4,729.85,740.05,546800,740.05
2016-07-12,740.9,745,734.3,735.4,462100,735.4
2016-07-13,735.4,754.05,721.45,725.55,803000,725.55
2016-07-14,723.8,723.85,710,711.85,364400,711.85
2016-07-15,736,741.4,701.9,704,1230600,704
2016-07-18,706,706.9,692.3,694.3,794200,694.3
2016-07-19,694.15,703.9,688.95,700,759100,700
2016-07-20,702,714.6,702,710.85,632500,710.85
2016-07-21,714.7,716.8,696.5,700.6,660000,700.6
2016-07-22,718.95,825,710.95,809.7,14409100,809.7
2016-07-25,821,828,795.05,809,4828100,809
2016-07-26,815.5,826,800.55,803.65,2310100,803.65
2016-07-27,804,817.8,796.65,807.7,1974800,807.7
2016-07-28,812.5,831.8,809.2,824.8,2489500,824.8
2016-07-29,822.55,837.2,821,829.15,1286500,829.15
2016-08-01,833.15,840.75,815,826.1,827400,826.1
2016-08-02,831.9,846.8,823.8,831,1328400,831
2016-08-03,831,833.55,810.8,816.35,747100,816.35
2016-08-04,823.7,839.9,820,824.7,1007400,824.7
2016-08-05,830.7,839.9,828.2,836.7,684200,836.7
2016-08-08,841.7,896.5,837.2,842.05,4737700,842.05
2016-08-09,843.9,852.3,838.25,843.7,1460400,843.7
2016-08-10,844.9,851,827.5,841.1,1064500,841.1
2016-08-11,840,849.8,825.45,846.85,870800,846.85
