"Date","PIDILITIND.NS.Open","PIDILITIND.NS.High","PIDILITIND.NS.Low","PIDILITIND.NS.Close","PIDILITIND.NS.Volume","PIDILITIND.NS.Adjusted"
2016-04-11,598.25,609,598.25,603.8,306300,602.9433
2016-04-12,608,611.8,602,604.45,257200,603.5924
2016-04-13,609,618,608.15,614.3,345700,613.4284
2016-04-14,614.3,614.3,614.3,614.3,0,613.4284
2016-04-15,614.3,614.3,614.3,614.3,0,613.4284
2016-04-18,616,627.7,615.55,625.75,556700,624.8621
2016-04-19,625.75,625.75,625.75,625.75,0,624.8621
2016-04-20,629.8,633.75,618,620.55,468800,619.6695
2016-04-21,624.8,624.9,604,606.05,306600,605.1901
2016-04-22,604.5,606.2,596.3,598.85,231400,598.0003
2016-04-25,599,608.4,587,602.45,443800,601.5952
2016-04-26,602.9,611,595.1,605.85,676000,604.9903
2016-04-27,605.65,613.95,603.15,606.4,256700,605.5396
2016-04-28,606.5,609.85,597.4,600,209200,599.1487
2016-04-29,600.1,606.4,599.1,603.05,113200,602.1943
2016-05-02,601.55,609.65,595.2,603.9,145400,603.0432
2016-05-03,604.65,611,595.05,597.3,264800,596.4525
2016-05-04,595,602.3,585.15,587.3,434300,586.4667
2016-05-05,592.35,594,583.25,589.15,253600,588.3141
2016-05-06,589,595.6,583.65,593.45,338400,592.608
2016-05-09,594.15,603.1,587.85,598.6,284000,597.7506
2016-05-10,599,602.5,592.4,596.7,220100,595.8534
2016-05-11,595,604.8,592.15,601.6,283900,600.7464
2016-05-12,600.35,609.05,600.35,605,304200,604.1416
2016-05-13,602.5,609.35,595.45,607.05,290900,606.1887
2016-05-16,611.5,611.5,602.5,605.7,149500,604.8406
2016-05-17,606.45,609.9,605,606.85,190100,605.9889
2016-05-18,606.85,609.9,600.05,608.65,247300,607.7864
2016-05-19,613.95,620.95,610.95,616.55,633800,615.6752
2016-05-20,630.7,656.75,628.05,653.7,3040300,652.7725
2016-05-23,659.75,659.75,644.1,651.15,936400,650.2261
2016-05-24,647.2,660.95,646,657.35,596000,656.4173
2016-05-25,659.25,684.3,659.15,681.65,1329900,680.6828
2016-05-26,684.15,693.5,675.7,680.65,1658100,679.6843
2016-05-27,681.5,709,680,694.65,832000,693.6644
2016-05-30,698.5,708.65,691.35,695.3,354900,694.3134
2016-05-31,693.1,709,689.35,706.25,1166900,705.2479
2016-06-01,714,722.9,707.2,717.65,868500,716.6318
2016-06-02,718,721.25,710.6,716.45,1663500,715.4334
2016-06-03,715.35,724.75,706.05,710.05,394800,709.0425
2016-06-06,709,723.45,705.3,709.85,313800,708.8428
2016-06-07,711.9,717.75,706.3,710.3,174600,709.2922
2016-06-08,708.1,714.7,703.15,704.6,370400,703.6002
2016-06-09,707.85,707.85,696.5,702.25,265400,701.2536
2016-06-10,702.9,710,694.05,696.2,404200,695.2122
2016-06-13,689.7,700.8,688,699.45,245700,698.4576
2016-06-14,696.2,702.5,688.35,692.55,303300,691.5673
2016-06-15,694.5,698.45,692.55,694.6,179600,693.6144
2016-06-16,695.75,700.5,690,698.8,302400,697.8085
2016-06-17,705,716,699,701.8,543600,700.8042
2016-06-20,697.9,705,696.15,699.4,254400,698.4077
2016-06-21,702,702.85,689.95,692.25,287600,691.2678
2016-06-22,693,695.5,684,687.7,233800,686.7242
2016-06-23,689.45,691.2,678.9,686.6,219600,685.6258
2016-06-24,676.6,693.9,666.55,689.45,403000,688.4718
2016-06-27,676.05,710,676.05,706,356800,704.9983
2016-06-28,707.55,713.95,706,707.45,756800,706.4462
2016-06-29,710,732,709.85,723.15,685300,722.124
2016-06-30,725,733.5,715.15,719.9,675900,718.8786
2016-07-01,719,725.75,717,719.95,324900,718.9285
2016-07-04,720.95,724.5,718.1,719,226500,717.9798
2016-07-05,719.8,724.4,711.3,713.9,179700,712.8871
2016-07-06,713.9,713.9,713.9,713.9,0,712.8871
2016-07-07,712.5,719.35,710,712.25,127500,711.2394
2016-07-08,712.95,739,712.85,729.55,806400,728.5148
2016-07-11,734.95,737,721.85,723.2,570200,722.1739
2016-07-12,725,730.7,719.05,721.65,611800,720.6261
2016-07-13,720,724.6,713,716.05,145400,715.034
2016-07-14,715,721,712.15,715.9,153100,714.8842
2016-07-15,715.9,723.5,715.9,718.55,283600,717.5304
2016-07-18,716,727.15,711,713.6,306700,712.5875
2016-07-19,713.6,728.8,713.6,724.1,440300,723.0726
2016-07-20,726.05,734.5,725.15,728.05,260100,727.017
2016-07-21,728,733.6,723.1,729.5,265200,728.4649
2016-07-22,728.5,738,726,731.65,534700,730.6119
2016-07-25,731.1,744.8,731.1,735.1,530900,734.057
2016-07-26,732,739.4,724,725.75,217800,724.7202
2016-07-27,728.7,736.25,726.3,730.75,313500,729.7131
2016-07-28,733.1,758,732.3,751.6,1213400,750.5335
2016-07-29,759,769.3,727.4,730.8,1666400,729.7631
2016-08-01,735,747.65,729.65,733.4,734100,732.3594
2016-08-02,739,748,733.75,739.7,717900,738.6505
2016-08-03,740.3,745.85,714,718.5,685100,717.4805
2016-08-04,723.5,729,709.2,713.7,683100,712.6874
2016-08-05,717,730.2,717,726.5,647600,725.4692
2016-08-08,734,738.2,725,729.65,383000,728.6147
2016-08-09,730,738,721,723.35,556900,722.3236
2016-08-10,725,729.25,703.05,707.2,654000,706.1966
2016-08-11,707.7,715,699.15,710,563900,708.9926
2016-08-12,704.05,713,701.25,710.45,457900,709.442
2016-08-15,710.45,710.45,710.45,710.45,0,709.442
2016-08-16,713.8,721.25,708,710.65,544900,709.6417
2016-08-17,710.05,715.4,703,707.7,481400,706.6959
2016-08-18,709.55,714.45,708,708.95,504400,707.9441
2016-08-19,710,713.9,698.7,699.85,476100,698.857
2016-08-22,702,708.8,694.3,705.9,423800,704.8984
2016-08-23,709.8,709.8,701.25,703.15,293900,702.65
2016-08-24,703.9,704.05,695,696.3,452200,696.3
2016-08-25,697.95,700.6,684,686.75,471500,686.75
2016-08-26,686.2,691.5,681.1,685.55,768900,685.55
2016-08-29,685.5,689.85,678.7,681.8,360200,681.8
2016-08-30,684,699.5,683.5,697.8,758200,697.8
2016-08-31,700,707.5,695.3,698.55,505800,698.55
2016-09-01,699,707,692.45,695.95,351300,695.95
2016-09-02,698,701.3,692.55,696.9,190000,696.9
2016-09-05,696.9,696.9,696.9,696.9,0,696.9
2016-09-06,702.9,721.5,701.1,718.55,1246500,718.55
2016-09-07,722.95,725.45,710,715.2,593900,715.2
2016-09-08,715.55,723.6,711.1,716.5,356700,716.5
2016-09-09,717,721.25,707.8,711.05,341000,711.05
2016-09-12,703.95,710.35,686.1,702.75,426100,702.75
2016-09-13,702.75,702.75,702.75,702.75,0,702.75
2016-09-14,702.05,714.1,699.45,708.9,306100,708.9
2016-09-15,709,717.1,706.2,715.05,410900,715.05
2016-09-16,720,724.5,710.25,714.85,382100,714.85
2016-09-19,714.85,719.35,703,707.4,249300,707.4
2016-09-20,709.95,715.85,706.5,711.4,315100,711.4
2016-09-21,713.9,714.85,703,707,311700,707
2016-09-22,711.6,713.65,704.25,706.15,315000,706.15
2016-09-23,707,709.75,701.75,703.7,486900,703.7
2016-09-26,704.1,707.7,692.55,694.65,383500,694.65
2016-09-27,694.65,700,685.6,696.05,409900,696.05
2016-09-28,696.5,699.85,687.5,689.35,1031800,689.35
2016-09-29,693.45,697.1,648.2,666.2,1442600,666.2
2016-09-30,662,686,660.1,681.6,851700,681.6
2016-10-03,685,726.7,685,724.25,2058200,724.25
2016-10-04,726,743.5,726,739.4,1887700,739.4
2016-10-05,741,749,728.7,733.7,588300,733.7
2016-10-06,731.5,739.9,721.7,729.65,246400,729.65
2016-10-07,732.8,736.8,714,718.7,232500,718.7
2016-10-10,722.3,733,720.65,729.85,174900,729.85
2016-10-11,729.85,729.85,729.85,729.85,0,729.85
2016-10-12,729.85,729.85,729.85,729.85,0,729.85
2016-10-13,731.85,731.85,718.1,725.8,636700,725.8
