"Date","DABUR.NS.Open","DABUR.NS.High","DABUR.NS.Low","DABUR.NS.Close","DABUR.NS.Volume","DABUR.NS.Adjusted"
2015-12-03,283.75,283.85001,276.20001,276.85001,884100,274.79596
2015-12-04,269.85001,273.29999,268.25,271.70001,1506000,269.68418
2015-12-07,273.95001,278.85001,271,276.25,855500,274.20041
2015-12-08,275.29999,278.5,272.04999,275.10001,1208200,273.05894
2015-12-09,274.79999,275.79999,268.79999,269.89999,992300,267.89751
2015-12-10,272.20001,272.79999,266.04999,269.45001,1073900,267.45087
2015-12-11,271.5,271.5,266.5,268,839800,266.01161
2015-12-14,265,267.95001,261.89999,265.89999,1235600,263.92719
2015-12-15,265.75,273.39999,265.29999,272.54999,616000,270.52784
2015-12-16,273.35001,273.35001,265.5,269.70001,1058400,267.69901
2015-12-17,271,276,267.75,275.5,889800,273.45597
2015-12-18,275,278.39999,272.75,274,1234600,271.9671
2015-12-21,275.5,279,272.5,277.45001,965800,275.39151
2015-12-22,278.5,279.25,275.29999,278.10001,717300,276.03669
2015-12-23,278.89999,280,276.20001,279.45001,761900,277.37668
2015-12-24,279,279,275.5,276.70001,263300,274.64708
2015-12-25,276.70001,276.70001,276.70001,276.70001,0,274.64708
2015-12-28,277.79999,278.5,275.70001,277.20001,608300,275.14337
2015-12-29,277.89999,278.39999,276.5,277.29999,275100,275.2426
2015-12-30,276,277.60001,274.10001,275,367800,272.95968
2015-12-31,273.29999,277.5,273.29999,276.95001,717600,274.89522
2016-01-01,276.45001,278.89999,275.75,276.39999,124300,274.34929
2016-01-04,276.25,281,275.5,276.89999,554100,274.84558
2016-01-05,276.89999,279.5,273.89999,275.95001,629200,273.90264
2016-01-06,276.29999,280.89999,274.29999,275.89999,750200,273.853
2016-01-07,275,275,265.95001,267.70001,910900,265.71385
2016-01-08,268.75,271.89999,268,269.04999,579200,267.05381
2016-01-11,267,267.54999,261.64999,263.10001,1259000,261.14798
2016-01-12,264,264,253.2,254.89999,1520800,253.0088
2016-01-13,255.85001,257.89999,249,256.85001,1266500,254.94435
2016-01-14,255.8,261.79999,252.2,259.79999,1136900,257.87244
2016-01-15,258.60001,261.29999,249.5,250.3,390400,248.44294
2016-01-18,249.5,252,245,247.3,813600,245.4652
2016-01-19,247.3,254,246.5,249.55,852000,247.6985
