"Date","PVR.NS.Open","PVR.NS.High","PVR.NS.Low","PVR.NS.Close","PVR.NS.Volume","PVR.NS.Adjusted"
2016-05-13,836.5,855,836.5,840.7,45200,839.28
2016-05-16,830,849.6,830,840.25,14000,838.83
2016-05-17,846,848,836.35,838.8,16000,837.38
2016-05-18,849.85,849.85,831.6,836.4,13100,834.98
2016-05-19,849,849,838,843.05,60300,841.62
2016-05-20,849,899,840.05,870.6,270500,869.13
2016-05-23,876.4,878.65,836.1,842.6,75700,841.17
2016-05-24,846.05,857.95,837,842.15,18100,840.72
2016-05-25,861.75,861.95,844,849.75,84900,848.31
2016-05-26,848.35,856,838.9,843.45,32100,842.02
2016-05-27,854.6,865,822.6,840.4,379500,838.98
2016-05-30,831.1,849.45,831.1,843.85,24300,842.42
2016-05-31,841.05,891,841.05,883.55,112600,882.05
2016-06-01,892,910,877.8,903.25,379000,901.72
2016-06-02,900.1,906,884.5,900.6,47700,899.08
2016-06-03,904.9,905,885,892.45,96500,890.94
2016-06-06,889.5,897.95,884.5,886.75,30700,885.25
2016-06-07,887.7,935,881.6,915.1,104200,913.55
2016-06-08,919.4,945.5,906.75,939.5,223500,937.91
2016-06-09,939.7,942.8,901.2,904.05,72300,902.52
2016-06-10,898.4,944.8,898.4,935.85,211700,934.27
2016-06-13,934.9,955,916.3,950.65,161000,949.04
2016-06-14,959.75,974,955,959.35,138300,957.73
2016-06-15,960,979.8,955,962.75,58500,961.12
2016-06-16,961,961.05,930.95,934.65,88200,933.07
2016-06-17,942.8,960,940,954.9,69500,953.28
2016-06-20,950,960,933.55,949.05,25400,947.44
2016-06-21,960.2,965,945,950.45,113700,948.84
2016-06-22,965.4,965.4,946.8,949.35,120500,947.74
2016-06-23,960,974.45,932,950.35,49900,948.74
2016-06-24,940,957,885.05,947.2,97900,945.6
2016-06-27,936,960,936,950.15,82200,948.54
2016-06-28,957.35,978,942.55,949.95,97400,948.34
2016-06-29,990,996.3,971.55,979.75,247200,978.09
2016-06-30,985,1074,985,1010.7,829200,1008.99
2016-07-01,1019.65,1054.95,1015.75,1024.5,330000,1022.77
2016-07-04,1032,1055,993,998.9,350200,997.21
2016-07-05,1007.75,1025,996,1010.65,156000,1008.94
2016-07-06,1010.65,1010.65,1010.65,1010.65,0,1008.94
2016-07-07,1025.9,1045,985.15,993.15,299600,991.47
2016-07-08,999,1004.9,966.6,998.55,204600,996.86
2016-07-11,1018,1018,988,992.5,164400,990.82
2016-07-12,996,1018.4,980.7,1011.15,260400,1009.44
2016-07-13,1002,1011,985.2,991.45,87900,989.77
2016-07-14,990.1,1025.9,990.1,1017.75,256400,1016.03
2016-07-15,1021,1021,1001.4,1009.1,93400,1007.39
2016-07-18,1005,1036,1004,1030.75,170600,1029
2016-07-19,1053.9,1149,1034,1117.25,770200,1115.36
2016-07-20,1131.8,1140,1061,1069.1,664500,1067.29
2016-07-21,1066.05,1102,1050.1,1095.6,434400,1093.74
2016-07-22,1107.6,1123,1056.3,1067.7,430700,1065.89
2016-07-25,1067.7,1103.05,1058,1099.35,261200,1097.49
2016-07-26,1090.25,1120,1085,1096.85,223500,1094.99
2016-07-27,1101,1141.7,1098,1126.15,300900,1124.24
2016-07-28,1115.3,1178,1115.3,1142.75,236100,1140.82
2016-07-29,1144,1170,1132.3,1141.25,511800,1139.32
2016-08-01,1152.9,1152.9,1101.55,1123.15,97500,1121.25
2016-08-02,1132.9,1133.95,1095.25,1109.75,165000,1107.87
2016-08-03,1109.9,1129.9,1091.5,1097.75,176200,1095.89
2016-08-04,1110.1,1119.95,1091.15,1106.7,122900,1104.83
2016-08-05,1115,1254.8,1109.55,1218.35,808800,1216.29
2016-08-08,1228,1230,1181,1191.95,133300,1189.93
2016-08-09,1195,1250,1170,1228.9,165500,1226.82
2016-08-10,1228,1235.8,1176.3,1183.6,179000,1181.6
2016-08-11,1191.3,1209.55,1175,1185.1,122200,1183.09
2016-08-12,1194,1219.25,1187.5,1203.75,154500,1201.71
2016-08-15,1203.75,1203.75,1203.75,1203.75,0,1201.71
2016-08-16,1210.95,1214.5,1175,1180.75,170400,1178.75
2016-08-17,1192,1233.65,1190,1226.8,170100,1224.72
2016-08-18,1232,1242,1218,1228.1,80300,1226.02
2016-08-19,1229.9,1237,1212,1223.55,46400,1221.48
2016-08-22,1223.55,1231,1183,1187.8,62500,1185.79
2016-08-23,1187.1,1207.25,1175.35,1181.95,61700,1179.95
2016-08-24,1185,1194.35,1173,1180.55,49500,1178.55
2016-08-25,1179,1216.9,1179,1197.45,113200,1195.42
2016-08-26,1208.65,1208.7,1180.15,1184.7,46900,1182.69
2016-08-29,1187.7,1187.7,1170,1174.8,64900,1172.81
2016-08-30,1183,1197,1165.25,1174.8,143500,1172.81
2016-08-31,1174.85,1193.5,1173.95,1187.8,85500,1185.79
2016-09-01,1189.4,1194.65,1175.3,1185.45,108100,1183.44
2016-09-02,1220,1296,1220,1273.45,1142600,1271.29
2016-09-05,1273.45,1273.45,1273.45,1273.45,0,1271.29
2016-09-06,1280,1280,1250.5,1261,128000,1258.86
2016-09-07,1266,1334.8,1221.5,1241.65,625000,1239.55
2016-09-08,1250.2,1264,1229,1237.9,111200,1235.8
2016-09-09,1246.95,1255,1205.75,1219.75,89100,1217.68
2016-09-12,1210,1210.1,1170.35,1179.25,120800,1177.25
2016-09-13,1179.25,1179.25,1179.25,1179.25,0,1177.25
2016-09-14,1179.25,1206.95,1165,1173.6,322900,1171.61
2016-09-15,1185,1192,1149.65,1158.65,101800,1156.69
2016-09-16,1170,1198,1167.4,1185,145500,1182.99
2016-09-19,1195.45,1195.45,1169.05,1181.25,48600,1179.25
2016-09-20,1190,1242.95,1180.9,1228.65,210800,1228.65
2016-09-21,1224.4,1253.2,1211.45,1234.35,104100,1234.35
2016-09-22,1245,1258,1225.35,1240.45,91300,1240.45
2016-09-23,1237.8,1260,1237.8,1248.05,68400,1248.05
2016-09-26,1230,1247,1205,1207.8,190800,1207.8
2016-09-27,1218.45,1228,1210.35,1220.9,88600,1220.9
2016-09-28,1219.9,1228.8,1205,1217.6,73500,1217.6
2016-09-29,1229.35,1231,1055.55,1192.95,167900,1192.95
2016-09-30,1198,1209.95,1172.45,1185.2,68600,1185.2
2016-10-03,1203,1251.9,1194.65,1235.5,137900,1235.5
2016-10-04,1247.8,1254.9,1235.5,1241.5,108200,1241.5
2016-10-05,1245,1247,1194.9,1205.45,139600,1205.45
2016-10-06,1210,1218,1176,1181.35,74800,1181.35
2016-10-07,1184.4,1189.55,1151,1169.1,97300,1169.1
2016-10-10,1179,1199,1171.6,1186.85,85800,1186.85
2016-10-11,1186.85,1186.85,1186.85,1186.85,0,1186.85
2016-10-12,1186.85,1186.85,1186.85,1186.85,0,1186.85
2016-10-13,1180,1198.95,1175,1187.1,102600,1187.1
2016-10-14,1199,1200,1163.05,1184.7,122000,1184.7
2016-10-17,1187.9,1210,1177.6,1201.8,66100,1201.8
2016-10-18,1210,1215.95,1200.8,1205.2,47300,1205.2
2016-10-19,1207.3,1219,1199.95,1200.75,59000,1200.75
2016-10-20,1211,1230,1201.15,1224.35,70200,1224.35
2016-10-21,1234.5,1239.9,1211.8,1228.05,55600,1228.05
