"Date","BPCL.NS.Open","BPCL.NS.High","BPCL.NS.Low","BPCL.NS.Close","BPCL.NS.Volume","BPCL.NS.Adjusted"
2016-07-14,546.25,556.45,546.25,553.4,1570300,538.1516
2016-07-15,554,557.9,547,554.75,2432100,539.4644
2016-07-18,556,562.75,551.6,556.15,1695900,540.8258
2016-07-19,555.6,574,554.05,572.15,2914900,556.385
2016-07-20,570,583,570,574.5,2316900,558.6702
2016-07-21,582.2,590.6,573.3,576.25,2766900,560.372
2016-07-22,577.7,584.95,568.55,583.2,1959200,567.1305
2016-07-25,587,601.85,585.4,593.5,3073300,577.1467
2016-07-26,594.5,600.85,585.5,588.35,2146000,572.1386
2016-07-27,588.65,596.35,582.45,588.5,2179900,572.2845
2016-07-28,589.45,592.9,575.05,583.8,4264700,567.7139
2016-07-29,587.6,597,582.6,592.65,1765600,576.3201
2016-08-01,596.95,603.5,590.25,594.6,2221600,578.2163
2016-08-02,596.55,599.7,577.15,579.35,2678600,563.3865
2016-08-03,580,583.05,567.75,572.9,2845600,557.1143
2016-08-04,574.25,578.1,558,569.3,2484100,553.6135
2016-08-05,575.8,587.8,573.55,586.55,2765600,570.3882
2016-08-08,593.1,617.7,589,606.75,8163500,590.0316
2016-08-09,608.95,613.75,592.4,595.65,4917200,579.2375
2016-08-10,597.55,604.5,578.4,583.55,4158400,567.4708
2016-08-11,589,600,581,596.85,4216100,580.4044
2016-08-12,589.2,594.5,574.95,579.95,3005700,563.97
2016-08-15,579.95,579.95,579.95,579.95,0,563.97
2016-08-16,580,602.5,578.2,596.4,3269300,579.9668
2016-08-17,596,598.8,583.55,587.35,1957000,571.1661
2016-08-18,588.1,596.9,585,587.1,2535300,570.923
2016-08-19,589,595.1,581.3,593.2,2603700,576.855
2016-08-22,595,605.4,593.75,597.5,3289400,581.0365
2016-08-23,601,602.1,571.5,576.1,3760000,560.2261
2016-08-24,580,585.9,575.05,581.75,3660500,565.7204
2016-08-25,587,600,581.1,598.25,5646700,581.7658
2016-08-26,597.9,601.95,593.1,595.75,3074400,579.3347
2016-08-29,596.95,601.8,593.9,598.8,2451400,582.3006
2016-08-30,602.8,611.35,601.5,608.25,2978300,591.4903
2016-08-31,609,609.95,597.6,602.6,9920800,585.9959
2016-09-01,600.3,606.95,583.5,586.8,3724600,570.6313
2016-09-02,590,591,581.3,586.75,2598200,570.5827
2016-09-05,586.75,586.75,586.75,586.75,0,570.5827
2016-09-06,592.5,599.9,588.75,598.6,2275700,582.1061
2016-09-07,599.9,599.95,587.05,589.8,1646500,573.5486
2016-09-08,590,593.05,584.45,587.2,2110000,571.0203
2016-09-09,587.1,595,585.05,588.55,1825700,572.3331
2016-09-12,580.35,585.6,563.1,565.9,2745500,550.3072
2016-09-13,565.9,565.9,565.9,565.9,0,550.3072
2016-09-14,571.6,578.5,566.4,575.35,2397300,559.4968
2016-09-15,579.8,579.8,565.4,568.15,1934000,552.4952
2016-09-16,575,581.9,569.1,577.95,11505900,562.0252
2016-09-19,581,587.6,579.85,585.2,2150000,569.0754
2016-09-20,587,589.95,582.8,585.75,2093100,569.6102
2016-09-21,590,595.4,580.15,586.8,1773700,570.6313
2016-09-22,593,600.5,588.7,598.8,2585000,582.3006
2016-09-23,601.3,608.15,600.6,604.65,2083800,587.9895
2016-09-26,605,624.9,595.3,622.45,3162700,605.299
2016-09-27,628.2,628.6,608.4,610.75,2788000,593.9214
2016-09-28,612,619.75,609.45,616.3,1387100,599.3184
2016-09-29,615.7,622.85,600.4,610.15,4478500,593.3379
2016-09-30,605,618.7,604,612.6,1758300,595.7204
2016-10-03,616,630.5,615,627.75,1837200,610.453
2016-10-04,628.25,639,628.05,637.45,1619600,619.8857
2016-10-05,637.7,652.05,627,649.9,1679300,631.9927
