"Date","CIPLA.NS.Open","CIPLA.NS.High","CIPLA.NS.Low","CIPLA.NS.Close","CIPLA.NS.Volume","CIPLA.NS.Adjusted"
2016-04-27,539.5,544.29999,534.5,540.20001,1456300,538.33885
2016-04-28,538.90002,543.75,525,528.25,3088500,526.43001
2016-04-29,527.20001,538.40002,527.09998,537,932700,535.14986
2016-05-02,536.95001,544.59998,535,540.65002,1336600,538.78731
2016-05-03,540,547,526.54999,536.84998,1524800,535.00035
2016-05-04,534,541.34998,529,533.20001,785700,531.36296
2016-05-05,535.5,544,533.5,541.79999,1025100,539.93331
2016-05-06,540,542.75,535.09998,537.34998,511700,535.49863
2016-05-09,538.29999,540.20001,533.25,536.54999,727900,534.7014
2016-05-10,537,539.5,532.75,537.04999,669000,535.19967
2016-05-11,532,539.5,530.75,536.59998,943400,534.75121
2016-05-12,536.95001,542.45001,534.34998,536.29999,670000,534.45226
2016-05-13,534.45001,538.70001,530.04999,531.70001,891400,529.86813
2016-05-16,533.84998,533.84998,520.34998,521.79999,883500,520.00222
2016-05-17,523,528.65002,522.5,523.75,679600,521.94551
2016-05-18,522.54999,526.75,520.04999,524.54999,653000,522.74274
2016-05-19,524.09998,525.90002,510.20001,512.70001,1062300,510.93359
2016-05-20,514.29999,515.25,501.20001,507.10001,1700900,505.35288
2016-05-23,510,510,494.79999,497.39999,2021600,495.68629
2016-05-24,499.95001,505.20001,491.54999,494.04999,2526600,492.34782
2016-05-25,480,480,457.45001,469.79999,15183300,468.18137
2016-05-26,472.70001,473.89999,466,467.95001,4432000,466.33777
2016-05-27,470.89999,478.5,469.10001,473.45001,2638900,471.81882
2016-05-30,476.95001,478.5,470,473.54999,1183600,471.91845
2016-05-31,475.39999,479.25,471,472.64999,2368300,471.02156
2016-06-01,474.70001,474.70001,462.75,464.89999,1247600,463.29826
2016-06-02,464.45001,470,459,468.10001,1354900,466.48725
2016-06-03,470.5,473.95001,462.29999,465.20001,1318100,463.59725
2016-06-06,468.95001,471.5,465.39999,466.64999,1409100,465.04223
2016-06-07,466.64999,471.89999,466.64999,468.35001,1797900,466.73639
2016-06-08,471.85001,474,468,472.14999,811300,470.52328
2016-06-09,473.54999,481.95001,469.10001,479.10001,1695800,477.44935
2016-06-10,475,486.60001,474.5,476.45001,1704200,474.80849
2016-06-13,474.95001,479.89999,465.54999,468.70001,1271500,467.08519
2016-06-14,470.10001,484,469.54999,482.70001,2522200,481.03695
2016-06-15,485.89999,492.54999,483.79999,490.04999,1860800,488.36161
2016-06-16,487.79999,488.85001,479.35001,486.64999,1239900,484.97333
2016-06-17,487,490,484.04999,486.45001,593500,484.77403
