"Date","NIITTECH.NS.Open","NIITTECH.NS.High","NIITTECH.NS.Low","NIITTECH.NS.Close","NIITTECH.NS.Volume","NIITTECH.NS.Adjusted"
2016-01-26,511.55,511.55,511.55,511.55,0,500.5666
2016-01-27,511.9,536,500,530.85,405500,519.4522
2016-01-28,531.8,537.4,519.3,532.2,152500,520.7733
2016-01-29,532.3,558,530.55,551.7,256400,539.8546
2016-02-01,553,555,524.1,531.45,140200,520.0394
2016-02-02,535.5,558,533.85,549.65,229400,537.8486
2016-02-03,543.1,544.95,532,539.3,69300,527.7208
2016-02-04,545,559.7,537.85,546.9,139800,535.1577
2016-02-05,545,545,525.25,528.65,98700,517.2995
2016-02-08,533.4,550,521.2,525.3,74800,514.0214
2016-02-09,521.2,527.45,506.3,508.9,85500,497.9735
2016-02-10,509.8,514,494,505.15,110700,494.3041
2016-02-11,499.7,518.8,480.2,485.25,134800,474.8313
2016-02-12,494,496.8,460,490.9,130700,480.36
2016-02-15,508,508,493.15,499.45,73500,488.7265
2016-02-16,500.95,508.4,491.8,497.3,87900,486.6226
2016-02-17,500.4,505,475,496.5,91500,485.8398
2016-02-18,500.05,516.4,472.3,478.95,163900,468.6666
2016-02-19,481,489.5,464,468.05,193000,458.0006
2016-02-22,472.65,478.05,465,466.9,85500,456.8753
2016-02-23,469.6,471.5,452,453.8,62700,444.0566
2016-02-24,453,497,449.05,462.9,877600,452.9612
2016-02-25,462,469,442.8,444.85,223700,435.2988
2016-02-26,450,453,421.5,425.4,339200,416.2663
2016-02-29,425.85,433.6,410.1,419.55,238200,410.5419
2016-03-01,421.95,471,421.95,464.65,706700,454.6736
2016-03-02,470.1,477.8,460.1,463.8,192500,453.8419
2016-03-03,466.5,497.5,460.55,494.25,325700,483.6381
2016-03-04,494.85,496.7,474.1,479.95,309600,469.6451
2016-03-07,479.95,479.95,479.95,479.95,0,469.6451
2016-03-08,482.5,482.5,463.6,466.4,122800,456.386
2016-03-09,461,465,452,454.7,124200,444.9373
2016-03-10,458,486.65,458,466.35,456800,456.3371
2016-03-11,466.35,473.9,457.9,462.35,133000,452.423
2016-03-14,464.2,481.9,464.2,470.6,250200,460.4959
2016-03-15,472.55,474.95,463.5,468.55,103500,458.4899
2016-03-16,471,486.5,468,482.6,281800,472.2382
2016-03-17,486.4,488,464.35,472,108900,461.8658
2016-03-18,470.85,498.8,470.8,490.8,202100,480.2622
2016-03-21,490,500,481,491.3,100200,480.7514
2016-03-22,494.8,506.8,486.6,491.9,133000,481.3385
2016-03-23,494,514.7,489.7,505.25,138400,494.4019
2016-03-24,505.25,505.25,505.25,505.25,0,494.4019
2016-03-25,505.25,505.25,505.25,505.25,0,494.4019
2016-03-28,507.6,520,486.4,488.15,130100,477.6691
2016-03-29,491,498.8,483,488.1,1e+05,477.6201
2016-03-30,497.95,511.55,492.4,494.55,115000,483.9316
2016-03-31,497.9,502.7,490,496.7,80700,486.0355
2016-04-01,498.9,507,493.1,495.55,175000,484.9102
2016-04-04,499.65,513,496.1,507.55,148400,496.6525
2016-04-05,500.55,511.8,489.1,493.95,132100,483.3445
2016-04-06,494.4,498.05,485.55,489.95,168900,479.4304
2016-04-07,494.6,497.6,488.5,492.95,58500,482.366
2016-04-08,494,501.5,491,499,55500,488.2861
2016-04-11,501.7,501.95,492.4,497.7,49500,487.014
2016-04-12,495.1,502,493,495.75,40600,485.1059
2016-04-13,498.8,503,492,494.25,61300,483.6381
2016-04-14,494.25,494.25,494.25,494.25,0,483.6381
2016-04-15,494.25,494.25,494.25,494.25,0,483.6381
2016-04-18,498,513.9,498,510.95,209200,499.9795
2016-04-19,510.95,510.95,510.95,510.95,0,499.9795
2016-04-20,515,516.4,501.55,503.15,100200,492.347
2016-04-21,507.65,518.3,500,500.45,397800,489.705
2016-04-22,501,505.9,496.05,499.8,44000,489.0689
2016-04-25,504.4,507.5,493.55,494.8,127200,484.1763
2016-04-26,494.1,495.6,485,486.95,100800,476.4948
2016-04-27,491.5,491.5,479,480.75,88900,470.4279
2016-04-28,478,486,468,469.65,80900,459.5663
2016-04-29,469.95,482.9,467,469.65,106600,459.5663
2016-05-02,475.9,481,470.45,477.55,71000,467.2966
2016-05-03,480,483,466,467.4,99800,457.3646
2016-05-04,471.8,474.65,452,459.65,164100,449.781
2016-05-05,458.7,463,452.15,460.65,71600,450.7595
2016-05-06,463.4,494.7,455,487.6,1692400,477.1309
2016-05-09,492,497.5,475,482.8,266400,472.4339
2016-05-10,486.65,487.8,469.35,470.75,121400,460.6427
2016-05-11,468.7,480.95,456,476.05,125800,465.8288
2016-05-12,472,479.75,472,474.15,71100,463.9696
2016-05-13,474.15,479.35,471.1,473.95,122800,463.774
2016-05-16,475,477.8,466,473.6,88100,463.4315
2016-05-17,477,484.75,470.25,478.8,173300,468.5198
2016-05-18,477,486.7,474.75,479.05,120100,468.7644
2016-05-19,479,479.1,472,473.05,89200,462.8933
2016-05-20,470,477.95,470,474.9,65100,464.7035
2016-05-23,473.8,479,472.7,475.2,35300,464.9971
2016-05-24,475,478,471.5,475.45,46600,465.2418
2016-05-25,479,479,474,475.1,40700,464.8993
2016-05-26,476,478.95,472.75,474.95,39000,464.7525
2016-05-27,471.65,480.95,468,474.6,63800,464.41
2016-05-30,472.1,479.9,472.1,475.5,44100,465.2907
2016-05-31,476,495.3,474.1,485.6,208600,475.1738
2016-06-01,485,501.45,484.25,497,137700,486.329
2016-06-02,499.9,504.8,496.25,499.95,73700,489.2157
2016-06-03,503,503.2,492.9,497,40900,486.329
2016-06-06,492.9,509.3,492.9,504.65,93100,493.8148
2016-06-07,509.4,533,504.5,512.9,333500,501.8877
2016-06-08,513,545.5,505.1,541.35,372300,529.7268
2016-06-09,540,541,524.65,526.7,87700,515.3914
2016-06-10,529,545.2,525.1,532.35,275300,520.92
2016-06-13,522.9,558,522.9,554.9,287800,542.9859
2016-06-14,556.5,569.3,556.1,566.65,154100,554.4836
2016-06-15,578.4,587,550.95,555,353400,543.0837
2016-06-16,556.9,560.75,541,543.95,230400,532.271
2016-06-17,546,552.95,535.6,541.55,64000,529.9225
2016-06-20,535.05,549,532,534.3,52600,522.8282
2016-06-21,534.3,539.4,526.3,528.6,37300,517.2506
2016-06-22,530,538,516.55,522.25,196900,511.0369
2016-06-23,523,527.6,517,522.15,63000,510.9391
2016-06-24,502.25,515,501,507.25,81300,496.359
2016-06-27,503,512.9,498.1,501.6,70800,490.8303
2016-06-28,507.9,507.9,488,489.4,202200,478.8922
2016-06-29,493,505,490,496.55,133300,485.8887
2016-06-30,499.5,518.4,495,512.75,372800,501.7409
2016-07-01,517,523,513.2,516.95,620100,505.8507
2016-07-04,520.1,529,514.25,523.7,181000,512.4558
2016-07-05,524.9,532.5,516.15,529.7,246000,518.327
2016-07-06,529.7,529.7,529.7,529.7,0,518.327
2016-07-07,529.7,534.2,506.65,509.25,254200,498.316
2016-07-08,506.75,509.35,499,502.7,163600,491.9067
2016-07-11,509.9,510,501.05,503.5,126700,492.6895
2016-07-12,504,507.65,502,504.05,168500,493.2277
2016-07-13,508.9,508.9,501.3,503.65,92000,492.8363
2016-07-14,507.7,508.6,491.75,497.3,103000,486.6226
2016-07-15,499,500,456.1,470.2,1887000,460.1045
2016-07-18,462,489.8,462,472.65,284200,462.5019
2016-07-19,473,476.35,470,471.9,144500,461.768
2016-07-20,471.9,473.95,466.25,468.95,151200,458.8813
2016-07-21,470,471.95,465,465.75,115400,455.75
2016-07-22,456.5,465,453,463.65,214800,463.65
2016-07-25,463.65,469,458,460.95,131500,460.95
2016-07-26,460,479,460,467.35,455000,467.35
2016-07-27,471.95,471.95,456.75,460.1,163500,460.1
2016-07-28,464,470,452.45,467.5,452800,467.5
