"Date","DHFL.NS.Open","DHFL.NS.High","DHFL.NS.Low","DHFL.NS.Close","DHFL.NS.Volume","DHFL.NS.Adjusted"
2016-03-10,179.9,184.45,179.85,181.1,2184100,174.218
2016-03-11,182.15,185.6,180,183.6,1413700,176.623
2016-03-14,186.3,186.9,180.9,183.25,1229000,176.286
2016-03-15,184.35,185,181.35,183.1,755300,176.142
2016-03-16,183.35,184.25,175.85,180.7,1203100,173.833
2016-03-17,181,182.5,174.25,175.05,1430700,171.241
2016-03-18,173.6,177.65,171.1,177.1,1745500,173.246
2016-03-21,178,187.15,177,185.65,1522300,181.61
2016-03-22,185.8,189.75,185.05,188.85,1343700,184.741
2016-03-23,188,190.8,186.45,189.5,897100,185.377
2016-03-24,189.5,189.5,189.5,189.5,0,185.377
2016-03-25,189.5,189.5,189.5,189.5,0,185.377
2016-03-28,190,190.2,183.8,185,836400,180.974
2016-03-29,185.6,187.65,183.75,185.85,946200,181.806
2016-03-30,187.6,192,186.65,190.9,1082200,186.746
2016-03-31,190.55,197,188.2,196.35,1930000,192.078
2016-04-01,197.9,201.95,196.95,200,1536900,195.648
2016-04-04,202.05,205.5,201.6,202.9,1414800,198.485
2016-04-05,201.3,201.65,188.6,190.15,1746000,186.012
2016-04-06,189.6,194.25,187,192.95,1350000,188.751
2016-04-07,192.95,194.25,186.3,187.45,893500,183.371
2016-04-08,186,189.5,184.4,188.7,880100,184.594
2016-04-11,189,191.5,185.5,190.15,919800,186.012
2016-04-12,190.9,193.8,189.4,192.35,1109200,188.165
2016-04-13,193.8,204.75,193.8,203.05,2871900,198.632
2016-04-14,203.05,203.05,203.05,203.05,0,198.632
2016-04-15,203.05,203.05,203.05,203.05,0,198.632
2016-04-18,204.1,208.3,203.4,207.65,1494000,203.132
2016-04-19,207.65,207.65,207.65,207.65,0,203.132
2016-04-20,209.2,210.7,202.6,207,1411500,202.496
2016-04-21,207,209.5,202.5,205.2,1130600,200.735
2016-04-22,205.45,208.5,204,205.65,817900,201.175
2016-04-25,205.65,205.65,199.2,199.8,952400,195.452
2016-04-26,199.1,207,195.9,205.85,1316500,201.371
2016-04-27,206,208.5,204,205.4,771700,200.931
2016-04-28,205.05,205.9,199,199.75,1318700,195.404
2016-04-29,200,201.6,193.7,198.3,1475900,193.985
2016-05-02,197.3,205,197,203.7,1028900,199.268
2016-05-03,205.2,207,201.1,204,1135400,199.561
2016-05-04,204.6,207.05,196.55,198,2428100,193.692
2016-05-05,191.05,203.15,190.05,201.25,3527200,196.871
2016-05-06,202.6,204.4,195.65,196.6,1497600,192.322
2016-05-09,197.9,201.95,197.5,201,940700,196.626
2016-05-10,202.45,202.45,199.25,200.3,720000,195.942
2016-05-11,197,199.4,195,196.85,818300,192.567
2016-05-12,197.5,206.95,197.2,205,2456500,200.539
2016-05-13,204.95,207.3,202.05,203.9,1734400,199.463
2016-05-16,204.4,204.45,200.2,203.3,770800,198.876
2016-05-17,203.8,205.95,200.7,201.7,1680200,197.311
2016-05-18,200.9,203.3,200,202.05,848300,197.653
2016-05-19,201.25,202,190.5,192.1,1961400,187.92
2016-05-20,191.3,192.45,186.1,186.7,1747300,182.637
2016-05-23,188,190.5,185.8,186.45,891700,182.393
2016-05-24,186.4,187.2,183,183.55,831000,179.556
2016-05-25,185.05,190.3,185.05,189,1613200,184.887
2016-05-26,189.9,196.1,188.6,194.75,1446100,190.512
2016-05-27,196,200,194.75,197.5,1722700,193.202
2016-05-30,197.5,200,193.4,195.25,1443700,191.001
2016-05-31,195.25,200.85,192.55,198.5,1626100,194.181
2016-06-01,200.3,202.5,196.2,197.15,1173500,192.86
2016-06-02,196.95,198.9,194.5,197.65,867700,193.349
2016-06-03,198.1,201.6,196.1,197.2,995700,192.909
2016-06-06,198,198.65,195.1,196.25,781100,191.98
2016-06-07,198,200,195.65,197.4,1155800,193.105
