"Date","DISHTV.NS.Open","DISHTV.NS.High","DISHTV.NS.Low","DISHTV.NS.Close","DISHTV.NS.Volume","DISHTV.NS.Adjusted"
2015-12-30,98.6,101.5,98.2,100.85,4976300,100.85
2015-12-31,101.9,103.2,101,101.55,6066100,101.55
2016-01-01,101.4,102.8,101.1,102.15,2174300,102.15
2016-01-04,101.9,103,99.15,100.55,2342900,100.55
2016-01-05,101.25,101.6,98.1,100.1,3064000,100.1
2016-01-06,100.85,104.95,99.85,103.75,9397300,103.75
2016-01-07,103.6,103.6,97.2,97.85,5596900,97.85
2016-01-08,98.25,100.3,98.2,99.5,2174900,99.5
2016-01-11,98.25,98.25,95.85,96.4,5119800,96.4
2016-01-12,96.65,97.4,94.2,94.9,2663200,94.9
2016-01-13,97,97,90.25,94.05,3807700,94.05
2016-01-14,89,94.5,89,92.2,4126800,92.2
2016-01-15,92.65,93.35,85.5,87.3,3566500,87.3
2016-01-18,87.05,87.3,81.25,82,5736700,82
2016-01-19,82.5,88,81.75,87.35,5568000,87.35
2016-01-20,84.85,86.2,83.5,85.25,3345200,85.25
2016-01-21,86.75,87.3,83.1,84.5,4009700,84.5
2016-01-22,86.5,88.4,85.1,87.8,2541200,87.8
2016-01-25,88.2,90.05,85.45,86.5,2640400,86.5
2016-01-26,86.5,86.5,86.5,86.5,0,86.5
2016-01-27,87,88.95,85.5,88.15,3041100,88.15
2016-01-28,88.45,88.9,86.5,87.3,5778200,87.3
2016-01-29,87.3,91.85,86.2,91.25,4328500,91.25
2016-02-01,91.7,92.4,89.2,89.95,2337200,89.95
2016-02-02,90.85,91.2,87.6,88.6,4075600,88.6
2016-02-03,87.45,88.95,76.1,77.2,19456000,77.2
2016-02-04,79.2,81.6,78.3,79.4,21416300,79.4
2016-02-05,79.3,81.4,77.85,80.3,7945000,80.3
2016-02-08,80.3,83.5,79.5,81.55,7081600,81.55
2016-02-09,80.4,82.6,79.5,81.6,3637900,81.6
2016-02-10,80.6,81.6,77.7,79.15,3940400,79.15
2016-02-11,78.6,78.8,71.4,72.8,6868400,72.8
2016-02-12,73.25,74.9,69.25,74.15,5339400,74.15
2016-02-15,75,77.2,74.35,75.05,4710900,75.05
2016-02-16,75.5,75.95,70.9,71.5,5405300,71.5
2016-02-17,70.95,72.45,68.1,71.5,10932700,71.5
2016-02-18,73.55,74.3,69.3,72.2,4668400,72.2
2016-02-19,72.15,73.9,71.65,72.5,2380300,72.5
2016-02-22,72.25,73.05,71.3,72.45,2785000,72.45
2016-02-23,72.75,72.85,69.55,70.25,3414000,70.25
2016-02-24,70,71.05,68.8,69.65,4583000,69.65
2016-02-25,70.4,70.65,69.05,69.5,4621600,69.5
2016-02-26,70.5,70.65,66.5,67.4,6679800,67.4
2016-02-29,68,68.8,65.2,67.75,8512300,67.75
2016-03-01,67.5,71.9,67.5,71.25,6250600,71.25
2016-03-02,72.25,74.75,72.25,73.35,5763200,73.35
2016-03-03,74.3,74.4,70.75,72,8768400,72
2016-03-04,72.1,75.85,71.4,75.25,10219700,75.25
2016-03-07,75.25,75.25,75.25,75.25,0,75.25
2016-03-08,75.7,78.35,75.55,77.75,7103500,77.75
2016-03-09,77.9,79.9,77.25,79.25,8572100,79.25
2016-03-10,79.7,80,77.5,77.85,3282700,77.85
2016-03-11,78,80.6,78,79.85,6909800,79.85
2016-03-14,80.7,81.3,79.9,80.85,2851500,80.85
2016-03-15,80.85,81,79,79.35,2644900,79.35
2016-03-16,79.3,82,78.35,81.5,4047500,81.5
2016-03-17,83,83,81.55,82.25,5267200,82.25
2016-03-18,82.65,85.2,82.2,84.4,5112900,84.4
2016-03-21,84.9,86.6,84.2,85.05,4661500,85.05
2016-03-22,85.05,86.45,84.65,85.2,4061800,85.2
2016-03-23,85.2,85.65,81.65,83.15,4411000,83.15
2016-03-24,83.15,83.15,83.15,83.15,0,83.15
2016-03-25,83.15,83.15,83.15,83.15,0,83.15
2016-03-28,83.5,83.7,79,79.45,5400100,79.45
2016-03-29,79.6,83.65,79.25,82.15,4066500,82.15
2016-03-30,83.05,85,82.5,84.35,3315700,84.35
2016-03-31,84.2,88.3,83.25,86.7,8206900,86.7
2016-04-01,86.5,86.55,84.15,85.3,2968300,85.3
2016-04-04,85.6,89.5,85.2,88.8,4611000,88.8
2016-04-05,89,89.3,83.65,84.1,4831300,84.1
2016-04-06,84.45,88.2,84.4,87.8,4080200,87.8
2016-04-07,88.15,89,85.1,85.45,4749200,85.45
2016-04-08,85.7,86.8,83.7,84.45,4595400,84.45
2016-04-11,84.6,85.8,83.5,85.35,4861600,85.35
2016-04-12,85.75,87.15,85.4,86.4,2265000,86.4
2016-04-13,87.65,88.5,86.75,87.05,2945600,87.05
2016-04-14,87.05,87.05,87.05,87.05,0,87.05
2016-04-15,87.05,87.05,87.05,87.05,0,87.05
2016-04-18,86.75,92.15,86.2,91.2,5627100,91.2
2016-04-19,91.2,91.2,91.2,91.2,0,91.2
2016-04-20,92,92.5,88,88.25,4371300,88.25
2016-04-21,88.8,90.3,87.7,88.25,3973900,88.25
2016-04-22,88.5,89.6,88,88.8,2453600,88.8
2016-04-25,89.3,91.2,88.55,90.9,3696600,90.9
