"Date","YESBANK.NS.Open","YESBANK.NS.High","YESBANK.NS.Low","YESBANK.NS.Close","YESBANK.NS.Volume","YESBANK.NS.Adjusted"
2016-01-07,692.9,692.9,675.7,678.85,2410500,672.23
2016-01-08,685,699,683.35,693.7,2559200,686.94
2016-01-11,685,704.65,676.25,694.5,2960200,687.73
2016-01-12,697.55,699.45,668.4,672.95,3080200,666.39
2016-01-13,681.5,689.85,660.1,682.7,4964700,676.04
2016-01-14,672.95,678.65,662,674.2,3573800,667.63
2016-01-15,680,683.6,660.1,663.7,3630400,657.23
2016-01-18,661,670.05,651.7,656,3781100,649.6
2016-01-19,663,686.5,657.5,681.25,4878600,674.61
2016-01-20,673.9,675.8,631.55,646.25,5289100,639.95
2016-01-21,655.05,673,647.45,654.3,4106900,647.92
2016-01-22,667,689.7,661.75,684,3313500,677.33
2016-01-25,691.9,695.1,673.5,677.5,1963500,670.89
2016-01-26,677.5,677.5,677.5,677.5,0,670.89
2016-01-27,680.1,684.8,665,678.05,2015000,671.44
2016-01-28,679.85,686.4,667.65,671.55,3204400,665
2016-01-29,663,749.5,651.15,746.8,17412600,739.52
2016-02-01,754.4,775.8,744.5,772.4,11058800,764.87
2016-02-02,772.4,785,760.4,764.3,6597000,756.85
2016-02-03,751.35,789,750.05,777.7,5864700,770.12
2016-02-04,784.7,787.95,754.25,759.35,5944400,751.95
2016-02-05,759.2,779.9,759.2,777.05,3195600,769.47
2016-02-08,775.2,789.5,765,768.35,3222400,760.86
2016-02-09,758.55,768.9,741.5,746.85,3810100,739.57
2016-02-10,742.1,746.75,727.6,735.35,4386700,728.18
2016-02-11,735,739.8,709.6,714.45,3114200,707.48
2016-02-12,720,732.95,692.2,728.45,4455500,721.35
2016-02-15,735.2,761.8,735.15,753.4,3776900,746.05
2016-02-16,758.45,759.3,731,733.85,3312700,726.69
2016-02-17,732.9,732.9,701.2,720.35,5279700,713.33
2016-02-18,728,735.9,706.4,714.25,3211100,707.29
2016-02-19,711,723.6,708.55,712.55,2365200,705.6
2016-02-22,716,720.5,709.2,712.75,1729700,705.8
2016-02-23,712.5,717.25,681.2,686.35,4300000,679.66
2016-02-24,683.85,703.75,672.05,690.65,4168200,683.92
2016-02-25,694.8,695.05,666.6,670.5,4461100,663.96
2016-02-26,682.3,692,668.9,686.55,4125400,679.86
2016-02-29,687.95,704,663.35,689,4985800,682.28
2016-03-01,696.8,721.8,690.95,719.4,4081700,712.38
2016-03-02,731,761.75,730.5,755.25,5333000,747.89
2016-03-03,759,760,741.1,757.65,4023200,750.26
2016-03-04,756,769.5,745.25,759.05,3818500,751.65
2016-03-07,759.05,759.05,759.05,759.05,0,751.65
2016-03-08,769,769.55,751.6,759.55,4258300,752.14
2016-03-09,755,793.4,751.3,790.6,6059700,782.89
2016-03-10,794,800.95,784.5,791.4,3653900,783.68
2016-03-11,787,804.8,785.6,800.6,4150500,792.79
2016-03-14,805,810,797,802,2506200,794.18
2016-03-15,801,817,797.05,810.95,3612800,803.04
2016-03-16,807,815.5,795.5,804.4,3349000,796.56
2016-03-17,811.1,818.8,793,799.55,3092100,791.75
2016-03-18,801,817.5,795.75,814.25,2644100,806.31
2016-03-21,818,834.5,812.75,831.85,3430100,823.74
2016-03-22,831,837.75,822.65,832.2,2618300,824.08
2016-03-23,830,851.85,826.45,849.25,4193500,840.97
2016-03-24,849.25,849.25,849.25,849.25,0,840.97
2016-03-25,849.25,849.25,849.25,849.25,0,840.97
2016-03-28,843.15,859.9,835.5,842.25,3450200,834.04
2016-03-29,841,854.4,836,846.35,1969100,838.1
2016-03-30,853.5,870,848.55,866.3,2709000,857.85
2016-03-31,862.5,875,858.55,865.05,6246400,856.61
