"Date","MARUTI.NS.Open","MARUTI.NS.High","MARUTI.NS.Low","MARUTI.NS.Close","MARUTI.NS.Volume","MARUTI.NS.Adjusted"
2016-06-03,4192.15,4235,4180,4217.95,591600,4188.82
2016-06-06,4216,4217,4118,4142,443000,4113.39
2016-06-07,4175,4188.95,4118,4135.65,471300,4107.09
2016-06-08,4131,4169.8,4124.7,4160.1,417700,4131.37
2016-06-09,4152.05,4189.75,4140,4169.15,305400,4140.36
2016-06-10,4165.1,4197,4100,4111.5,464800,4083.1
2016-06-13,4074,4150,4062,4134.75,385600,4106.19
2016-06-14,4145,4155.9,4096,4104.5,403100,4076.15
2016-06-15,4125,4215,4112.1,4209.6,510800,4180.53
2016-06-16,4160,4164,4062,4084.1,1118500,4055.89
2016-06-17,4115,4158,4093.45,4114.5,951600,4086.08
2016-06-20,4076.55,4144.8,4065.7,4133.2,667100,4104.65
2016-06-21,4146,4168.1,4109,4157.4,512300,4128.69
2016-06-22,4145,4180.5,4125.05,4151.35,417500,4122.68
2016-06-23,4151.9,4175,4120.45,4168.6,341000,4139.81
2016-06-24,4053,4092.1,3866.6,4070.05,1559700,4041.94
2016-06-27,4061,4061,4004.1,4025.1,836600,3997.3
2016-06-28,4041.1,4081.95,4040,4078.7,626400,4050.53
2016-06-29,4100,4141,4089.2,4131.25,646900,4102.72
2016-06-30,4179.9,4200,4145.55,4187.2,770500,4158.28
2016-07-01,4188.6,4214.2,4132,4165.4,804600,4136.63
2016-07-04,4171,4190.5,4155.75,4173.8,343600,4144.97
2016-07-05,4180,4202,4150,4173.35,282400,4144.53
2016-07-06,4173.35,4173.35,4173.35,4173.35,0,4144.53
2016-07-07,4181.1,4189.9,4125,4141.1,325800,4112.5
2016-07-08,4142,4175.65,4126,4161.8,261200,4133.06
2016-07-11,4190,4285.9,4189.95,4272.05,518400,4242.54
2016-07-12,4300,4382,4291,4370.4,688900,4340.22
2016-07-13,4350,4360,4301,4321.4,416900,4291.55
2016-07-14,4326,4439,4326,4428.3,637500,4397.72
2016-07-15,4450,4493.55,4404.5,4472.05,654000,4441.16
2016-07-18,4477,4564.4,4432.4,4454.75,684900,4423.98
2016-07-19,4455.2,4499,4440,4485.7,378700,4454.72
