"Date","SYNDIBANK.NS.Open","SYNDIBANK.NS.High","SYNDIBANK.NS.Low","SYNDIBANK.NS.Close","SYNDIBANK.NS.Volume","SYNDIBANK.NS.Adjusted"
2016-03-17,63.5,64.5,62.75,63.2,1261300,63.2
2016-03-18,62,69.45,61.65,65.9,4734900,65.9
2016-03-21,65.55,67.1,65.2,66,2626100,66
2016-03-22,66,66.05,64.35,65.15,1312300,65.15
2016-03-23,65,65.4,64,64.6,1310500,64.6
2016-03-24,64.6,64.6,64.6,64.6,0,64.6
2016-03-25,64.6,64.6,64.6,64.6,0,64.6
2016-03-28,64.45,65.2,63,63.55,1008100,63.55
2016-03-29,63.8,64.6,63.3,63.95,1551500,63.95
2016-03-30,64.45,66.55,64.35,66.1,2264500,66.1
2016-03-31,66.1,68.6,63.7,67.65,4449900,67.65
2016-04-01,67.5,72.05,67.1,71.25,3449000,71.25
2016-04-04,72.4,73.2,69.15,69.6,3447100,69.6
2016-04-05,69.5,70.45,66.85,67.7,3900300,67.7
2016-04-06,67.7,68.5,66.55,67.15,1730900,67.15
2016-04-07,67.15,67.5,65.1,65.95,2233900,65.95
2016-04-08,65.95,66.9,65.7,66.35,1069800,66.35
2016-04-11,66.35,68.5,65.4,68.25,1851300,68.25
2016-04-12,68.5,69.45,67.1,67.8,2297800,67.8
2016-04-13,68.35,69.15,67.7,67.95,2461400,67.95
2016-04-14,67.95,67.95,67.95,67.95,0,67.95
2016-04-15,67.95,67.95,67.95,67.95,0,67.95
2016-04-18,68,68,66.35,67.25,1440100,67.25
2016-04-19,67.25,67.25,67.25,67.25,0,67.25
2016-04-20,67.5,69.25,66,68.75,1926400,68.75
2016-04-21,69.1,72.6,69.1,70.2,4751700,70.2
2016-04-22,69.6,72,69.3,70.9,2670000,70.9
2016-04-25,70.95,71.5,69.05,69.9,1692300,69.9
2016-04-26,70.4,71.15,69.1,70.45,1706000,70.45
2016-04-27,71,71,69.65,70.15,1065900,70.15
2016-04-28,70.45,70.8,69.25,69.45,1854400,69.45
2016-04-29,69.25,70.3,67.5,69.65,3017400,69.65
2016-05-02,69,69.65,68.4,69.15,1407200,69.15
2016-05-03,69.9,71.15,68.05,68.3,2283400,68.3
2016-05-04,68.1,69,66.05,66.7,1866300,66.7
2016-05-05,66.5,67.05,65.4,65.8,2374400,65.8
2016-05-06,66.7,69.5,66.5,68.3,4776300,68.3
2016-05-09,68.6,71.7,68.6,70.9,3047600,70.9
2016-05-10,70.9,71.5,70.05,71.3,1603400,71.3
2016-05-11,70.2,72.45,69.5,71,2334800,71
2016-05-12,71,71.5,67.3,68.45,4006600,68.45
2016-05-13,68.05,68.4,65.1,65.85,2367700,65.85
2016-05-16,65.1,65.95,62.35,63.45,3651000,63.45
2016-05-17,63.4,68.8,60.7,66.45,16679900,66.45
2016-05-18,65.05,69.4,64.4,68.55,12454900,68.55
2016-05-19,67.5,68.9,65.5,65.8,3961800,65.8
2016-05-20,66.4,66.4,63,63.4,4037900,63.4
2016-05-23,63.9,64,61.15,61.45,2427100,61.45
2016-05-24,61.55,61.65,59.4,60.1,2660000,60.1
2016-05-25,60.8,61.65,60.3,60.9,3046000,60.9
2016-05-26,60.9,61.95,60,61.6,6741600,61.6
2016-05-27,61.9,66.2,61.8,64.2,4130600,64.2
2016-05-30,65.25,66.6,64.4,65.8,2513800,65.8
2016-05-31,65.1,67.6,63.45,67.1,4298300,67.1
2016-06-01,67,68.1,64.1,64.35,3739100,64.35
2016-06-02,64.45,65.9,63.9,65.35,2238700,65.35
2016-06-03,65.6,66.2,63.15,63.55,2181400,63.55
2016-06-06,64.2,65.1,63.85,64.25,2203600,64.25
2016-06-07,64.5,66.35,63.8,65.45,3117000,65.45
2016-06-08,65.45,67.4,65,66.5,2706900,66.5
2016-06-09,66.9,68.65,66.3,67.45,3569700,67.45
2016-06-10,67,68.45,66.35,66.7,2397400,66.7
2016-06-13,66.3,66.4,64.8,65.95,1621300,65.95
2016-06-14,66.3,67.9,66,67.6,2322600,67.6
2016-06-15,67.5,68.45,66.9,67.9,3152800,67.9
2016-06-16,67.5,71.7,66.5,71.25,6817700,71.25
2016-06-17,72.25,72.5,70.25,71.8,5266600,71.8
2016-06-20,70.2,73,69.2,72.45,4161400,72.45
2016-06-21,72.45,73.8,71.3,71.7,2831900,71.7
2016-06-22,71.6,73.35,71.1,71.5,3077200,71.5
2016-06-23,71.15,73.1,71.15,72.65,2447000,72.65
2016-06-24,70.15,70.9,67.1,70.25,5195600,70.25
2016-06-27,70.2,72.75,70.2,72.15,3899800,72.15
2016-06-28,72.5,73.5,71.95,72.3,2772500,72.3
2016-06-29,72.7,73.2,72.15,72.4,2492300,72.4
2016-06-30,73,73.5,72.5,72.8,3309800,72.8
2016-07-01,73.5,74,72.45,73.35,3361600,73.35
2016-07-04,73.9,78.8,73.7,77.8,6373400,77.8
2016-07-05,78.6,81.5,78.6,79.6,6904500,79.6
2016-07-06,79.6,79.6,79.6,79.6,0,79.6
2016-07-07,79.95,81.05,78.8,79.15,3026900,79.15
2016-07-08,79.8,79.8,76.1,77.4,4409100,77.4
2016-07-11,79.15,80.6,78.6,80.35,4160100,80.35
2016-07-12,81.25,81.25,79.05,79.95,4107000,79.95
2016-07-13,80.5,80.5,77.3,77.85,3182100,77.85
2016-07-14,78,81.3,77.2,80.6,4774800,80.6
2016-07-15,81.4,82.25,80.15,80.75,5527700,80.75
2016-07-18,81.25,81.75,78.05,78.4,3867900,78.4
2016-07-19,78.85,80.7,77.1,79.15,4099500,79.15
2016-07-20,79.55,79.55,77.8,78.55,2474200,78.55
2016-07-21,78,78.35,75,75.25,3282700,75.25
2016-07-22,75,75.5,73.05,75.2,3801900,75.2
2016-07-25,75.35,79.3,74.6,78,4026000,78
2016-07-26,78.3,79.95,76.6,76.9,2864700,76.9
2016-07-27,77.25,77.95,74.55,75.65,4284400,75.65
2016-07-28,75.7,78.5,74.35,76.55,13513000,76.55
2016-07-29,76.75,77.6,75.4,76.55,3840500,76.55
2016-08-01,77.1,77.25,74.45,74.85,2963700,74.85
2016-08-02,75.3,76.05,73.8,74.55,3569800,74.55
2016-08-03,74.9,75.75,72.9,73.4,3989900,73.4
2016-08-04,74.05,74.65,72.6,73.95,4169400,73.95
2016-08-05,74.5,75.5,74.25,75,2952800,75
2016-08-08,75.3,75.35,74,74.6,1469800,74.6
2016-08-09,74.95,76.25,74.15,74.65,2317500,74.65
2016-08-10,74.65,75,71.35,72,2750100,72
2016-08-11,71.2,72.05,69.75,70.8,2290500,70.8
2016-08-12,70.95,73.75,70.15,72.6,3163100,72.6
2016-08-15,72.6,72.6,72.6,72.6,0,72.6
2016-08-16,73.2,73.2,71.35,72.4,1846200,72.4
2016-08-17,72.4,74.15,72.15,73.1,2374500,73.1
2016-08-18,73.5,74.25,73.25,73.45,1528500,73.45
2016-08-19,73.55,75.95,73.5,75.75,3631500,75.75
2016-08-22,75.95,76.45,74.55,75.1,2082800,75.1
2016-08-23,75.1,76.25,74.35,75.75,2698900,75.75
2016-08-24,75.55,76.15,75.05,75.5,2213900,75.5
2016-08-25,75.9,76,74.65,74.95,1845000,74.95
2016-08-26,75.1,75.4,72.9,73.2,1539000,73.2
2016-08-29,73.2,73.6,72.25,73.2,1532500,73.2
2016-08-30,73.55,77.95,73.25,77.35,4020800,77.35
2016-08-31,77,78.55,76.8,77.1,3601500,77.1
2016-09-01,77.1,77.4,73.2,73.85,2531200,73.85
2016-09-02,73.8,75.45,73.8,75.1,1776900,75.1
2016-09-05,75.1,75.1,75.1,75.1,0,75.1
2016-09-06,75.4,76.9,75.4,76.55,2529200,76.55
2016-09-07,76.8,80.5,76.5,79.05,4977900,79.05
