"Date","CUMMINSIND.NS.Open","CUMMINSIND.NS.High","CUMMINSIND.NS.Low","CUMMINSIND.NS.Close","CUMMINSIND.NS.Volume","CUMMINSIND.NS.Adjusted"
2016-03-09,860,873.9,853.05,863.4,171200,849.8723
2016-03-10,865,889,846,851.4,140000,838.0604
2016-03-11,851.4,857,842.45,847.4,286900,834.123
2016-03-14,851.85,869.1,834.5,841.85,317200,828.6599
2016-03-15,840,845,831.1,843.3,105300,830.0872
2016-03-16,843.3,855.55,832.5,847.35,105300,834.0738
2016-03-17,862,862,840.1,845.9,240000,832.6465
2016-03-18,846,851.4,835.25,839.55,223500,826.396
2016-03-21,849.8,854.6,835.5,849.55,295100,836.2393
2016-03-22,854.95,899.85,849.1,888.15,348500,874.2346
2016-03-23,890,896,873.9,879.2,217800,865.4248
2016-03-24,879.2,879.2,879.2,879.2,0,865.4248
2016-03-25,879.2,879.2,879.2,879.2,0,865.4248
2016-03-28,878,890,867.45,877.95,125100,864.1944
2016-03-29,862,872.95,842.6,848.95,251200,835.6487
2016-03-30,845.8,851.85,837.2,847.75,619600,834.4675
2016-03-31,854,867,836.1,841.8,807700,828.6107
2016-04-01,840,894.9,840,861.75,508900,848.2482
2016-04-04,860.2,877.75,860,863,123600,849.4786
2016-04-05,860.25,860.3,836.2,838.35,182600,825.2148
2016-04-06,838,885,828.15,874.65,309000,860.9461
2016-04-07,872.45,877,857,860.9,96400,847.4115
2016-04-08,860,875,859.5,866.75,67700,853.1698
2016-04-11,870,884.1,866.05,880.15,205900,866.3599
2016-04-12,880.1,906.9,873.6,890.6,437100,876.6461
2016-04-13,900,919,896,906.2,460700,892.0017
2016-04-14,906.2,906.2,906.2,906.2,0,892.0017
2016-04-15,906.2,906.2,906.2,906.2,0,892.0017
2016-04-18,910,914.4,883,888.1,179100,874.1853
2016-04-19,888.1,888.1,888.1,888.1,0,874.1853
2016-04-20,892.1,903.35,881.1,892.2,294500,878.2211
2016-04-21,898.15,899.9,873,876.95,534100,863.21
2016-04-22,882.8,883,866.6,876.3,65900,862.5702
2016-04-25,877,883.85,855,864.05,73700,850.5121
2016-04-26,869,885.9,863.35,881.95,120000,868.1317
2016-04-27,880,905,878.2,888.55,170800,874.6283
2016-04-28,892.9,900.8,855.8,868.75,162400,855.1385
2016-04-29,874.1,905,871,885.15,269700,871.2816
2016-05-02,889.8,895,881,889.05,63800,875.1204
2016-05-03,895,914.9,888.15,893.5,365600,879.5007
2016-05-04,892.5,893.45,845.2,853.35,285700,839.9798
2016-05-05,860,866,842.05,850.75,202200,837.4205
2016-05-06,855,860.5,851,854.85,53600,841.4563
2016-05-09,854,866.6,850.5,864.35,105400,850.8074
2016-05-10,868.9,891,857.1,881.6,219300,867.7871
2016-05-11,881.8,895,866.7,870.25,260600,856.615
2016-05-12,871,879.85,861.55,865.05,276300,851.4965
2016-05-13,870,870,850,854.15,106300,840.7673
2016-05-16,858,864.65,845.05,850.3,327200,836.9776
2016-05-17,851.1,853.65,843.35,850.05,109800,836.7315
2016-05-18,854.5,870,842.05,858.8,135000,845.3444
2016-05-19,860,868.4,851,858.85,191700,845.3936
2016-05-20,859,868,852.35,864.5,90600,850.9551
2016-05-23,869.7,882,869.5,871.7,245700,858.0423
2016-05-24,868,879,862.2,870.6,231400,856.9595
2016-05-25,876,877.85,857.05,861.9,192200,848.3958
2016-05-26,846.1,846.1,746.15,807.65,3632800,794.9958
2016-05-27,807,807.65,759.05,783.9,2720000,771.6179
2016-05-30,778,793.9,778,788.45,267300,776.0966
2016-05-31,788.45,804,787.95,800,605300,787.4657
2016-06-01,803.45,807,771,776.1,541400,763.9401
2016-06-02,784,792.55,770,789.95,387700,777.5731
2016-06-03,789,801,787,798.95,352600,786.4321
2016-06-06,798.8,804.65,792.1,799.8,390700,787.2688
2016-06-07,805,805,795.25,800.05,344300,787.5149
2016-06-08,800,807,795,800,149600,787.4657
2016-06-09,800,803.25,787.5,793.25,231800,780.8214
2016-06-10,797.95,800.2,786,796.7,547000,784.2174
2016-06-13,795,799.95,787.2,797.9,172500,785.3986
2016-06-14,799.95,818.2,797.75,800.3,390400,787.761
2016-06-15,804,808,799.2,800.3,156500,787.761
2016-06-16,799.95,802,791.9,800.25,337600,787.7118
2016-06-17,801.7,806.2,797.3,799.85,155700,787.318
2016-06-20,798.65,804,791.3,800.15,141600,787.6133
2016-06-21,802,807,797.15,801.2,212600,788.6469
2016-06-22,801,813,792.2,809.7,141300,797.0137
2016-06-23,815,817,801.25,813.9,112700,801.1479
2016-06-24,800,819.2,774.9,800.7,391200,788.1547
2016-06-27,802,812.95,798.05,806.05,343300,793.4209
2016-06-28,806,819.2,806,810.7,402900,797.998
2016-06-29,812.05,835,812,831.25,430000,818.226
2016-06-30,840,855,827.6,848.9,594300,835.5995
2016-07-01,848,863.75,837.5,843.85,111600,830.6286
2016-07-04,847.9,857,840,852.5,508500,839.1431
2016-07-05,852.5,856,840,841.65,325000,828.4631
2016-07-06,841.65,841.65,841.65,841.65,0,828.4631
2016-07-07,842.1,844.85,821,824.65,543000,811.7295
2016-07-08,829,829,813,818.05,163700,805.2328
2016-07-11,823.1,835,821.65,823.9,234000,810.9912
2016-07-12,828,828,813.1,816.6,367100,803.8056
2016-07-13,816,830.95,816,820.4,302400,807.5461
2016-07-14,817,826,815,818.6,124900,805.7742
2016-07-15,818,825,815.1,817.8,188300,804.9868
2016-07-18,819,828.5,818.2,823.2,182700,810.3022
2016-07-19,823,845.85,823,843.95,335800,830.7271
2016-07-20,845.05,858.9,845,855,284800,841.6039
2016-07-21,855,891.25,855,884.5,615600,870.6417
2016-07-22,894,895.05,880.6,887.25,222400,873.3486
2016-07-25,887.25,904.8,885.35,893.1,318400,879.107
2016-07-26,887.4,900,879.55,890.5,138000,876.5477
2016-07-27,890.5,898.75,876.4,881.8,283300,867.984
2016-07-28,878.15,898.85,871.3,885.55,252800,880.6637
2016-07-29,887.25,888.25,868.05,870.6,96900,865.7961
2016-08-01,871,880,831.7,843.3,509800,838.6468
2016-08-02,840.3,858.65,838.05,850.65,205800,845.9563
2016-08-03,850.1,852.7,810,826.3,306100,821.7406
2016-08-04,826.25,848.8,814.5,839.15,752300,834.5197
2016-08-05,839.3,877.2,835.8,856.6,1387200,851.8734
2016-08-08,859,929,858.05,903.45,676500,898.4649
2016-08-09,910,913.6,882,898.4,806000,893.4428
2016-08-10,898,905,887.6,896.5,206800,891.5533
2016-08-11,888.25,897,867,890.45,148400,885.5367
2016-08-12,897,910,891.05,902.5,187900,897.5201
2016-08-15,902.5,902.5,902.5,902.5,0,897.5201
2016-08-16,909,925,893,901.3,324000,896.3268
2016-08-17,896,905.95,889.85,895.35,190900,890.4096
2016-08-18,897.9,902.95,892.55,895.85,137600,890.9068
2016-08-19,895,901,892,895.1,114000,890.161
2016-08-22,897,898.55,875.1,878.35,88200,873.5034
2016-08-23,876,892.1,873.6,885.5,95300,880.614
2016-08-24,890,917.3,883.95,902.15,272500,897.1721
2016-08-25,912.5,915,893.4,897.55,278700,892.5975
2016-08-26,905,905,886.45,894.75,178000,889.8129
2016-08-29,895,904.95,887.4,900.5,85300,895.5312
2016-08-30,903,931.95,902.85,917.2,468900,912.139
2016-08-31,923,933.75,913,920.4,177900,915.3214
2016-09-01,926.9,927.35,918,922.1,123900,917.012
2016-09-02,922.1,938.5,918.4,924,327300,918.9015
2016-09-05,924,924,924,924,0,918.9015
2016-09-06,933,933,907.05,922.1,229000,917.012
2016-09-07,925.05,932,916.6,926.45,172900,921.338
2016-09-08,927,944.7,918,935.6,429900,930.4375
2016-09-09,935.65,947,927.85,933.95,178900,928.7966
2016-09-12,927,933.45,911.25,928.6,414500,923.4761
2016-09-13,928.6,928.6,928.6,928.6,0,923.4761
2016-09-14,933,937.5,907.75,913.8,450300,908.7578
2016-09-15,913.85,918,897.15,906.05,297000,901.0505
2016-09-16,909.7,927.4,909.7,921.4,198900,916.3159
2016-09-19,923,929.85,917.95,922.15,205500,917.0617
2016-09-20,925,927.35,910.6,916.5,90300,911.4429
2016-09-21,916,916.9,897,900.3,326200,895.3323
2016-09-22,905.1,914.4,897.2,906.75,78800,901.7467
