"Date","ICICIBANK.NS.Open","ICICIBANK.NS.High","ICICIBANK.NS.Low","ICICIBANK.NS.Close","ICICIBANK.NS.Volume","ICICIBANK.NS.Adjusted"
2015-11-18,267,268.25,259.5,260.45,8636900,255.2
2015-11-19,263,268,262.6,266.4,8744200,261.03
2015-11-20,264.6,270.25,263.5,264.95,8927100,259.61
2015-11-23,266,267.75,257.3,265.95,11577800,260.59
2015-11-24,263.35,265.4,259.65,263.35,10705100,258.04
2015-11-25,263.35,263.35,263.35,263.35,0,258.04
2015-11-26,263.25,267.7,263.25,264,12050300,258.68
2015-11-27,265.75,271,264.4,270.05,10553100,264.6
2015-11-30,268.2,277.5,268.2,273.55,15026300,268.03
2015-12-01,275.05,276.75,273.3,273.9,6003300,268.38
2015-12-02,274.55,275.4,268.55,270.4,6510000,264.95
2015-12-03,268.65,270.05,265.1,265.8,7772000,260.44
2015-12-04,263.05,264,260.8,261.45,8259600,256.18
2015-12-07,264.3,264.55,261.6,263.05,5020600,257.75
2015-12-08,261.75,262.5,259.65,261.45,10567400,256.18
2015-12-09,260.8,261.95,258.4,259.45,7390600,254.22
2015-12-10,260.85,261.9,256,258.95,10048300,253.73
2015-12-11,260.55,261.1,247.15,249.3,17137400,244.27
2015-12-14,247.3,251.95,245,249,12072400,243.98
2015-12-15,247.9,247.9,243.05,246.4,12432300,241.43
2015-12-16,247.25,253.5,243.65,252.05,17168400,246.97
2015-12-17,253.95,255.3,250.1,253.15,16083900,248.05
2015-12-18,252.1,253,249.85,250.1,13137000,245.06
2015-12-21,250.1,259.5,250,258.2,13007000,252.99
2015-12-22,256.5,263.5,256.45,259.55,19402600,254.32
2015-12-23,259.6,262.95,259.1,261.85,10485400,256.57
2015-12-24,263,263.6,257.3,257.95,5543000,252.75
2015-12-25,257.95,257.95,257.95,257.95,0,252.75
2015-12-28,260.05,265,260,264.05,10947000,258.73
2015-12-29,264,266.5,261.5,264.75,8231500,259.41
2015-12-30,263.25,264.45,261.75,262.35,9114100,257.06
2015-12-31,262.1,263.85,260.15,261.35,7769400,256.08
2016-01-01,261.3,263.6,258,263,5452800,257.7
2016-01-04,261,261.35,254.65,255.55,8577900,250.4
2016-01-05,256.25,257.5,251.7,256.7,8151700,251.52
2016-01-06,255.4,256.75,249.2,250.1,15832800,245.06
2016-01-07,246.4,247.7,243.1,246.75,16582400,241.77
2016-01-08,244.5,247.8,243.45,245.05,13094900,240.11
2016-01-11,241.9,243.9,238.05,239.45,12916900,234.62
2016-01-12,241,241.85,235.6,236.75,10814400,231.98
2016-01-13,237.8,242.9,231.1,239.5,16559700,234.67
2016-01-14,234.2,239.8,231.8,235.75,13273400,231
2016-01-15,235.6,236.3,221.75,224.45,20303500,219.92
2016-01-18,224.2,228.7,217.8,223.1,27490000,218.6
2016-01-19,224.65,231.25,224.65,228.75,14747600,224.14
2016-01-20,224.9,227.9,220.1,224.4,13048600,219.87
2016-01-21,228.5,233.5,224.2,226.3,14241600,221.74
2016-01-22,232.6,234.9,229.8,232.75,13771300,228.06
2016-01-25,235.95,238.5,234.2,236.05,15579300,231.29
2016-01-26,236.05,236.05,236.05,236.05,0,231.29
2016-01-27,238,239.3,234.7,237.3,11050500,232.51
2016-01-28,238.55,239.55,231.25,233.2,22052800,228.5
2016-01-29,219,234.3,219,230.15,43414000,225.51
2016-02-01,227,227.35,215.9,217.2,36723300,212.82
2016-02-02,218,219.7,209.7,210.4,28928500,206.16
2016-02-03,207,208.8,202.55,204.05,21447500,199.94
2016-02-04,206.4,206.4,200.5,203.95,28062800,199.84
2016-02-05,205.5,211,203.6,209.4,32899400,205.18
2016-02-08,211,215.5,206.15,208.55,17605500,204.34
2016-02-09,204,211.5,200.75,209.4,19006000,205.18
2016-02-10,203.1,209.5,202,207.25,20674600,203.07
2016-02-11,203.75,206.95,198,199.25,28924600,195.23
2016-02-12,196.6,198.4,190.5,193.55,37977700,189.65
2016-02-15,193.9,207.3,193.9,203.5,31027500,199.4
2016-02-16,207,207,195.5,196.6,18996300,192.64
2016-02-17,196.5,197.15,188.85,190.75,26174600,186.9
2016-02-18,193.5,199,193.2,196.15,29327500,192.19
2016-02-19,195.8,201.45,195.25,198.8,16015800,194.79
2016-02-22,197.5,201.3,196.45,198.45,15970700,194.45
2016-02-23,199.4,199.4,190.25,192,18183600,188.13
2016-02-24,189,191.2,185.85,187,18777200,183.23
2016-02-25,187.7,189,181.55,183,34855100,179.31
2016-02-26,184.3,185.95,180.75,184.8,22443400,181.07
2016-02-29,184.8,195.9,181.7,190.05,39554900,186.22
2016-03-01,195.25,206.45,195.25,204.95,24748800,200.82
2016-03-02,211.7,221.4,211.1,220,37060500,215.56
2016-03-03,218.6,220.3,214.2,218,20821500,213.6
2016-03-04,221.75,224.4,219.05,220.5,22267000,216.05
2016-03-07,220.5,220.5,220.5,220.5,0,216.05
2016-03-08,219.95,219.95,214.3,216.85,17166300,212.48
2016-03-09,212.8,217.9,210.05,216.35,15727800,211.99
2016-03-10,218,218.85,214.6,215.5,12319300,211.15
2016-03-11,213.35,218.55,212.6,213.85,13526900,209.54
2016-03-14,219,222.8,218.65,221.65,15206100,217.18
2016-03-15,222.8,224.85,220.5,221.35,12250500,216.89
