"Date","AJANTPHARM.NS.Open","AJANTPHARM.NS.High","AJANTPHARM.NS.Low","AJANTPHARM.NS.Close","AJANTPHARM.NS.Volume","AJANTPHARM.NS.Adjusted"
2016-03-16,1405,1406,1368.5,1384.90002,87000,1367.25274
2016-03-17,1402.80005,1402.80005,1349.44995,1358.80005,197600,1349.27958
2016-03-18,1357,1365.94995,1315.90002,1341.90002,165100,1332.49797
2016-03-21,1335,1359,1323,1351.09998,115000,1341.63346
2016-03-22,1352.09998,1391.05005,1343.84998,1385.19995,131300,1375.49451
2016-03-23,1398.94995,1419.09998,1395.19995,1404.05005,125500,1394.21254
2016-03-24,1404.05005,1404.05005,1404.05005,1404.05005,0,1394.21254
2016-03-25,1404.05005,1404.05005,1404.05005,1404.05005,0,1394.21254
2016-03-28,1415,1420,1385.09998,1397.25,151900,1387.46013
2016-03-29,1400.5,1407.55005,1310,1336.30005,179400,1326.93723
2016-03-30,1350.09998,1379.90002,1332,1370.84998,111200,1361.24508
2016-03-31,1367.19995,1445,1366.19995,1409.15002,162700,1399.27678
2016-04-01,1412,1417.44995,1384,1393.05005,99500,1383.28961
2016-04-04,1394.09998,1400,1360.19995,1368,104400,1358.41507
2016-04-05,1374.69995,1426.75,1349.25,1413.90002,195900,1403.9935
2016-04-06,1429.90002,1430.59998,1389.25,1399.90002,167300,1390.09159
2016-04-07,1392,1425,1392,1403.65002,116100,1393.81531
2016-04-08,1410,1470,1409,1463.5,295400,1453.24595
2016-04-11,1474,1495,1455.30005,1472.80005,231400,1462.48084
2016-04-12,1481.69995,1498.94995,1469.75,1476.65002,125400,1466.30384
2016-04-13,1494,1499,1474.19995,1481.5,121400,1471.11983
2016-04-14,1481.5,1481.5,1481.5,1481.5,0,1471.11983
2016-04-15,1481.5,1481.5,1481.5,1481.5,0,1471.11983
2016-04-18,1475.05005,1514,1465.90002,1506.59998,133900,1496.04394
2016-04-19,1506.59998,1506.59998,1506.59998,1506.59998,0,1496.04394
