"Date","BEL.NS.Open","BEL.NS.High","BEL.NS.Low","BEL.NS.Close","BEL.NS.Volume","BEL.NS.Adjusted"
2015-12-08,12179.0002,12300,12100.9998,12148.4998,105200,1195.8889
2015-12-09,12120,12249.0002,11851.5002,11973.4998,196600,1178.6621
2015-12-10,11990,12062.5,11785.9998,11919.4995,223800,1173.3463
2015-12-11,11950,12095,11640,11710.9998,208600,1152.8218
2015-12-14,11710,11975.5005,11580,11860.5005,109900,1167.5385
2015-12-15,11890,11925.9998,11711.9995,11773.4998,150800,1158.9742
2015-12-16,11921.9995,12155.9998,11820,11949.4995,185300,1176.2995
2015-12-17,12000,12165,11999.4995,12046.5002,316500,1185.8482
2015-12-18,12050,12495,12000.5005,12335.9998,973500,1214.3463
2015-12-21,12230,12638.4998,12230,12578.4998,410400,1238.2178
2015-12-22,12550,12790,12510,12702.5,380800,1250.4243
2015-12-23,12749.0002,12820,12530,12721.9995,167700,1252.3438
2015-12-24,12850,13344.0002,12741.5002,13171.5002,617300,1296.5923
2015-12-25,13171.5002,13171.5002,13171.5002,13171.5002,0,1296.5923
2015-12-28,13249.4995,13265.5005,13033.0005,13069.4995,273300,1286.5514
2015-12-29,13106.5002,13493.4998,13080,13435.9998,636900,1322.6295
2015-12-30,13530,13759.4995,13460,13524.4995,493100,1331.3413
2015-12-31,13608.4998,13825,13550,13710.9998,590300,1349.7002
2016-01-01,13770,13798.4998,13616.9995,13757.5,231200,1354.2777
2016-01-04,13718.4998,14168.4998,13650,13700.5005,437700,1348.6667
2016-01-05,13790,13920,13590,13661.5002,264800,1344.8275
2016-01-06,13650,13800,13430,13534.0002,179300,1332.2765
2016-01-07,13530,13530,12848.4998,12938.0005,425200,1273.6068
2016-01-08,13050,13199.4995,12870,12980.5005,199900,1277.7905
2016-01-11,12920,13369.0002,12710.9998,13305.9998,304400,1309.8324
2016-01-12,13420,13695.5005,13345,13400.9998,509300,1319.1841
2016-01-13,13500,13600,12945,13397.5,521000,1318.8396
2016-01-14,13220,13298.4998,12900,13076.9995,168300,1287.2897
2016-01-15,13135,13250,12430,12595.5005,184900,1239.8914
2016-01-18,12520,12625.5005,11970.5005,12351.9995,232500,1215.9213
2016-01-19,12400,12630,12205.5005,12580.9998,179400,1238.4639
2016-01-20,12255,12385.9998,11766.5002,12129.0002,256800,1193.9694
2016-01-21,12210,12398.4998,11628.4998,11720.5005,490200,1153.757
2016-01-22,11899.0002,12120,11587.5,11936.5002,351400,1175.0199
2016-01-25,12114.0002,12290,12000,12094.0002,224300,1190.5241
2016-01-26,12094.0002,12094.0002,12094.0002,12094.0002,0,1190.5241
2016-01-27,12199.4995,13185.9998,11935,12060,1136500,1187.1771
2016-01-28,12080,12390,11960,12278.0005,379400,1208.6369
2016-01-29,12310,12410.9998,12169.4995,12315.5005,161900,1212.3284
2016-02-01,12450,12485,12220,12334.4995,206000,1214.1986
2016-02-02,12390,12450,12150,12232.5,166900,1204.1579
2016-02-03,12135,12400,11987.5,12160,238000,1197.021
2016-02-04,12250.9998,12366.5002,12004.4995,12209.0002,257400,1204.3205
2016-02-05,12210,12403.4998,12140,12359.0002,114600,1219.1168
2016-02-08,12360,12555,12250,12301.5002,138200,1213.4449
2016-02-09,12100,12240.5005,12005.5005,12090.5005,139300,1192.6315
