"Date","IFCI.NS.Open","IFCI.NS.High","IFCI.NS.Low","IFCI.NS.Close","IFCI.NS.Volume","IFCI.NS.Adjusted"
2016-01-25,22.1,22.65,21.9,22.05,8312000,21.03
2016-01-26,22.05,22.05,22.05,22.05,0,21.03
2016-01-27,22.55,22.55,21.95,22.15,9025000,21.12
2016-01-28,22.15,22.55,22.05,22.25,16164300,21.22
2016-01-29,22.05,22.45,21.65,22.3,9915800,21.27
2016-02-01,22.7,22.7,22,22.2,4705800,21.17
2016-02-02,22.2,23.55,22.2,22.85,19347100,21.79
2016-02-03,22.4,23.5,21.5,22.1,15512100,21.07
2016-02-04,22.4,23.2,22.3,22.7,7994200,21.65
2016-02-05,23,23.4,22.65,23.25,6567500,22.17
2016-02-08,23.3,24.1,23.25,23.65,7402500,22.55
2016-02-09,23.5,23.65,23,23.45,6091500,22.36
2016-02-10,23.6,23.65,21.5,22.1,9812100,21.07
2016-02-11,22.3,22.3,20.75,20.95,9574400,19.98
2016-02-12,20.95,22.2,19.4,21.15,19110300,20.17
2016-02-15,22.2,22.75,21.85,22.25,9809700,21.22
2016-02-16,22.55,22.65,21.45,21.55,8068500,20.55
2016-02-17,20.7,20.8,19.9,20.6,11103500,20.6
2016-02-18,21,21.2,20.25,20.55,8541700,20.55
2016-02-19,20.5,20.9,20.35,20.6,7562600,20.6
2016-02-22,20.6,21,20.5,20.75,6301400,20.75
2016-02-23,20.7,21,20.35,20.5,6579200,20.5
2016-02-24,20.5,20.55,20.15,20.45,6412400,20.45
2016-02-25,20.45,20.8,20.1,20.35,10146900,20.35
2016-02-26,20.55,21.1,20.5,21,8172200,21
2016-02-29,21.1,21.7,20.7,21.05,11345100,21.05
2016-03-01,21.25,21.9,21.2,21.75,4580700,21.75
2016-03-02,22.2,23.55,22.2,23.35,12411000,23.35
2016-03-03,23.6,23.65,22.95,23.25,5950500,23.25
2016-03-04,23.5,23.75,23.1,23.4,8225100,23.4
2016-03-07,23.4,23.4,23.4,23.4,0,23.4
2016-03-08,23.4,23.75,22.9,23.1,5816400,23.1
2016-03-09,22.85,23.55,22.8,23.4,5971200,23.4
2016-03-10,23.5,23.6,23,23.2,5868700,23.2
2016-03-11,23.15,23.35,22.75,23.05,4422100,23.05
2016-03-14,23.2,23.5,23.1,23.25,3638200,23.25
2016-03-15,23.25,25.05,23.1,24.15,13907500,24.15
