"Date","GLENMARK.NS.Open","GLENMARK.NS.High","GLENMARK.NS.Low","GLENMARK.NS.Close","GLENMARK.NS.Volume","GLENMARK.NS.Adjusted"
2016-05-03,837.9,840,812,819.45,467000,817.5074
2016-05-04,817.5,826.25,814.5,819.95,347300,818.0062
2016-05-05,820.8,824.9,810.6,816.25,539300,814.315
2016-05-06,819,826.15,817.9,820.55,280800,818.6047
2016-05-09,822.5,839.9,815.15,835,409100,833.0205
2016-05-10,840,863.4,838.3,856.5,741400,854.4695
2016-05-11,847,865,842.6,858,988200,855.966
2016-05-12,860.55,868.75,855.5,858.65,541400,856.6145
2016-05-13,868,884.9,863.25,868.65,1211800,866.5908
2016-05-16,875.6,881,869.15,873.95,421100,871.8782
2016-05-17,875,877.5,854,859.6,444100,857.5622
2016-05-18,865,865,842.1,849.75,389800,847.7355
2016-05-19,855,866.7,850.55,854.1,465100,852.0752
2016-05-20,855.1,879.7,855.05,861.45,931400,859.4078
2016-05-23,864.05,869.3,850.85,858.15,819600,856.1156
2016-05-24,866,866,851.05,860.15,387600,858.1109
2016-05-25,863,873.95,855.75,861.65,701200,859.6073
2016-05-26,860.5,868.9,858.65,865.15,426400,863.0991
2016-05-27,869.8,892.7,868.15,875.5,753800,873.4245
2016-05-30,876.5,887.35,873.45,876,285900,873.9233
2016-05-31,880.7,880.75,848.25,851.15,699200,849.1322
2016-06-01,854,865.8,842,850,530800,847.9849
2016-06-02,845.9,845.9,831.85,834.65,295400,832.6714
2016-06-03,838.55,840.2,806.55,809.95,903900,808.0299
2016-06-06,805,805,779.9,781.85,978800,779.9965
2016-06-07,783,784.9,758.4,761.95,1805400,760.1437
2016-06-08,761.95,775,760.55,762.7,802800,760.8919
2016-06-09,770,776.4,765.55,770.1,558700,768.2743
2016-06-10,772.1,779.5,768,771.45,520600,769.6212
2016-06-13,769.95,775.8,763.05,770.85,429700,769.0226
2016-06-14,773,775.6,766.35,769.95,875900,768.1247
2016-06-15,770.4,784.6,770,780.9,489300,779.0488
2016-06-16,782,783.85,766.35,771.05,965700,769.2221
2016-06-17,775,779.7,746.3,759.45,826400,757.6496
2016-06-20,756.9,774.2,746.6,765.9,469500,764.0843
2016-06-21,771.95,771.95,760.1,762.3,285300,760.4928
2016-06-22,762,779.95,760.05,777.4,435600,775.5571
2016-06-23,778,782,772.6,775.5,165400,773.6616
2016-06-24,765,769.6,730,765.4,663100,763.5855
2016-06-27,774,782.9,763,781.3,322600,779.4478
2016-06-28,785,789.95,774,784.65,502600,782.7899
2016-06-29,787.5,798.95,787,792.3,640200,790.4217
