"Date","HDIL.NS.Open","HDIL.NS.High","HDIL.NS.Low","HDIL.NS.Close","HDIL.NS.Volume","HDIL.NS.Adjusted"
2016-07-26,102.45,104,101,101.5,8648300,101.5
2016-07-27,101.6,102.7,99.5,101.75,8209900,101.75
2016-07-28,101.7,103.4,101.15,101.95,9169500,101.95
2016-07-29,102.5,103.1,101,101.8,7365400,101.8
2016-08-01,102.9,103.7,98.6,100.75,13199300,100.75
2016-08-02,101.8,102.45,96.8,97.75,11501200,97.75
2016-08-03,96.95,97.4,93.6,94.2,10626400,94.2
2016-08-04,95.5,96.3,93.15,95.55,11316600,95.55
2016-08-05,96.45,99.45,96.05,99.05,9945600,99.05
2016-08-08,99.8,102.5,99.05,101.95,10198000,101.95
2016-08-09,102.3,102.65,100.25,101.8,8391300,101.8
2016-08-10,102,102.15,97.25,97.9,9896500,97.9
2016-08-11,97.5,98.55,94.6,96.65,8363800,96.65
2016-08-12,96.95,97.9,96.05,96.45,5455400,96.45
2016-08-15,96.45,96.45,96.45,96.45,0,96.45
2016-08-16,96.3,97.2,93.9,96.8,7440300,96.8
2016-08-17,97,98.05,96.55,97.3,5444100,97.3
2016-08-18,97.3,99.65,97.25,98.65,5893000,98.65
2016-08-19,98.9,99.05,97.1,98.4,4995800,98.4
2016-08-22,98.65,98.65,95.55,96.3,5446100,96.3
2016-08-23,96,96.3,94.9,95.9,4768600,95.9
2016-08-24,95.9,96.65,95.5,96,4446100,96
2016-08-25,96.45,97.4,94.55,95,6561400,95
2016-08-26,95.15,95.4,91.5,92.05,8549800,92.05
2016-08-29,91.3,91.7,89.55,91.3,7247100,91.3
2016-08-30,91.55,93.6,91.55,93.15,6395500,93.15
2016-08-31,93.95,94.8,92.25,92.65,7217400,92.65
2016-09-01,92.2,92.55,88.7,89.5,8437700,89.5
2016-09-02,87.95,91.6,87.95,91.1,8015800,91.1
2016-09-05,91.1,91.1,91.1,91.1,0,91.1
2016-09-06,92.4,93.05,92,92.65,5474500,92.65
2016-09-07,93.2,94.75,89.7,93.45,7994800,93.45
2016-09-08,93.9,101.3,93.65,100.75,21816900,100.75
2016-09-09,100.85,102.3,97.6,100.8,17843100,100.8
2016-09-12,94,95,89.4,90,23219900,90
2016-09-13,90,90,90,90,0,90
2016-09-14,90,91.85,89.05,91.2,9125300,91.2
2016-09-15,91.85,93.5,90.05,91.05,11112000,91.05
