"Date","WIPRO.NS.Open","WIPRO.NS.High","WIPRO.NS.Low","WIPRO.NS.Close","WIPRO.NS.Volume","WIPRO.NS.Adjusted"
2015-12-25,557.20001,557.20001,557.20001,557.20001,0,548.73508
2015-12-28,555.54999,564,555.54999,561.45001,978800,552.92051
2015-12-29,561.90002,568.20001,558.95001,564.04999,800300,555.48099
2015-12-30,565.90002,568,556,558.09998,502100,549.62137
2015-12-31,558,563.40002,557,559.90002,1322700,551.39407
2016-01-01,559.79999,559.79999,554.09998,556.45001,593500,547.99647
2016-01-04,557,560,556,557.70001,643400,549.22748
2016-01-05,562,565,554.25,556.90002,878900,548.43965
2016-01-06,557,559.79999,553,555.09998,1148100,546.66695
2016-01-07,553,557.45001,547.09998,549.84998,2094000,541.4967
2016-01-08,552.09998,557.84998,549.54999,555.79999,871500,547.35632
2016-01-11,552,553.95001,534.40002,537.45001,1866400,529.28512
2016-01-12,536.5,551,531.20001,548.90002,1309100,540.56118
2016-01-13,547,551.90002,540.45001,546.5,672600,538.19762
2016-01-14,545,549.90002,536,545.25,1094700,536.96661
2016-01-15,546.59998,548.84998,537,543.09998,625100,534.84925
2016-01-18,537,550.79999,530.75,547.15002,1693400,538.83777
2016-01-19,548,552,538,542,957400,533.76598
2016-01-20,539.04999,551.90002,533.20001,542.54999,1169600,534.30762
2016-01-21,541.54999,555,541.54999,550.79999,1743800,542.43228
2016-01-22,555.70001,555.70001,547.09998,550.09998,833400,541.7429
2016-01-25,547.90002,549.79999,543.79999,547.04999,795500,543.6809
2016-01-26,547.04999,547.04999,547.04999,547.04999,0,543.6809
2016-01-27,550,554.95001,543.54999,552.54999,2092500,549.14703
2016-01-28,553.20001,553.70001,544.40002,547.25,1211100,543.87968
2016-01-29,548.59998,565.70001,548.59998,562.79999,1450200,559.3339
2016-02-01,565.59998,573.90002,557.29999,568.15002,1506900,564.65099
2016-02-02,570.09998,571.54999,564.20001,567.25,1285300,563.75651
2016-02-03,566.5,566.5,554.04999,557.79999,602500,554.36469
2016-02-04,560.29999,561.65002,553.70001,559.95001,1051800,556.50148
2016-02-05,560,565.79999,555.40002,557.90002,1076600,554.46411
2016-02-08,558.04999,560.20001,543.29999,545,822100,541.64354
2016-02-09,539.90002,539.90002,534,536.25,800200,532.94742
2016-02-10,536.25,536.65002,528,531.20001,967000,527.92854
2016-02-11,531.20001,532.29999,513.09998,517.20001,988000,514.01476
2016-02-12,524.79999,529.45001,508.25,517.29999,1799700,514.11412
2016-02-15,522.90002,527.59998,518.15002,525.75,977600,522.51209
2016-02-16,527,530.5,521.15002,526.59998,691100,523.35683
2016-02-17,523,529.95001,517.25,526.95001,1080600,523.70471
2016-02-18,528.09998,543.79999,528.09998,541.29999,888800,537.96631
2016-02-19,541.40002,549.5,538.15002,547.34998,1081600,543.97904
2016-02-22,547.20001,548.09998,536.5,542.75,847600,539.40739
2016-02-23,542.15002,543.70001,535.59998,539.95001,944400,536.62465
2016-02-24,540.09998,542.25,530.5,533.95001,972900,530.6616
2016-02-25,534.40002,538.75,522.09998,533.84998,959800,530.56218
2016-02-26,540.20001,541.90002,526.70001,530.5,984400,527.23284
2016-02-29,529,531.84998,507.89999,520.25,2079600,517.04596
2016-03-01,525,539,523.45001,535.45001,1725200,532.15236
2016-03-02,540,541.84998,530.15002,539.54999,1790300,536.22709
2016-03-03,540.15002,548.45001,535.25,542.70001,1220800,539.35771
2016-03-04,544.90002,545.65002,535.09998,536.95001,1600000,533.64313
2016-03-07,536.95001,536.95001,536.95001,536.95001,0,533.64313
2016-03-08,537.70001,543.5,534.20001,541.45001,1551900,538.11541
2016-03-09,542,542,533.25,538.15002,1986900,534.83575
2016-03-10,539.04999,539.90002,532.70001,535.84998,1212100,532.54986
2016-03-11,535.79999,539.79999,535.70001,539,1118100,535.68049
2016-03-14,543,543,536.5,540.84998,1041100,537.51907
2016-03-15,541.5,543,528.40002,533.20001,1947100,529.91622
2016-03-16,535.09998,540.5,530.04999,538.45001,1888400,535.13389
2016-03-17,541.59998,543.95001,535.59998,539.20001,1844900,535.87927
2016-03-18,540.54999,553.79999,540.5,551.25,2533600,547.85504
