"Date","EICHERMOT.NS.Open","EICHERMOT.NS.High","EICHERMOT.NS.Low","EICHERMOT.NS.Close","EICHERMOT.NS.Volume","EICHERMOT.NS.Adjusted"
2016-04-18,19917.2,20600,19917.2,20268.3,54500,20268.3
2016-04-19,20268.3,20268.3,20268.3,20268.3,0,20268.3
2016-04-20,20330.1,20579.2,20250.1,20511.2,51900,20511.2
2016-04-21,20530,20699.8,20200,20328.8,36200,20328.8
2016-04-22,20229,20374.8,20101,20169.9,24100,20169.9
2016-04-25,20190,20190,19909.9,19945.4,29300,19945.4
2016-04-26,19945,20325,19850,20148.4,51000,20148.4
2016-04-27,20168.7,20200.8,20060,20114.3,28300,20114.3
2016-04-28,20199,20373.4,20070,20292.9,45900,20292.9
2016-04-29,20289,20289.9,19950.1,20035,30400,20035
2016-05-02,19984.9,20130,19800,19854.3,32600,19854.3
2016-05-03,19964,20279.9,19800,19981.5,39400,19981.5
2016-05-04,19999.9,20088.6,19608.1,19760.8,25500,19760.8
2016-05-05,19870,20000,19214.6,19686.7,152400,19686.7
2016-05-06,19768.7,20349,19620,20215.9,62800,20215.9
2016-05-09,20399.6,20500,20280.6,20483.2,36800,20483.2
2016-05-10,20499,20499,20079.2,20239.2,41300,20239.2
2016-05-11,20100,20160,19908.4,19976.8,20600,19976.8
2016-05-12,20004,20244,19701,19753.1,63000,19753.1
2016-05-13,18900.1,19553.6,18380,18992.8,1431600,18992.8
2016-05-16,19150,19210,18850,19063.2,50400,19063.2
2016-05-17,19101,19163.2,18555.2,18601.7,49400,18601.7
2016-05-18,18509,18817.8,18321.2,18720,48000,18720
2016-05-19,18750,18762.8,18100,18200.7,38000,18200.7
2016-05-20,18260,18350,18125,18280.7,58700,18280.7
2016-05-23,18380,18440,18200,18268.1,28200,18268.1
2016-05-24,18268.1,18297.9,18010,18177.3,33500,18177.3
2016-05-25,18300,18560,18266.3,18530.7,28000,18530.7
2016-05-26,18530,18670,18311.4,18394.3,129000,18394.3
2016-05-27,18494,18799,18425.2,18742.3,27100,18742.3
2016-05-30,18711,18811,18600,18741.7,20500,18741.7
2016-05-31,18839.4,18849.2,18270,18485.8,64300,18485.8
2016-06-01,18500,18809,18500,18713.2,61100,18713.2
2016-06-02,18701,18920,18652.1,18806.8,23800,18806.8
2016-06-03,18806,18898,18626.2,18787,36100,18787
2016-06-06,18785,19065.5,18749,18994.9,47800,18994.9
2016-06-07,19090,19143.9,18716.3,18828.1,31900,18828.1
2016-06-08,18920,18920,18689.8,18824.6,15000,18824.6
2016-06-09,18850,18888.1,18538.2,18584,14200,18584
2016-06-10,18545.1,18700,18434,18620.2,27900,18620.2
2016-06-13,18500,18552.7,18277.7,18447.7,20300,18447.7
2016-06-14,18475,18809.9,18350,18753.7,23000,18753.7
2016-06-15,18780,18829.8,18570,18637.2,35000,18637.2
2016-06-16,18600,18897,18505.4,18827.7,29300,18827.7
2016-06-17,18830.1,18893.6,18675,18779.1,22400,18779.1
2016-06-20,18721.1,18757.5,18610,18660.6,20500,18660.6
2016-06-21,18747,18830.8,18636.7,18713.2,17400,18713.2
2016-06-22,18695,18800,18675.8,18787.6,14400,18787.6
2016-06-23,18711,18787.8,18600.1,18659.4,21700,18659.4
2016-06-24,18388,18726,18000,18662.2,36700,18662.2
2016-06-27,18662.2,18748.3,18430.3,18710.7,22800,18710.7
2016-06-28,18690,19225.7,18689.9,19166.3,42200,19166.3
2016-06-29,19289.7,19349.3,19067.8,19116.2,32500,19116.2
2016-06-30,19300,19306.9,19133.2,19222.4,44600,19222.4
2016-07-01,19222,19450,19050.2,19155.1,48100,19155.1
2016-07-04,19350,19640,19250,19492.2,41600,19492.2
2016-07-05,19500,19500,19325.2,19431.4,20300,19431.4
2016-07-06,19431.4,19431.4,19431.4,19431.4,0,19431.4
2016-07-07,19499,19649,19300,19593.1,23800,19593.1
2016-07-08,19600,19620,19400,19451.6,29700,19451.6
2016-07-11,19619.9,19644.9,19480,19546.1,26300,19546.1
2016-07-12,19502,19774.8,19502,19677.1,24500,19677.1
2016-07-13,19621.8,19700,19411,19536.6,28500,19536.6
2016-07-14,19521,19600,19450,19517.1,20600,19517.1
2016-07-15,19535,19865,19525,19781.1,29700,19781.1
2016-07-18,19800,19999,19800,19954.2,23700,19954.2
2016-07-19,19907,19980,19532,19709.9,26900,19709.9
2016-07-20,19655,19889.3,19655,19849.8,15300,19849.8
2016-07-21,19750,19949,19700,19755,12300,19755
