"Date","SAIL.NS.Open","SAIL.NS.High","SAIL.NS.Low","SAIL.NS.Close","SAIL.NS.Volume","SAIL.NS.Adjusted"
2016-05-18,40.6,42.35,40.35,42.25,4967800,42.25
2016-05-19,42.3,42.65,39.6,40.2,5739600,40.2
2016-05-20,40.2,40.6,39.45,39.6,4584600,39.6
2016-05-23,39.95,40.1,39,39.1,2527800,39.1
2016-05-24,38.95,39.5,38.45,39.15,2600800,39.15
2016-05-25,39.75,40.4,39.5,40.25,2510700,40.25
2016-05-26,40.45,40.95,40,40.7,3025200,40.7
2016-05-27,40.7,43.15,40.7,42.7,5825500,42.7
2016-05-30,43,43.65,42.35,43,6496200,43
2016-05-31,42,43.15,41.55,42.8,7434100,42.8
2016-06-01,42.8,43.1,41.5,41.8,3804500,41.8
2016-06-02,41.7,42.35,41.3,42.15,2496000,42.15
2016-06-03,42.1,42.75,41.1,41.6,2960300,41.6
2016-06-06,41.5,41.85,41,41.35,2506500,41.35
2016-06-07,41.5,42.2,41.25,41.9,2254900,41.9
2016-06-08,42,42.5,41.7,42,3415600,42
2016-06-09,42.6,45.8,42.35,45.1,21478400,45.1
2016-06-10,45.1,46,44.65,45.1,8822200,45.1
2016-06-13,44,44.75,43.6,43.9,3940100,43.9
2016-06-14,44.05,45.6,43.9,45.05,6977400,45.05
2016-06-15,45.5,45.65,44.4,44.7,3755600,44.7
2016-06-16,44.9,45.85,44.1,44.9,5589700,44.9
2016-06-17,45.6,45.8,44.35,44.6,4691100,44.6
2016-06-20,44.25,45.35,44.05,45.15,4287000,45.15
2016-06-21,45,45.6,44.5,44.65,2723500,44.65
2016-06-22,44.55,44.8,43.8,43.95,2944100,43.95
2016-06-23,43.85,44.2,43.4,43.9,2006300,43.9
2016-06-24,42.4,42.55,40.7,42.35,6464400,42.35
2016-06-27,42.3,43.05,42.1,42.75,3676000,42.75
2016-06-28,42.95,43.35,42.6,42.9,3379300,42.9
2016-06-29,43.05,44,43,43.8,3359000,43.8
2016-06-30,44.1,46,43.95,45.35,9142400,45.35
2016-07-01,45.6,46.8,45.6,46.35,6748200,46.35
2016-07-04,46.8,47.3,46.55,46.8,4234800,46.8
2016-07-05,47.3,48.2,47,47.5,6201900,47.5
2016-07-06,47.5,47.5,47.5,47.5,0,47.5
2016-07-07,48,48.2,47,47.1,4898200,47.1
2016-07-08,46.9,47.1,46.2,46.65,2461700,46.65
2016-07-11,47.3,47.5,47.05,47.4,2773700,47.4
2016-07-12,47.5,49.8,47.4,49.5,7898000,49.5
2016-07-13,50,51.15,49.15,49.85,13694600,49.85
2016-07-14,49.9,50.35,49.5,49.8,4226900,49.8
2016-07-15,50.2,50.8,49.75,50,6675700,50
2016-07-18,50.2,50.45,47.75,48.3,4284500,48.3
