"Date","SRTRANSFIN.NS.Open","SRTRANSFIN.NS.High","SRTRANSFIN.NS.Low","SRTRANSFIN.NS.Close","SRTRANSFIN.NS.Volume","SRTRANSFIN.NS.Adjusted"
2016-04-28,994.5,995.3,955,964.25,835500,956.09
2016-04-29,964.5,965,925,942.85,543300,934.87
2016-05-02,962.9,1092.2,962.9,1083,3591600,1073.83
2016-05-03,1090.2,1127.5,1034.4,1042.65,2589800,1033.82
2016-05-04,1042,1079.1,1032.65,1042.45,1246000,1033.63
2016-05-05,1048,1063,1024.05,1028.95,945200,1020.24
2016-05-06,1041.5,1058.6,1032.25,1050.9,377900,1042
2016-05-09,1054,1058,1041,1049.05,484000,1040.17
2016-05-10,1055,1077.3,1049.55,1063.35,756200,1054.35
2016-05-11,1045,1087.9,1036.5,1084.4,641700,1075.22
2016-05-12,1095,1123.7,1086.15,1119.65,981400,1110.17
2016-05-13,1116,1119,1058.05,1070,617500,1060.94
2016-05-16,1073.1,1087.7,1058.6,1071.65,525000,1062.58
2016-05-17,1072.1,1108.95,1072.1,1098.8,724400,1089.5
2016-05-18,1099.3,1147.05,1072.6,1135.8,852200,1126.19
2016-05-19,1135.8,1141.65,1082,1100.85,622300,1091.53
2016-05-20,1114.95,1121.4,1067.45,1072.6,583700,1063.52
2016-05-23,1090,1123,1077.9,1115.15,787100,1105.71
2016-05-24,1122,1163.7,1107.95,1156.55,1232600,1146.76
2016-05-25,1165,1181.7,1134.3,1142.25,700400,1132.58
2016-05-26,1131.1,1203.75,1131.1,1196.6,895500,1186.47
2016-05-27,1195,1219.8,1172.5,1194.05,745600,1183.94
2016-05-30,1190.15,1219.8,1175.65,1200.15,517100,1189.99
2016-05-31,1194.2,1202.4,1173.45,1180.4,859700,1170.41
2016-06-01,1180.5,1193.4,1156,1162.4,548200,1152.56
2016-06-02,1163.5,1170,1148.15,1156.6,564300,1146.81
2016-06-03,1160,1181.8,1160,1171.7,620700,1161.78
2016-06-06,1171.7,1184.2,1134.8,1150.1,530600,1140.37
2016-06-07,1159.95,1181.35,1147.55,1172,1019500,1162.08
2016-06-08,1182.6,1214.4,1172.8,1209.55,1248900,1199.31
2016-06-09,1210,1225,1190.2,1197.1,919400,1186.97
2016-06-10,1200,1206.7,1180.4,1184.7,329300,1174.67
2016-06-13,1175,1194,1150,1159.2,469600,1149.39
2016-06-14,1167.4,1176.9,1154,1162.4,357400,1152.56
2016-06-15,1165,1177.9,1155.1,1160.05,290400,1150.23
2016-06-16,1158.6,1166.45,1146.05,1160,628300,1150.18
2016-06-17,1160.9,1160.9,1136,1141.5,387800,1131.84
2016-06-20,1134.1,1147.6,1128.55,1138.8,481000,1129.16
2016-06-21,1138,1163.75,1128.85,1156,782500,1146.22
2016-06-22,1156.9,1163.15,1144,1155.5,232800,1145.72
2016-06-23,1154.9,1159.2,1141.2,1148.95,413600,1139.22
2016-06-24,1134.8,1152.95,1096.05,1146.9,557700,1137.19
2016-06-27,1139,1163.2,1132.7,1156.45,281700,1146.66
2016-06-28,1157,1159,1141.7,1152.95,359800,1143.19
2016-06-29,1152.9,1157.8,1136,1144.85,599900,1135.16
2016-06-30,1153,1214.7,1151.9,1203.9,2782500,1193.71
2016-07-01,1214.7,1245,1208.2,1226.65,700900,1216.27
2016-07-04,1228.5,1262,1228.5,1240.5,554000,1230
2016-07-05,1239.8,1252.9,1225,1230.85,331300,1220.43
2016-07-06,1230.85,1230.85,1230.85,1230.85,0,1220.43
2016-07-07,1239.9,1240.25,1208.85,1213,534100,1202.73
2016-07-08,1215.9,1232.45,1199.05,1210.8,311100,1200.55
2016-07-11,1233.8,1291.75,1220.2,1279.65,617900,1268.82
2016-07-12,1299.95,1309.8,1288.25,1301.05,838300,1290.04
2016-07-13,1292.2,1299.85,1272.8,1286.25,378200,1275.36
2016-07-14,1286.25,1293.05,1266.05,1273.4,381200,1262.62
2016-07-15,1284.1,1292.85,1268,1271.5,513800,1260.74
2016-07-18,1271.05,1278.5,1220.1,1228.95,974200,1224.33
2016-07-19,1221,1232.95,1186.5,1202.4,988700,1197.88
2016-07-20,1208.55,1211.75,1185,1192.5,444100,1188.01
2016-07-21,1197.9,1221.3,1160.85,1166.6,896800,1162.21
2016-07-22,1169,1193,1155,1177.95,523700,1173.52
2016-07-25,1185,1203.2,1175.1,1198.75,529800,1194.24
2016-07-26,1198.75,1234.7,1198.75,1212.9,859100,1208.34
2016-07-27,1219.9,1272.9,1207,1258.85,1506800,1254.11
2016-07-28,1257.6,1260.1,1225,1232.85,899600,1228.21
2016-07-29,1236.7,1322,1231.25,1280.2,1796200,1275.38
2016-08-01,1281,1324.4,1255,1298.55,1127600,1293.66
2016-08-02,1299.9,1307.7,1265,1283.7,508900,1278.87
2016-08-03,1285,1289,1233,1239.65,684300,1234.99
2016-08-04,1255,1269.7,1227.45,1263.3,477600,1258.55
2016-08-05,1275,1303,1265,1299.4,485300,1294.51
2016-08-08,1305.5,1315.05,1271,1289.3,391200,1284.45
2016-08-09,1295,1307.8,1277.15,1288.65,430200,1283.8
2016-08-10,1291.05,1300.35,1252.45,1276.85,430600,1272.05
2016-08-11,1286.1,1293,1252,1278.8,315300,1273.99
2016-08-12,1277.2,1308,1270,1296,502900,1291.12
2016-08-15,1296,1296,1296,1296,0,1291.12
2016-08-16,1310,1310,1263.5,1271.85,748200,1267.06
2016-08-17,1278,1287,1267,1277.45,420200,1272.64
2016-08-18,1281.55,1292,1272.25,1283.45,336500,1278.62
2016-08-19,1288.7,1288.7,1262.85,1270.75,221700,1265.97
2016-08-22,1270,1284.9,1264.05,1276.8,286900,1272
2016-08-23,1280.55,1280.55,1251.3,1266.4,240800,1261.63
2016-08-24,1271.9,1271.9,1249.2,1264.8,265000,1260.04
2016-08-25,1270,1280,1240.15,1248.9,333400,1244.2
2016-08-26,1253.3,1264.3,1237.6,1258.05,177200,1253.32
2016-08-29,1255,1263.45,1241.7,1257.75,334500,1253.02
2016-08-30,1262.55,1275.9,1259.1,1269.2,308100,1264.42
2016-08-31,1270,1279.35,1230.35,1237.05,798500,1232.39
2016-09-01,1235.15,1239.95,1191.1,1201.55,709700,1197.03
2016-09-02,1205.6,1227,1193.7,1216.5,565500,1211.92
2016-09-05,1216.5,1216.5,1216.5,1216.5,0,1211.92
2016-09-06,1219.65,1242,1214.9,1237.9,703900,1233.24
2016-09-07,1238,1240.45,1202.3,1207.15,516100,1202.61
2016-09-08,1207.15,1222.9,1203.3,1216.45,247600,1211.87
2016-09-09,1220,1234,1203.65,1222.65,432600,1218.05
2016-09-12,1211.1,1211.1,1170,1175.2,324000,1170.78
2016-09-13,1175.2,1175.2,1175.2,1175.2,0,1170.78
2016-09-14,1179,1179,1135,1155.65,706100,1151.3
2016-09-15,1155.9,1157.8,1131.4,1146.25,499200,1141.94
2016-09-16,1162,1165,1126.1,1133.55,926700,1129.28
2016-09-19,1133.55,1145.55,1116.65,1130.2,724300,1125.95
2016-09-20,1140,1157.4,1118.6,1139.8,593700,1135.51
2016-09-21,1148,1160.6,1131.55,1141.45,772300,1137.15
2016-09-22,1157,1192.9,1154.3,1186.85,1537800,1182.38
2016-09-23,1197,1214.45,1179.9,1186.75,1235900,1182.28
2016-09-26,1185,1195.9,1150,1159.55,415700,1155.19
2016-09-27,1162.6,1167.2,1138.9,1147.95,477200,1143.63
