"Date","CAIRN.NS.Open","CAIRN.NS.High","CAIRN.NS.Low","CAIRN.NS.Close","CAIRN.NS.Volume","CAIRN.NS.Adjusted"
2016-04-28,147.1,147.45,141.75,142.95,6134600,128.76
2016-04-29,143.45,146.2,143.05,145.15,2025100,130.74
2016-05-02,145,151.75,144.1,150.5,3316100,135.56
2016-05-03,150.95,151.5,144.7,145.4,3368300,130.96
2016-05-04,144.1,144.6,136.2,137.25,2934300,123.62
2016-05-05,135.9,138.8,134.95,136.55,2694400,122.99
2016-05-06,136.55,140.5,134.55,139.15,2625500,125.33
2016-05-09,141,141.15,136.8,138.3,3167400,124.57
2016-05-10,137.6,137.6,133.7,134.9,3185200,121.51
2016-05-11,133.7,136.5,133.65,135.4,2021400,121.96
2016-05-12,137.9,138.6,135.6,136.85,3270000,123.26
2016-05-13,136,137.35,134.6,135.15,2215900,121.73
2016-05-16,136.1,138.2,134.6,137.3,2244900,123.67
2016-05-17,139.3,143.35,138.65,140.2,4605000,126.28
2016-05-18,140,141.95,138.25,139.25,2664200,125.42
2016-05-19,138.3,139.25,134.55,135.2,2220300,121.78
2016-05-20,135.95,138.5,135.4,136.7,1645000,123.13
2016-05-23,138.4,139.25,136.65,138.05,1929700,124.34
2016-05-24,137.1,137.75,134.8,136.55,2329200,122.99
2016-05-25,137.95,139.2,137.95,138.45,838900,124.7
2016-05-26,139.4,142,139.3,141.2,1473900,127.18
2016-05-27,141.5,141.8,137.25,138.05,2523100,124.34
2016-05-30,139.2,144.8,139.2,144.1,1877600,129.79
2016-05-31,145,147.85,141.8,145.15,4748300,130.74
2016-06-01,145,146.2,142.85,143.5,1360800,129.25
2016-06-02,142.45,142.9,139.2,141.35,2375800,127.31
2016-06-03,142.25,144.15,141.1,142.2,1340800,128.08
2016-06-06,141.25,142.55,139.8,140.35,795600,126.41
2016-06-07,141.8,143.45,140.85,141.55,2164700,127.49
2016-06-08,142.75,144.2,142.55,143.75,1392200,129.48
2016-06-09,144.2,149.4,144.2,146.4,2864400,131.86
2016-06-10,144,146.9,143.25,146,1675500,131.5
2016-06-13,143.9,143.9,138.8,139.3,2059600,125.47
2016-06-14,139.95,140,137.85,138.05,2828500,124.34
2016-06-15,138,140.75,137.1,140.35,1031700,126.41
2016-06-16,139.5,141.1,138.1,139.05,1844400,125.24
2016-06-17,137.6,139.25,137.5,138.2,1901500,124.48
2016-06-20,137.25,139.75,136.9,137.5,2513400,123.85
2016-06-21,138.85,139.75,137.75,138.1,2309700,124.39
2016-06-22,139,139.4,138.1,138.35,1039100,124.61
2016-06-23,138.8,138.8,135.8,138.15,1730400,124.43
2016-06-24,134.9,134.9,129.85,133.05,2644800,119.84
2016-06-27,132,135.4,131.3,134.3,1045900,120.96
2016-06-28,133.75,136.2,133.7,134.1,2429000,120.78
2016-06-29,135.95,138.55,135.1,137.3,1780700,123.67
2016-06-30,138.5,141.25,138.2,140.55,2164400,126.59
2016-07-01,141.5,145.6,141.05,144.6,2924800,130.24
2016-07-04,145.2,149.4,145.2,147.95,1593900,133.26
2016-07-05,148,151.9,146.6,148.65,2385900,133.89
2016-07-06,148.65,148.65,148.65,148.65,0,133.89
2016-07-07,149,151.45,148.7,149.95,1713800,137.84
2016-07-08,146.25,147.25,144.25,145.35,1710500,136.34
2016-07-11,146.6,151,146.05,150.15,2176800,140.84
2016-07-12,150.8,166,150.8,162.1,7667200,152.05
2016-07-13,163.5,177.2,160,166.5,18918200,156.18
2016-07-14,166.5,173.65,164,171.65,6987700,161.01
2016-07-15,172,175.7,169.6,172.95,6356900,162.23
2016-07-18,174,175.05,170.8,172.1,3556600,161.43
2016-07-19,173,176.4,170.9,175.75,3869200,164.86
2016-07-20,175,177.6,174.35,175.7,2998700,164.81
2016-07-21,176.6,178.7,175.1,176.85,5192000,165.89
2016-07-22,179,198.4,174.1,191.9,18939500,180.01
2016-07-25,194,207.4,186.8,199.35,16734600,187
2016-07-26,198,202.4,194.65,196.55,6788800,184.37
2016-07-27,196.7,198.6,191.5,194.3,4291300,182.26
2016-07-28,193.65,196.5,191.05,194.7,7598600,182.63
2016-07-29,193.9,193.9,189.2,191.05,3298400,179.21
2016-08-01,191.2,193.15,188.6,189.6,2713000,177.85
2016-08-02,188,191.15,179.25,182.05,3780500,170.77
2016-08-03,182.55,185.35,180.4,183.4,2684300,172.03
2016-08-04,185.05,189.95,183.05,189.05,2283900,177.33
2016-08-05,189.7,199.65,189.7,197.25,3521900,185.03
2016-08-08,199.1,199.85,195.85,196.85,1153200,184.65
2016-08-09,197.2,197.75,191.8,194,1524100,181.98
2016-08-10,194,195.1,188.3,191.7,3168700,179.82
2016-08-11,190,191.9,186.3,190.1,1647100,178.32
2016-08-12,192.2,196.75,192,195.45,1982200,183.34
2016-08-15,195.45,195.45,195.45,195.45,0,183.34
2016-08-16,196.5,200.9,195.4,199.7,3409600,187.32
2016-08-17,200,202.2,196.85,198.75,2620600,186.43
2016-08-18,199.05,204,197.95,203,2419700,190.42
2016-08-19,204.2,213.4,203.7,211.95,5947400,198.81
2016-08-22,210.3,211,204.7,206.1,2234200,193.33
2016-08-23,205.25,206.75,201.25,204.05,1793300,191.4
2016-08-24,206,209,204.15,205.5,2667600,192.76
2016-08-25,206,207.3,199.5,201.15,4070900,188.68
2016-08-26,203,203.1,198.3,200.65,1392000,188.21
2016-08-29,200.8,204.2,199.15,202.9,1671000,190.33
2016-08-30,204.45,206.85,202.4,205.05,2104000,192.34
