"Date","SUZLON.NS.Open","SUZLON.NS.High","SUZLON.NS.Low","SUZLON.NS.Close","SUZLON.NS.Volume","SUZLON.NS.Adjusted"
2015-11-23,22.25,22.55,21.9,22,20300400,22
2015-11-24,22,22.4,21.95,22.15,18128000,22.15
2015-11-25,22.15,22.15,22.15,22.15,0,22.15
2015-11-26,22,22.25,21.8,21.95,21680200,21.95
2015-11-27,22,22.1,21.55,21.65,22341200,21.65
2015-11-30,21.8,21.95,21.65,21.7,19986700,21.7
2015-12-01,22,23.1,21.9,22.7,75795200,22.7
2015-12-02,22.7,22.75,22.2,22.25,26724100,22.25
2015-12-03,22.35,22.85,22.2,22.25,32298500,22.25
2015-12-04,22.2,22.8,22.15,22.25,30096400,22.25
2015-12-07,22.55,22.9,21.8,21.9,33652200,21.9
2015-12-08,21.9,22.05,21.25,21.35,19035100,21.35
2015-12-09,21.4,21.45,20.45,20.7,29526300,20.7
2015-12-10,21.2,21.3,20.8,21.15,21987000,21.15
2015-12-11,21.25,21.25,20.65,20.85,18531800,20.85
2015-12-14,21,21.25,20.85,21,14361500,21
2015-12-15,21,21.05,20.5,20.7,17743500,20.7
2015-12-16,20.7,21,20.45,20.5,21312800,20.5
2015-12-17,21.3,21.4,20.8,21.1,41355400,21.1
2015-12-18,21.1,21.6,20.8,21.25,30562400,21.25
2015-12-21,21.3,21.55,21.2,21.3,20352700,21.3
2015-12-22,21.4,21.4,20.95,21,20947800,21
2015-12-23,21.15,21.15,20.7,20.75,14431000,20.75
2015-12-24,21,21.1,20.8,20.85,13730900,20.85
2015-12-25,20.85,20.85,20.85,20.85,0,20.85
2015-12-28,21.1,21.25,21,21.05,14949800,21.05
2015-12-29,21.15,21.15,20.75,20.8,12442000,20.8
2015-12-30,20.95,21.05,20.65,20.75,15630200,20.75
2015-12-31,20.7,21,20.4,20.85,20687200,20.85
2016-01-01,20.9,22,20.7,21.85,35890400,21.85
2016-01-04,21.85,22.95,21.7,22.75,60817400,22.75
2016-01-05,23,23.25,22.75,22.9,45117100,22.9
2016-01-06,22.95,23,22,22.1,27958300,22.1
2016-01-07,21.5,21.75,20.85,20.95,37123600,20.95
2016-01-08,21.2,22.1,21.2,21.6,37722100,21.6
2016-01-11,21.15,21.95,20.9,21.15,37520500,21.15
2016-01-12,21.3,21.5,20.6,20.7,30999200,20.7
2016-01-13,21.05,21.15,19.9,20.75,50147100,20.75
2016-01-14,20.1,20.7,19.9,20.2,20224300,20.2
2016-01-15,20.5,21.1,19.55,19.75,32713200,19.75
2016-01-18,20.05,20.05,18.4,18.85,34854100,18.85
2016-01-19,19,19.8,18.9,19.55,25299400,19.55
2016-01-20,19.4,19.4,18.7,18.8,40512600,18.8
2016-01-21,19.1,19.35,18.45,18.55,36131100,18.55
2016-01-22,18.8,19.05,18.75,18.85,21361800,18.85
