"Date","COLPAL.NS.Open","COLPAL.NS.High","COLPAL.NS.Low","COLPAL.NS.Close","COLPAL.NS.Volume","COLPAL.NS.Adjusted"
2016-02-05,832.1,862,832,852.15,539200,837.777
2016-02-08,857.9,857.9,846,853.45,346200,839.055
2016-02-09,845,852,836,848.35,91800,834.041
2016-02-10,848,850,829,842.75,159900,828.535
2016-02-11,849.4,849.4,821,827.65,373900,813.69
2016-02-12,825,840,812.05,835.25,314100,821.162
2016-02-15,845,857.95,836.45,846.65,184000,832.37
2016-02-16,839.05,849.1,831,839.25,340200,825.094
2016-02-17,838.8,841,821,836.7,169500,822.587
2016-02-18,841.5,846.25,836.9,843.35,177300,829.125
2016-02-19,847.8,849.6,830.3,832.35,118100,818.311
2016-02-22,836.7,836.7,827,830.3,283900,816.295
2016-02-23,829,833,817.8,820,136600,806.169
2016-02-24,819,821.55,813.05,816.85,127400,803.072
2016-02-25,820.8,832.1,820.05,823.65,456000,809.758
2016-02-26,824.6,838,824.6,832.55,371300,818.507
2016-02-29,833.5,833.55,808.2,820.4,219300,806.562
2016-03-01,829.8,829.8,818.35,824.25,193500,810.347
2016-03-02,830.8,844.4,830,834.35,517800,820.277
2016-03-03,835,837.9,830,834.25,423900,820.179
2016-03-04,836.95,850,835.15,846.3,369300,832.025
2016-03-07,846.3,846.3,846.3,846.3,0,832.025
2016-03-08,847.25,850,821.35,825.5,723800,811.576
2016-03-09,821.4,824.7,815.1,822.05,438400,808.184
2016-03-10,825,825,800,808.1,553300,794.47
2016-03-11,804.7,815.5,790.05,813.5,979500,799.779
2016-03-14,820,848.1,816,846.25,640000,831.976
2016-03-15,845.2,846,834.15,839.65,469400,825.488
2016-03-16,839.5,839.5,824.45,835.35,384500,821.26
2016-03-17,835.4,840.65,822,836.15,505900,822.047
2016-03-18,838,853.95,837.9,850.9,654000,836.548
2016-03-21,855,858.7,840.1,847.95,452100,833.648
2016-03-22,850,855,843.5,852.1,517800,837.728
2016-03-23,852,852.1,833.9,839.9,387200,825.733
2016-03-24,839.9,839.9,839.9,839.9,0,825.733
2016-03-25,839.9,839.9,839.9,839.9,0,825.733
2016-03-28,843,843.65,820,824.55,548600,810.642
2016-03-29,826,832.8,821.8,829.3,258300,815.312
2016-03-30,825.15,831.85,816.2,818.85,468200,805.038
2016-03-31,818.5,835.2,818.5,830.85,324200,816.836
2016-04-01,829.85,837.3,823.65,833.9,175300,819.835
2016-04-04,838,843.5,830,840.7,145700,826.52
2016-04-05,838,844.05,825,831.1,222300,817.082
2016-04-06,826.1,830,819,827.6,202100,816.588
2016-04-07,822.15,827.1,820.1,822,248500,811.063
2016-04-08,820.5,827.95,813.6,819.95,191300,809.04
2016-04-11,820,824,810.95,814.95,134200,804.107
2016-04-12,815,824,815,819.2,159800,808.3
2016-04-13,823.95,848.45,822,835.7,298900,824.581
2016-04-14,835.7,835.7,835.7,835.7,0,824.581
2016-04-15,835.7,835.7,835.7,835.7,0,824.581
2016-04-18,828.05,849.4,828.05,846.15,171200,834.892
2016-04-19,846.15,846.15,846.15,846.15,0,834.892
2016-04-20,848,854.3,840.15,851.6,272700,840.269
2016-04-21,855,863.9,842,850.15,309700,838.838
2016-04-22,851,854,845,849.95,278900,838.641
2016-04-25,851.25,855,837.25,841.25,290900,830.057
2016-04-26,840,847,836.95,843.9,268400,832.672
2016-04-27,846,857.8,838.05,855.55,247200,844.167
