"Date","MRF.NS.Open","MRF.NS.High","MRF.NS.Low","MRF.NS.Close","MRF.NS.Volume","MRF.NS.Adjusted"
2016-03-09,34640,34640,34090.9,34405.4,3300,34306.01
2016-03-10,34600.1,34600.1,34210,34415.6,3300,34316.18
2016-03-11,34567,34798.9,33949.9,34499.8,4600,34400.14
2016-03-14,34600,34760,34334.2,34601.8,2500,34501.85
2016-03-15,34600,34607.6,33910,34356.4,6300,34257.15
2016-03-16,34300,34360,33351.1,33454.4,7100,33357.76
2016-03-17,33990,34100.1,33500,33936.8,4800,33838.77
2016-03-18,33900,34799,33900,34716.9,7900,34616.61
2016-03-21,34799,35030.1,34501.2,34747.4,4300,34647.02
2016-03-22,34654,35298.9,34450,34810.1,6100,34709.54
2016-03-23,34810,35543.9,34600,35340.4,8400,35238.31
2016-03-24,35340.4,35340.4,35340.4,35340.4,0,35238.31
2016-03-25,35340.4,35340.4,35340.4,35340.4,0,35238.31
2016-03-28,35350.2,36425,35230.1,36159.8,8600,36055.34
2016-03-29,36149.9,37110.1,35750,36915.5,8000,36808.86
2016-03-30,36990,38200.1,36720.1,37912,9600,37802.48
2016-03-31,38044,39000,37859.9,38296.8,14000,38186.17
2016-04-01,38249.9,38249.9,37110.1,37255.1,5400,37147.48
2016-04-04,37700,37700,36730,36844.6,4100,36738.17
2016-04-05,36800,37209.1,35502,35742.1,7300,35638.85
2016-04-06,35799.9,36600,35799.9,36174.6,5800,36070.1
2016-04-07,36300,36532,35600,35791.1,3500,35687.71
2016-04-08,35707.4,36089.9,35313.8,35468.2,5400,35365.74
2016-04-11,35500.1,35990,35136.9,35800.7,4700,35697.28
2016-04-12,35870,36649.9,35870,36269.8,9700,36165.03
2016-04-13,36974,37000,36301,36595.8,11200,36490.09
2016-04-14,36595.8,36595.8,36595.8,36595.8,0,36490.09
2016-04-15,36595.8,36595.8,36595.8,36595.8,0,36490.09
2016-04-18,36300,36928,36141,36740,4100,36633.87
2016-04-19,36740,36740,36740,36740,0,36633.87
2016-04-20,36850,37198,36700,36816.2,4600,36709.85
2016-04-21,36940,37018.9,35800,36012.8,5200,35908.77
2016-04-22,36000,36099,35414.1,35541.9,5800,35439.23
2016-04-25,35500,35809.2,35150,35404.9,6100,35302.62
2016-04-26,35500,35944,35400,35721.1,3000,35617.91
2016-04-27,35721,35846.9,34630,34786.2,8900,34685.71
2016-04-28,34990,35135,34000.1,34113.1,11100,34014.56
2016-04-29,34350,34350,33555.4,33787.8,10200,33690.2
2016-05-02,33755,34750,33750,34187,8800,34088.24
2016-05-03,34500,34944.4,33201,33434.9,31700,33338.31
2016-05-04,33450,34095.6,33300,33715.1,9200,33617.71
2016-05-05,33929.9,33972.1,33650,33835.9,3600,33738.16
2016-05-06,33880,33880,33400,33742.1,3800,33644.63
2016-05-09,33701.2,33989.9,33600.1,33687.1,5000,33589.79
2016-05-10,33787,33844,33215,33333.4,7700,33237.11
2016-05-11,33290,33296.6,32669,32848.1,8000,32753.21
2016-05-12,32805,33390,32600.1,33297.4,9300,33201.21
2016-05-13,33297,33500,32850,32907.1,3800,32812.04
2016-05-16,33000,33156.1,32610,33031,5100,32935.58
2016-05-17,33033.3,33229.9,32739.3,32810.2,3200,32715.42
2016-05-18,32820,33100,32655,32874.4,5200,32779.43
2016-05-19,32800,32930.7,32400,32579.2,4600,32485.09
2016-05-20,32579.2,32699,31928,32005.8,5300,31913.34
2016-05-23,32205,32354.9,31720,31783.8,5300,31691.99
2016-05-24,31790,31850,31002,31164.4,10500,31074.37
2016-05-25,31400,32070,31200,31965.4,6100,31873.06
2016-05-26,32000,32888,31913.6,32553.1,8800,32459.06
2016-05-27,32700,33725,32652.1,33542.2,7900,33445.3
2016-05-30,33719,33840,33222.1,33447.9,2800,33351.28
2016-05-31,33575.9,33999.9,33301.1,33774.4,5800,33676.83
2016-06-01,33700,33879,33200,33341.9,2800,33245.58
2016-06-02,33305,33593,33101,33425.6,3900,33329.04
2016-06-03,33679.9,33679.9,33290,33427.6,3900,33331.04
2016-06-06,33500,33551.5,33150,33262.4,1400,33166.31
2016-06-07,33400,33456.7,32790,33013.5,3400,32918.13
2016-06-08,33319.9,33319.9,32523,32612.2,5100,32517.99
2016-06-09,32700,32799.9,32500,32546.4,2200,32452.38
2016-06-10,32550,32640,32085,32197.1,4400,32104.09
2016-06-13,32000,32192.9,31901.7,31982.7,3800,31890.31
2016-06-14,32000,32300,31890,31923.2,3600,31830.98
2016-06-15,31985,32200,31550.6,31663.7,5600,31572.23
2016-06-16,31750,31825,31517,31595.2,5100,31503.93
2016-06-17,31750,31848,31251.1,31332.2,5200,31241.69
2016-06-20,31330,32350,31021,32246.9,9100,32153.75
2016-06-21,32378,32424,31702,31844.9,3800,31752.91
2016-06-22,31874.8,32150.9,31500,31718.8,4100,31627.17
2016-06-23,31740,31844.9,31500,31676.9,4200,31585.39
2016-06-24,31499,31500,30101,31317.2,5800,31226.73
2016-06-27,31340,31977.9,31144.2,31870.9,2800,31778.83
2016-06-28,32200,33150,31900,32941.9,8700,32846.74
2016-06-29,33298,33673.6,32900,33519.2,15100,33422.37
2016-06-30,33740,33740,32850.9,33077.6,15700,32982.05
2016-07-01,33077.6,33900,33050,33656.6,7300,33559.38
2016-07-04,33699,35229,33699,35146.6,15000,35045.07
2016-07-05,35000.1,35199.9,34501,34746.2,10100,34645.83
2016-07-06,34746.2,34746.2,34746.2,34746.2,0,34645.83
2016-07-07,34944.9,35400,34826.4,35231.2,7600,35129.43
2016-07-08,35231,35470,35000,35391.1,6300,35288.87
2016-07-11,35502.7,35840.1,35190.9,35292.8,4300,35190.85
2016-07-12,35350,35680,35174,35238.2,5400,35136.41
2016-07-13,35370,35499.9,34300,34490.1,7700,34390.47
2016-07-14,34510,34990,34092.5,34567.3,5100,34467.44
2016-07-15,34650,34828,34140,34221.9,3900,34123.04
2016-07-18,34350,34700,34154.2,34599.1,8100,34499.15
2016-07-19,34599,34940,34352.1,34829.5,3600,34728.89
2016-07-20,35000,35374.8,34810.1,35317.6,3700,35215.58
