"Date","GRASIM.NS.Open","GRASIM.NS.High","GRASIM.NS.Low","GRASIM.NS.Close","GRASIM.NS.Volume","GRASIM.NS.Adjusted"
2016-03-16,3559,3597.65,3539.9,3581.3,167400,699.12
2016-03-17,3600,3659.95,3593,3635.1,414700,709.62
2016-03-18,3640.25,3705,3640.25,3656.95,370200,713.89
2016-03-21,3662,3749.9,3640.1,3734.25,737700,728.98
2016-03-22,3739.85,3776.5,3734.7,3749.2,309500,731.9
2016-03-23,3791,3827,3772,3781,406900,738.11
2016-03-24,3781,3781,3781,3781,0,738.11
2016-03-25,3781,3781,3781,3781,0,738.11
2016-03-28,3778.95,3807,3733.4,3786.5,508900,739.18
2016-03-29,3770.3,3799.9,3747.65,3767,630300,735.37
2016-03-30,3789,3858.9,3777.15,3838.65,670800,749.36
2016-03-31,3842,3863.8,3812.1,3844.15,1011300,750.43
2016-04-01,3811,3887,3811,3852.8,214500,752.12
2016-04-04,3887,3890,3852,3878.2,282900,757.08
2016-04-05,3868.9,3886.75,3822.95,3835.35,319100,748.72
2016-04-06,3844.55,3920,3830.05,3912.6,588600,763.8
2016-04-07,3934.95,3934.95,3900,3909.9,370500,763.27
2016-04-08,3901.5,3992,3875,3982.55,585700,777.45
2016-04-11,3992.8,4028.5,3914.4,4006.95,496800,782.22
2016-04-12,4001,4050.9,3980.7,4041.95,441800,789.05
2016-04-13,4045,4119.2,4032.85,4073.55,333500,795.22
2016-04-14,4073.55,4073.55,4073.55,4073.55,0,795.22
2016-04-15,4073.55,4073.55,4073.55,4073.55,0,795.22
2016-04-18,4074,4110,4013.05,4090.65,479400,798.55
2016-04-19,4090.65,4090.65,4090.65,4090.65,0,798.55
2016-04-20,4095,4139,4058.75,4093.05,337800,799.02
2016-04-21,4102.1,4122.2,3988,4002.5,245000,781.35
2016-04-22,3983,4046.7,3967.65,4013,305400,783.4
2016-04-25,4016,4055,3990,4038.7,226800,788.41
2016-04-26,4030,4110,4020,4087.3,319400,797.9
2016-04-27,4087,4147,4070,4131.4,396100,806.51
2016-04-28,4120,4135,4085,4117.7,370500,803.84
2016-04-29,4121.95,4132,4054.5,4086.75,136600,797.79
2016-05-02,4075,4100,4050,4070.75,80900,794.67
2016-05-03,4091,4178.9,4065,4142.45,521400,808.67
2016-05-04,4138,4157.9,4098.15,4144.2,265100,809.01
2016-05-05,4164,4164,4095.9,4115.25,147500,803.36
2016-05-06,4104.9,4129.95,4081.35,4112.05,165800,802.73
2016-05-09,4135,4167.8,4085.1,4134.15,568300,807.05
2016-05-10,4134.15,4280,4100,4215.8,384000,822.99
2016-05-11,4218.05,4299.95,4188.5,4264.5,773200,832.49
2016-05-12,4270,4285,4220.2,4258.9,213300,831.4
2016-05-13,4249.7,4262.9,4163,4251.75,291100,830
2016-05-16,4259.7,4275,4222.1,4267.55,137500,833.09
2016-05-17,4270.2,4310,4256,4282.45,210400,836
2016-05-18,4275,4275,4249.7,4265.65,112500,832.72
2016-05-19,4266,4278.05,4215.15,4252.25,265100,830.1
2016-05-20,4245,4250,4200,4206.75,113300,821.22
2016-05-23,4224.8,4259,4191.3,4211.15,135900,822.08
2016-05-24,4211,4318.9,4192.9,4290.35,141700,837.54
2016-05-25,4316,4354.95,4294,4343.45,343900,847.91
2016-05-26,4343.45,4360,4295,4331,307600,845.47
2016-05-27,4335,4385,4330.1,4361.25,255200,851.38
2016-05-30,4372.25,4404.35,4341,4351.75,188300,849.53
2016-05-31,4330,4380,4315.75,4356.95,447900,850.54
2016-06-01,4357.1,4390,4332.05,4356,233100,850.36
