"Date","BHARATFIN.NS.Open","BHARATFIN.NS.High","BHARATFIN.NS.Low","BHARATFIN.NS.Close","BHARATFIN.NS.Volume","BHARATFIN.NS.Adjusted"
2016-03-17,530.25,532.4,513.85,519,887500,519
2016-03-18,520,528,514.1,524.65,826300,524.65
2016-03-21,532.3,537.7,529.1,533.9,976400,533.9
2016-03-22,536.8,540.35,526,532.1,1136100,532.1
2016-03-23,531,532.8,523.3,530.2,914600,530.2
2016-03-24,530.2,530.2,530.2,530.2,0,530.2
2016-03-25,530.2,530.2,530.2,530.2,0,530.2
2016-03-28,526,531.25,515.5,518.1,1285600,518.1
2016-03-29,520,520.7,506.4,513.35,1665900,513.35
2016-03-30,516.95,533.15,515.3,526.65,1950100,526.65
2016-03-31,530.1,549.5,524.05,545.85,2330000,545.85
2016-04-01,548.1,553,543.55,546.5,1871400,546.5
2016-04-04,549,554,530.15,538.35,1069100,538.35
2016-04-05,535.6,542.4,522.55,524.45,1320300,524.45
2016-04-06,528.7,549,528.1,546.75,1517000,546.75
2016-04-07,546.75,557.1,542.75,549.75,1664600,549.75
2016-04-08,552,554.6,544,545.9,919200,545.9
2016-04-11,544.55,554.3,543.1,551,1252400,551
2016-04-12,554.7,562,550.05,557,1572100,557
2016-04-13,563.4,567.3,556.75,560.1,1142300,560.1
2016-04-14,560.1,560.1,560.1,560.1,0,560.1
2016-04-15,560.1,560.1,560.1,560.1,0,560.1
2016-04-18,560.1,572.95,553.9,571.3,1583700,571.3
2016-04-19,571.3,571.3,571.3,571.3,0,571.3
2016-04-20,571.9,586.4,562.95,584.45,2620500,584.45
2016-04-21,589,594,568,578.85,2643200,578.85
2016-04-22,580,588,574.4,585.2,1162500,585.2
2016-04-25,588,588,577.4,580.85,818200,580.85
2016-04-26,580.5,589.9,572.55,586.2,898900,586.2
2016-04-27,586.9,607,584.05,594.65,1444200,594.65
2016-04-28,593.85,602.4,585.95,588.8,1200300,588.8
2016-04-29,589.4,610,581.6,603.8,1006000,603.8
2016-05-02,605,620.75,602.05,616,1838400,616
2016-05-03,620.2,634.6,611.25,614.5,2945000,614.5
2016-05-04,612,618,589.25,595.6,2304100,595.6
2016-05-05,603.55,614.4,578.4,601.85,4724700,601.85
2016-05-06,601.1,601.1,586.4,593.9,1960500,593.9
2016-05-09,598.6,600,587.6,596.75,1835100,596.75
2016-05-10,599.8,604,592,593.95,1265800,593.95
2016-05-11,584,594,577.75,586.05,1353500,586.05
2016-05-12,585,601,583.95,597.85,1410400,597.85
2016-05-13,597,609.1,596,605.4,1899000,605.4
2016-05-16,608.95,628.8,608.5,626.55,2568900,626.55
2016-05-17,630,636,623.2,627.6,1654900,627.6
2016-05-18,624.7,634.7,621,632.55,1084400,632.55
2016-05-19,627.2,642,625.55,631.45,1517100,631.45
2016-05-20,631,633.85,616,618.2,895300,618.2
2016-05-23,620,621,601.1,603.05,949800,603.05
2016-05-24,605.4,612.95,601.6,609.85,822500,609.85
2016-05-25,617.8,624.25,616.6,619,976800,619
2016-05-26,622,628.9,618.55,625.7,1435200,625.7
2016-05-27,625.4,638.55,623.2,633.05,1178600,633.05
2016-05-30,635.1,654.9,627.45,650.9,1316300,650.9
2016-05-31,655,658,647.15,650.3,1093800,650.3
2016-06-01,649.95,662.8,647.6,655.9,1065300,655.9
2016-06-02,653,667,651.25,666.1,1398300,666.1
