"Date","OIL.NS.Open","OIL.NS.High","OIL.NS.Low","OIL.NS.Close","OIL.NS.Volume","OIL.NS.Adjusted"
2016-04-29,329.999,336.999,329.299,332.05,417500,235.679
2016-05-02,332.499,337.499,329.999,335.299,555600,237.986
2016-05-03,334.999,340.199,334.099,337.599,916700,239.618
2016-05-04,335.099,335.348,326.499,328.399,532400,233.088
2016-05-05,327.999,328.499,319.599,320.399,399300,227.41
2016-05-06,320.899,330.999,319.999,328.599,673100,233.23
2016-05-09,329.099,333.55,328.399,331.949,706100,235.607
2016-05-10,331.999,332.599,323.749,326.349,881200,231.633
2016-05-11,324.999,329.199,321.999,327.05,418500,232.131
2016-05-12,331.999,331.999,323.999,324.949,1123700,230.639
2016-05-13,325.399,330.55,322.299,328.599,928500,233.23
2016-05-16,329.499,330.499,325.349,329.65,113400,233.976
2016-05-17,331.25,344.25,331.25,341.199,990800,242.173
2016-05-18,341.899,346.748,340.999,344.999,725600,244.87
2016-05-19,345.448,345.448,337.15,340.999,251700,242.031
2016-05-20,341.599,344.148,337.55,339.15,133600,240.719
2016-05-23,339.15,342.749,337.299,339.55,260900,241.003
2016-05-24,341.799,346.299,338.299,341.599,341400,242.457
2016-05-25,342.299,345.599,340.799,342.648,422000,243.202
2016-05-26,344.999,351.25,344.199,347.699,889000,246.787
2016-05-27,348.25,354.399,345.999,348.699,564300,247.497
2016-05-30,351.899,354.948,343.099,349.648,392700,248.17
2016-05-31,349.999,356.648,347.148,349.999,635600,248.419
2016-06-01,349.999,354.699,346.55,352.35,399900,250.088
2016-06-02,347.999,354.799,347.448,352.648,286700,250.3
2016-06-03,352.148,355.448,350.099,351.148,216500,249.235
2016-06-06,351.148,353.799,347.999,349.099,185700,247.781
2016-06-07,350.148,353.099,348.25,351.999,160900,249.839
2016-06-08,352.499,355.999,350.199,351.299,299300,249.342
2016-06-09,352.148,362.999,352.148,358.648,435500,254.558
2016-06-10,359.799,361.999,356.399,357.948,233100,254.062
2016-06-13,353.599,357.948,349.05,349.999,286800,248.419
2016-06-14,348.999,352.748,348.999,349.999,339700,248.419
2016-06-15,350.999,351.55,348.599,349.599,176700,248.135
2016-06-16,349.999,353.648,346.299,351.599,413400,249.555
2016-06-17,351.599,353.999,345.999,349.85,507600,248.313
2016-06-20,349.999,354.748,349.148,352.299,160600,250.052
2016-06-21,351.599,358.999,351.599,356.85,304800,253.282
2016-06-22,354.148,360.748,354.148,357.899,314200,254.026
2016-06-23,357.899,360.748,355.05,359.25,247700,254.985
2016-06-24,352.25,356.948,345.999,348.25,744400,247.178
2016-06-27,348.999,356.499,346.699,348.448,376300,247.319
2016-06-28,350.799,354.648,344.05,346.05,574400,245.616
2016-06-29,349.699,353.899,347.999,351.599,754300,249.555
2016-06-30,352.699,354.85,347.499,352.199,549100,249.981
2016-07-01,352.499,370.85,350.648,363.55,446600,258.037
2016-07-04,369.999,379.899,367.799,372.599,730100,264.46
2016-07-05,372.499,378.499,370.099,374.299,496800,265.667
2016-07-06,374.299,374.299,374.299,374.299,0,265.667
2016-07-07,373.05,376.948,367.499,368.35,325300,261.444
