"Date","RELCAPITAL.NS.Open","RELCAPITAL.NS.High","RELCAPITAL.NS.Low","RELCAPITAL.NS.Close","RELCAPITAL.NS.Volume","RELCAPITAL.NS.Adjusted"
2016-06-28,381,388.45,380.8,386.25,2913900,379.59
2016-06-29,389.5,393.95,388.55,391.2,1710200,384.45
2016-06-30,395.1,405.65,392.4,399.75,11809200,392.85
2016-07-01,402.7,403.75,397,398.25,4399300,391.38
2016-07-04,402.9,406.25,400.4,401.8,3977100,394.87
2016-07-05,401,416,400.55,409.85,5244200,402.78
2016-07-06,409.85,409.85,409.85,409.85,0,402.78
2016-07-07,411.8,414.8,406.3,407.7,2667400,400.67
2016-07-08,407.95,409.3,401.3,403.45,1614100,396.49
2016-07-11,410,415,408.55,412.4,2090100,405.29
2016-07-12,414.8,419.8,410.4,416.9,3107700,409.71
2016-07-13,418.95,420.9,408,410.05,2803800,402.98
2016-07-14,411.9,417,408.5,414.25,1746700,407.1
2016-07-15,415.95,416,403.45,406.35,2272200,399.34
2016-07-18,407.85,416.2,403,405.1,2115500,398.11
2016-07-19,407.35,407.8,397.1,402.9,2226700,395.95
2016-07-20,405.3,407.5,402.45,405.7,1933300,398.7
2016-07-21,407.8,410.75,399,399.95,2638400,393.05
2016-07-22,401.25,410.85,398.2,408.4,2106500,401.35
2016-07-25,409.95,429.8,406.5,424.5,4707400,417.18
2016-07-26,429.6,440.45,425.35,428.55,5567900,421.16
2016-07-27,429.95,437.35,421.1,431.45,3193100,424.01
2016-07-28,433.3,443.9,432.5,439.3,5227300,431.72
2016-07-29,440.85,453.9,440.5,448.1,4788800,440.37
2016-08-01,452.95,455.4,438.75,446.85,2945400,439.14
2016-08-02,449,449.85,433.55,435.6,2440500,428.09
2016-08-03,434.9,440.55,426.35,429,2613200,421.6
2016-08-04,432.35,439,427.5,433.5,2172100,426.02
2016-08-05,437.2,442.75,435.15,440,2338900,432.41
2016-08-08,443.35,449,438.9,442.6,2119400,434.97
2016-08-09,443.95,443.95,435.3,438.45,1751400,430.89
2016-08-10,441,441.25,421.35,423.4,2479000,416.1
2016-08-11,423.8,440.2,417.55,435.8,3495600,428.28
2016-08-12,439,442.8,433.1,437.25,2558400,429.71
2016-08-15,437.25,437.25,437.25,437.25,0,429.71
2016-08-16,439,463.75,436.2,459.25,6815200,451.33
2016-08-17,463.9,463.9,452,456.15,3353100,448.28
2016-08-18,457.85,470.4,456.6,465.95,3302700,457.91
2016-08-19,466.5,474.4,464.25,468,3525100,459.93
2016-08-22,468.4,472.2,460.65,467,2751900,458.94
2016-08-23,467.95,476.3,465.1,473.65,3264700,465.48
2016-08-24,475,489.65,473.25,488.3,4742600,479.88
2016-08-25,490,500.65,485.1,492.3,6856800,483.81
