"Date","PEL.NS.Open","PEL.NS.High","PEL.NS.Low","PEL.NS.Close","PEL.NS.Volume","PEL.NS.Adjusted"
2015-12-23,954,960.25,945.05,952,54400,934.2492
2015-12-24,955,990,950.05,968.9,135400,950.8341
2015-12-25,968.9,968.9,968.9,968.9,0,950.8341
2015-12-28,970,973.2,954.85,968.6,39400,950.5397
2015-12-29,966,990.05,966,987.6,67500,969.1854
2015-12-30,987.25,999.95,984,988.2,52600,969.7743
2015-12-31,996.45,1010,989,1004.35,39000,985.6231
2016-01-01,1018.5,1030,1005,1010,67500,991.1678
2016-01-04,1016,1026.9,983,989.2,52500,970.7556
2016-01-05,991.2,1007,980,985.75,45000,967.3699
2016-01-06,997,1012.9,976.5,990.9,633200,972.4239
2016-01-07,983.35,999.75,963,967.6,48600,949.5583
2016-01-08,978,984.4,972,979.4,64600,961.1384
2016-01-11,982,986.95,946.25,954.3,51400,936.5063
2016-01-12,959,959,925.5,932,43600,914.6221
2016-01-13,941.45,952,925,945.7,390300,928.0667
2016-01-14,944.95,948.45,921.2,939.35,54000,921.8351
2016-01-15,934.95,948,906,911.05,29700,894.0628
2016-01-18,911.05,920.95,882.05,885.45,58400,868.9401
2016-01-19,895.85,905,888.8,895.3,19200,878.6064
2016-01-20,900,905,879.05,892.4,54700,875.7605
2016-01-21,900,923.85,870,891.45,322400,874.8282
2016-01-22,899.85,921,891.05,910.8,61400,893.8174
2016-01-25,906.9,947.9,906.9,942.8,94600,925.2208
2016-01-26,942.8,942.8,942.8,942.8,0,925.2208
2016-01-27,949.9,987.8,949.9,972.8,128800,954.6614
2016-01-28,967.15,986,920.5,966.25,464100,948.2335
2016-01-29,983,1009.95,969.55,993.55,202300,975.0245
2016-02-01,1000.15,1009.9,975.05,989.05,42900,970.6084
2016-02-02,985,995,951,954.25,58100,936.4573
2016-02-03,951,960,911.65,923.2,65400,905.9862
2016-02-04,930,943,916,924.9,65100,907.6546
2016-02-05,933,983,922.55,974.65,57200,956.4769
2016-02-08,979.7,988,944.6,949.2,188100,931.5015
2016-02-09,950.5,969.95,923.5,960.85,574400,942.9342
2016-02-10,960.85,975,941,944.1,45200,926.4965
2016-02-11,952.9,955.9,929,935.05,48500,917.6153
2016-02-12,949.85,959.9,922,953.6,61200,935.8194
2016-02-15,957.2,989,957.2,985.85,36700,967.4681
2016-02-16,980.4,988.95,931.6,939.15,120100,921.6389
2016-02-17,933.25,939,899.35,912.5,120400,895.4857
2016-02-18,917.05,942,917.05,935,52600,917.5662
2016-02-19,935.9,939.85,910,922.1,179200,904.9067
2016-02-22,924,939.95,923.15,926.25,29400,908.9794
2016-02-23,923,933.4,886,887.75,115100,871.1972
2016-02-24,888.15,909,881,899.3,91700,882.5319
2016-02-25,900,909,861,868.35,124900,852.1589
2016-02-26,873.15,897,873.15,885.05,88300,868.5476
2016-02-29,893.95,928.65,876,908.1,124500,891.1678
2016-03-01,908,925,880.25,883.8,164900,867.3209
2016-03-02,899,904.5,884.95,889.75,597200,873.1599
2016-03-03,899,909,832.25,889.5,1193500,872.9146
2016-03-04,890.5,909,885,898.8,71000,882.0412
2016-03-07,898.8,898.8,898.8,898.8,0,882.0412
2016-03-08,898,925,898,916.15,81500,899.0677
2016-03-09,911,924.7,910,916.25,39800,899.1658
2016-03-10,915.15,934,914.95,921.4,59600,904.2198
2016-03-11,923.3,944.35,920.75,929.3,64300,911.9725
2016-03-14,939.5,939.5,922.5,927.45,34200,910.157
2016-03-15,935,940,921.1,938.4,102600,920.9028
2016-03-16,939,944,926,938.55,181900,921.05
2016-03-17,933.5,942,926.85,939.1,71300,939.1
2016-03-18,945.5,968,930.15,958.9,152700,958.9
2016-03-21,969.95,969.95,950.1,966.85,49700,966.85
2016-03-22,967.95,979,960.1,972.45,58800,972.45
2016-03-23,963.05,988.5,963.05,984.1,114100,984.1
2016-03-24,984.1,984.1,984.1,984.1,0,984.1
2016-03-25,984.1,984.1,984.1,984.1,0,984.1
2016-03-28,984.1,991,972.05,983.35,39000,983.35
2016-03-29,985,987.95,961,980.2,79300,980.2
2016-03-30,988,1067.95,987.85,1019.5,222500,1019.5
2016-03-31,1040,1049.55,1012.6,1036.45,129300,1036.45
2016-04-01,1039.5,1053.95,1024.45,1048.25,93900,1048.25
2016-04-04,1054.9,1096,1052.95,1090.1,198600,1090.1
2016-04-05,1092.95,1110.7,1080.1,1097.95,136100,1097.95
2016-04-06,1104,1132.5,1057,1072.3,210500,1072.3
2016-04-07,1072.3,1107,1070.1,1088.7,75000,1088.7
2016-04-08,1096.9,1104.55,1041.25,1060.3,163400,1060.3
2016-04-11,1053.05,1066.95,1045,1052.85,67600,1052.85
2016-04-12,1060,1094.9,1053.6,1086.8,137500,1086.8
2016-04-13,1086.9,1093.4,1060.7,1084.8,61700,1084.8
2016-04-14,1084.8,1084.8,1084.8,1084.8,0,1084.8
2016-04-15,1084.8,1084.8,1084.8,1084.8,0,1084.8
2016-04-18,1095,1098,1072,1084.35,114800,1084.35
2016-04-19,1084.35,1084.35,1084.35,1084.35,0,1084.35
2016-04-20,1090.7,1090.7,1044.7,1061,363000,1061
2016-04-21,1069,1084.9,1050.1,1080.5,53500,1080.5
2016-04-22,1079.95,1080,1060,1076.15,22100,1076.15
2016-04-25,1062,1119.5,1062,1098.8,64000,1098.8
2016-04-26,1100,1123.95,1080.3,1098.95,97900,1098.95
2016-04-27,1086.1,1119,1086.1,1108.85,91200,1108.85
2016-04-28,1110,1149.95,1101,1145.4,188600,1145.4
2016-04-29,1148.9,1209.8,1146.55,1190.25,179800,1190.25
2016-05-02,1200,1223.7,1156.6,1169.15,171000,1169.15
2016-05-03,1169.15,1200,1163.55,1183.9,213500,1183.9
2016-05-04,1186,1228,1171.2,1202.4,244000,1202.4
2016-05-05,1202,1217,1189,1195.5,80200,1195.5
2016-05-06,1195.5,1204.3,1176.1,1189.3,67200,1189.3
2016-05-09,1185.85,1219.95,1185.85,1212.85,95000,1212.85
2016-05-10,1203.3,1275,1202.1,1245.15,225900,1245.15
2016-05-11,1230,1260,1210,1239.55,97300,1239.55
2016-05-12,1239.55,1249.7,1202,1213.15,60600,1213.15
2016-05-13,1225,1278,1214,1265,194900,1265
2016-05-16,1279.9,1299,1257.2,1272.35,287300,1272.35
2016-05-17,1288,1387,1283.6,1334.75,516700,1334.75
2016-05-18,1340.3,1438.8,1330.1,1398,245200,1398
2016-05-19,1410.1,1536,1410.1,1441.35,492000,1441.35
2016-05-20,1460,1470,1412,1419.85,749500,1419.85
2016-05-23,1429,1469,1410,1418.75,233400,1418.75
2016-05-24,1429.8,1495.55,1420,1425.55,235300,1425.55
2016-05-25,1438,1458,1412,1423.2,116900,1423.2
2016-05-26,1432,1432.8,1340,1351.1,235100,1351.1
2016-05-27,1355,1414,1352,1398.3,282100,1398.3
2016-05-30,1407.9,1419.5,1350.1,1383.85,149500,1383.85
2016-05-31,1397,1464,1370,1445.75,707900,1445.75
2016-06-01,1435,1446.7,1404.75,1413.3,161800,1413.3
2016-06-02,1414,1443,1406.65,1420.3,122700,1420.3
2016-06-03,1433,1453,1422.25,1449.45,278900,1449.45
2016-06-06,1450,1450.45,1408.5,1421.05,183400,1421.05
2016-06-07,1419,1430.1,1394.95,1400.55,132400,1400.55
2016-06-08,1402.2,1416.75,1371,1375.4,122200,1375.4
2016-06-09,1392.8,1392.8,1326.25,1332.65,108400,1332.65
2016-06-10,1335,1369.6,1334.95,1341.1,154200,1341.1
2016-06-13,1341.1,1381.1,1321.05,1361.55,74900,1361.55
2016-06-14,1370,1405,1350,1395.95,92100,1395.95
2016-06-15,1387,1410,1372,1376.5,61000,1376.5
2016-06-16,1384,1408,1358.1,1400.35,64100,1400.35
2016-06-17,1408,1415,1350.15,1355.8,151300,1355.8
2016-06-20,1356,1356,1330,1343.4,121800,1343.4
2016-06-21,1343,1392,1320.15,1370,204900,1370
2016-06-22,1384,1408,1372.25,1398.1,124900,1398.1
2016-06-23,1393.95,1405.45,1378.1,1395.4,68700,1395.4
2016-06-24,1369.85,1430,1330,1421.45,135600,1421.45
2016-06-27,1421.1,1421.1,1382.95,1390.15,56000,1390.15
2016-06-28,1400,1404.4,1372.1,1377.9,38000,1377.9
2016-06-29,1385,1426,1385,1399.7,144300,1399.7
2016-06-30,1409.9,1458,1401,1446.05,166100,1446.05
2016-07-01,1446.05,1485.65,1430,1461.95,100400,1461.95
2016-07-04,1462,1505,1450,1465.05,115200,1465.05
2016-07-05,1468,1514.95,1445.55,1506.85,115200,1506.85
2016-07-06,1506.85,1506.85,1506.85,1506.85,0,1506.85
2016-07-07,1505,1560,1505,1527.8,226100,1527.8
2016-07-08,1527.9,1539.95,1482.2,1487.6,86300,1487.6
2016-07-11,1500,1525,1490.05,1509.6,86100,1509.6
2016-07-12,1492.5,1510,1476.1,1491.95,86300,1491.95
2016-07-13,1492.05,1533.9,1492.05,1524.65,144800,1524.65
2016-07-14,1528.7,1545,1507.25,1537.65,98600,1537.65
2016-07-15,1537.1,1588,1532,1554.95,199400,1554.95
2016-07-18,1566,1574.45,1523,1526.85,43300,1526.85
2016-07-19,1540,1590,1512,1571.45,130900,1571.45
2016-07-20,1575.4,1670,1561.7,1649.75,316700,1649.75
2016-07-21,1669.8,1672.8,1596.15,1605.05,146500,1605.05
2016-07-22,1624.95,1624.95,1566.25,1575.8,107400,1575.8
2016-07-25,1581,1600,1565,1585.35,79100,1585.35
2016-07-26,1586,1614,1575.65,1583.85,75300,1583.85
2016-07-27,1590,1604,1565.5,1588.4,60100,1588.4
2016-07-28,1593,1614,1573,1608.65,117200,1608.65
2016-07-29,1608.65,1624.2,1588.05,1607.05,189200,1607.05
2016-08-01,1618.9,1664,1591.2,1618.35,361700,1618.35
2016-08-02,1637.85,1647.1,1580.1,1592.35,140200,1592.35
2016-08-03,1610,1610,1575.1,1582.85,56500,1582.85
2016-08-04,1591.8,1598.2,1563.25,1579.9,74500,1579.9
2016-08-05,1589,1589,1566.1,1576,64600,1576
2016-08-08,1577.05,1610,1550.9,1591.25,95900,1591.25
2016-08-09,1599.9,1644,1590,1633.3,101300,1633.3
2016-08-10,1635,1635,1597.7,1604.5,108100,1604.5
2016-08-11,1602.25,1662.7,1575,1601.6,285500,1601.6
2016-08-12,1610.25,1700,1610.25,1678.15,162100,1678.15
2016-08-15,1678.15,1678.15,1678.15,1678.15,0,1678.15
2016-08-16,1710.05,1811,1680,1771.45,318800,1771.45
2016-08-17,1815,1862.2,1785,1844.5,397300,1844.5
2016-08-18,1848,1966,1815,1949.7,373400,1949.7
2016-08-19,1952.6,2050,1952.6,2041.1,378900,2041.1
2016-08-22,2049.8999,2097,2049.8999,2065.25,301100,2065.25
2016-08-23,2067.55,2080,1978.1,1995.45,203700,1995.45
2016-08-24,2008,2028.6,1989.9,2004.8,107200,2004.8
2016-08-25,1995.1,2008,1927,1954.1,137900,1954.1
2016-08-26,1958.95,1958.95,1833,1847.1,173300,1847.1
2016-08-29,1841.65,1889.8,1781.2,1872.65,267600,1872.65
2016-08-30,1911,1925.1,1882.45,1890.75,152000,1890.75
2016-08-31,1892.1,1913.8,1816.2,1838.55,184800,1838.55
2016-09-01,1842,1855,1802.45,1827.3,92400,1827.3
2016-09-02,1847.5,1850,1799.65,1809.75,104600,1809.75
2016-09-05,1809.75,1809.75,1809.75,1809.75,0,1809.75
2016-09-06,1815,1875,1815,1866.4,244200,1866.4
2016-09-07,1878.7,1884.9,1848,1870.8,235700,1870.8
2016-09-08,1871,1927.65,1871,1903.65,186800,1903.65
2016-09-09,1903.5,1931,1815,1870.35,132900,1870.35
2016-09-12,1845.1,1882.3,1839.8,1865.15,222100,1865.15
2016-09-13,1865.15,1865.15,1865.15,1865.15,0,1865.15
2016-09-14,1869.95,1884.4,1855,1872.4,188200,1872.4
2016-09-15,1890.05,1954,1876.9,1922.2,193000,1922.2
2016-09-16,1929.6,1963,1862.3,1911,355900,1911
2016-09-19,1895.4,1939.65,1881.95,1895.65,103000,1895.65
2016-09-20,1910,1931.05,1865,1878.4,68000,1878.4
2016-09-21,1909,1918.4,1859.05,1878.2,133300,1878.2
2016-09-22,1904.9,1904.9,1871,1893.4,71900,1893.4
2016-09-23,1907.55,1920,1880,1901.6,126000,1901.6
2016-09-26,1895.15,1904.75,1866,1886.25,180200,1886.25
