"Date","HDFC.NS.Open","HDFC.NS.High","HDFC.NS.Low","HDFC.NS.Close","HDFC.NS.Volume","HDFC.NS.Adjusted"
2016-05-04,1099,1138,1098,1129.9,4419800,1115.6157
2016-05-05,1137,1176.2,1135,1162.65,4663600,1147.9517
2016-05-06,1161,1173.95,1149.1,1167.8,2591400,1153.0366
2016-05-09,1168.1,1207,1168.1,1203.6,2462600,1188.384
2016-05-10,1202.2,1220.45,1197,1218.55,2687800,1203.145
2016-05-11,1207.5,1221.5,1200.2,1203.8,3080400,1188.5815
2016-05-12,1204,1212.45,1190,1195.85,1850800,1180.7319
2016-05-13,1192,1203.1,1158.65,1166,2819600,1151.2593
2016-05-16,1164.4,1191,1160.5,1186.45,2309000,1171.4507
2016-05-17,1197.5,1230,1191.25,1217.85,3760300,1202.4538
2016-05-18,1205.25,1214.3,1196.4,1208.2,4337000,1192.9258
2016-05-19,1208.5,1208.55,1173.3,1175.85,2454800,1160.9848
2016-05-20,1178.1,1193.8,1172.15,1179.55,3001600,1164.6381
2016-05-23,1184,1187.25,1158.4,1160.25,1882100,1145.582
2016-05-24,1163.9,1177.9,1159.15,1172.75,1650800,1157.924
2016-05-25,1186,1212.45,1182.2,1207.05,2675100,1191.7904
2016-05-26,1210.4,1235,1191.7,1228.25,2940800,1212.7224
2016-05-27,1230,1268.4,1218.35,1255.55,3246700,1239.6773
2016-05-30,1255.2,1259,1212.35,1233.95,2889100,1218.3503
2016-05-31,1235.05,1247.8,1222.35,1237.7,5155700,1222.0528
2016-06-01,1242.15,1248.35,1230,1243.25,2279900,1227.5327
2016-06-02,1236.05,1263.5,1232.55,1260.55,1671500,1244.6141
2016-06-03,1266,1268.8,1246,1254.9,1801500,1239.0355
2016-06-06,1261,1264.95,1247.7,1251.65,1879900,1235.8266
2016-06-07,1256.5,1260,1242.8,1251.3,2976300,1235.481
2016-06-08,1252.2,1267,1247.6,1262.5,2594900,1246.5394
2016-06-09,1257,1258,1233.35,1237.5,2153300,1221.8554
2016-06-10,1233,1251.7,1228,1230.4,2144300,1214.8452
