"Date","ESCORTS.NS.Open","ESCORTS.NS.High","ESCORTS.NS.Low","ESCORTS.NS.Close","ESCORTS.NS.Volume","ESCORTS.NS.Adjusted"
2015-12-01,175.1,175.65,170.55,171.65,930800,171.04
2015-12-02,172,172.7,165.4,167.3,590400,166.71
2015-12-03,165.75,172.7,165.55,168.45,639000,167.85
2015-12-04,166.9,168,163.5,164.05,429700,163.47
2015-12-07,165.7,168,163.2,164.45,262000,163.87
2015-12-08,164.25,165.8,158.7,159.75,303900,159.18
2015-12-09,159.7,160,151.5,153.4,433900,152.85
2015-12-10,153.85,157.8,153.25,156.75,342400,156.19
2015-12-11,157.1,158.85,152,154.05,435700,153.5
2015-12-14,152.75,155.25,150.7,152.8,463700,152.26
2015-12-15,153.6,157.2,153,156.45,445200,155.89
2015-12-16,157.05,159,154.05,154.75,468200,154.2
2015-12-17,156.15,161.45,155.4,160.35,503500,159.78
2015-12-18,160.35,164.45,158.35,159.5,667100,158.93
2015-12-21,159.8,163.3,159.5,161.45,403400,160.88
2015-12-22,162.1,163.3,159.7,160.75,371300,160.18
2015-12-23,160.75,168,160.75,166.65,917600,166.06
2015-12-24,167.15,170.85,165.05,169.85,884200,169.25
2015-12-25,169.85,169.85,169.85,169.85,0,169.25
2015-12-28,168.85,171.9,167.1,167.85,484800,167.25
2015-12-29,168.7,172.9,166.75,171.7,867400,171.09
2015-12-30,172.5,176.4,170.3,171.15,969900,170.54
2015-12-31,170.1,173.35,170.1,171.9,323600,171.29
2016-01-01,171.9,173,168.4,170.2,335500,169.59
2016-01-04,168,168.4,161.7,165.4,640100,164.81
2016-01-05,166,172.9,164.2,169.7,887800,169.1
2016-01-06,169.05,173.8,165.6,167.05,638100,166.46
2016-01-07,166,166.2,158.1,159.05,460100,158.48
2016-01-08,160.35,163.75,160.35,162.85,260500,162.27
2016-01-11,161.5,162.5,158.05,158.7,319700,158.14
2016-01-12,158.85,161,155.5,156.6,285400,156.04
2016-01-13,156.75,159.3,144,148.85,646700,148.32
2016-01-14,146.05,148.9,140.1,145.1,371100,144.58
2016-01-15,146.4,147.7,134,135.15,480700,134.67
2016-01-18,136,139.7,127.1,128.1,561100,127.64
2016-01-19,126.8,134,126.8,133.35,406000,132.88
2016-01-20,132.4,132.4,124.8,127.35,346400,126.9
2016-01-21,128.6,131.9,127.2,128.75,316500,128.29
2016-01-22,131,134.3,129.45,132.15,370000,131.68
2016-01-25,133.6,136.7,132.5,133.2,276300,132.73
2016-01-26,133.2,133.2,133.2,133.2,0,132.73
2016-01-27,134.1,135.6,131.2,133.8,258000,133.32
