"Date","JUSTDIAL.NS.Open","JUSTDIAL.NS.High","JUSTDIAL.NS.Low","JUSTDIAL.NS.Close","JUSTDIAL.NS.Volume","JUSTDIAL.NS.Adjusted"
2016-05-17,739,741.8,731,736.3,644300,736.3
2016-05-18,737.5,752.2,725,738.75,786800,738.75
2016-05-19,740,746.5,719,723.15,665400,723.15
2016-05-20,723.15,762.35,697.4,750.8,3249100,750.8
2016-05-23,782.35,808,689,697.55,7119500,697.55
2016-05-24,692.3,692.3,632.25,640.75,6387900,640.75
2016-05-25,639.9,657.05,615.75,640.7,3387700,640.7
2016-05-26,633,672,633,665.7,2714900,665.7
2016-05-27,663,669.7,650,654.25,1298500,654.25
2016-05-30,656,661.95,640,643.45,979000,643.45
2016-05-31,643,686.5,640.55,680,2702000,680
2016-06-01,686.4,705.5,685,695.5,2562800,695.5
2016-06-02,692.4,692.4,665,676.65,1572500,676.65
2016-06-03,677.35,688,661.8,669.7,1097100,669.7
2016-06-06,656.1,677,648.55,663.75,1624500,663.75
2016-06-07,668,673.5,650.35,653.85,1020000,653.85
2016-06-08,655,663.95,645.2,650.9,1182200,650.9
2016-06-09,652,671,651,661.7,1281800,661.7
2016-06-10,662.9,669,648.05,652.6,1024700,652.6
2016-06-13,647,650.8,632,634.9,896300,634.9
2016-06-14,641,652,636,641.5,1136500,641.5
2016-06-15,646,650,640.05,644,616900,644
2016-06-16,641,649.9,634.2,643.8,763000,643.8
2016-06-17,650.3,666.15,648.55,662.45,1442000,662.45
2016-06-20,657.9,671.05,653.05,661.95,628400,661.95
2016-06-21,664,670.95,661.65,665.2,645000,665.2
2016-06-22,668,672,652,656.25,769300,656.25
2016-06-23,657,657.9,644.05,648.4,442800,648.4
2016-06-24,630,635.95,594.5,625.55,740100,625.55
2016-06-27,625,633.7,613.5,622.05,810500,622.05
2016-06-28,629.7,629.7,595,598.9,1698800,598.9
2016-06-29,601.8,608,591.6,601.45,1757700,601.45
2016-06-30,607,616,606,610.45,1424500,610.45
2016-07-01,607.1,618.8,606.05,615.6,773600,615.6
2016-07-04,620,626.6,617,618.85,646800,618.85
2016-07-05,612,624.55,612,615.05,788100,615.05
2016-07-06,615.05,615.05,615.05,615.05,0,615.05
2016-07-07,618.8,619.05,602.15,605.1,432100,605.1
2016-07-08,606,609.95,591.35,592.85,783900,592.85
2016-07-11,596,603.4,586,590.45,953700,590.45
2016-07-12,592,592,572.5,578.45,977900,578.45
2016-07-13,579,587.5,572,579.05,875100,579.05
2016-07-14,580,583,570,572.9,575100,572.9
2016-07-15,574,579.9,550,553.4,915500,553.4
2016-07-18,554,573.6,550,560.9,1242600,560.9
2016-07-19,564,567.95,551,553.85,724600,553.85
2016-07-20,554,554,545.05,549.95,656900,549.95
2016-07-21,551,572.75,550,558.5,1167000,558.5
2016-07-22,564.2,566,553,554.65,589100,554.65
2016-07-25,556,562.75,551.8,553.15,525500,553.15
2016-07-26,555.8,556.7,530,533.05,838100,533.05
