"Date","TATASTEEL.NS.Open","TATASTEEL.NS.High","TATASTEEL.NS.Low","TATASTEEL.NS.Close","TATASTEEL.NS.Volume","TATASTEEL.NS.Adjusted"
2016-05-17,328.8,331.15,324.4,327.15,4879700,319.9411
2016-05-18,325.7,330.2,323.15,329.05,3759500,321.7992
2016-05-19,326.5,337.4,325,326.25,6510700,319.0609
2016-05-20,326.2,327.1,321.1,322.65,4611000,315.5402
2016-05-23,324.7,325.75,312.5,313.55,6397200,306.6407
2016-05-24,313.45,318.45,311.25,317.7,5022800,310.6993
2016-05-25,320,326.5,318.15,324.6,5523800,317.4473
2016-05-26,320,329.35,320,325.2,12892400,318.0341
2016-05-27,326,332,324.55,329.6,4404400,322.3371
2016-05-30,332.05,334.6,321.45,322.35,6618000,315.2468
2016-05-31,324.5,337.5,320.25,334.35,10042000,326.9824
2016-06-01,335.9,339.6,329.4,332.15,6483000,324.8309
2016-06-02,332,341.9,330.35,340.65,5572900,333.1436
2016-06-03,344,348.3,336.4,338.55,8832300,331.0899
2016-06-06,335,340.7,332.15,337.85,4969700,330.4053
2016-06-07,339.55,343.85,337.05,342.6,3898600,335.0506
2016-06-08,343.25,346.45,338.5,341.5,4466600,333.9749
2016-06-09,340,346.7,340,342.05,5935900,334.5127
2016-06-10,342,344.5,333.5,334.4,5506400,327.0313
2016-06-13,328.3,329.95,321,323.1,6576600,315.9803
2016-06-14,325,327.45,321.3,324.95,4008500,317.7896
2016-06-15,326.1,331.5,323.8,330.25,4134100,322.9728
2016-06-16,329.5,333.5,324.1,330.5,6490900,323.2173
2016-06-17,333,333.5,323.8,325.45,5702800,318.2785
2016-06-20,324.4,336.95,322.8,336.25,6200700,328.8405
2016-06-21,336,337.7,332.75,334.05,3490900,326.689
2016-06-22,334,334,327.05,332.45,4627000,325.1243
2016-06-23,331.5,335.95,327.6,333.95,4684400,326.5912
2016-06-24,307.1,316.4,296.3,312.65,14410700,305.7606
2016-06-27,309.75,312.55,307.5,310.5,6579000,303.658
2016-06-28,311.45,314.4,307,311.5,7926000,304.6359
2016-06-29,314,317,312.6,313.6,5616000,306.6897
2016-06-30,315.7,324.25,315.2,321.95,6392200,314.8557
2016-07-01,326.5,330.9,326.4,328.1,4994200,320.8701
2016-07-04,328.7,333.9,327.95,331.25,3232700,323.9507
2016-07-05,332.5,337.4,330.25,333.65,3943300,326.2978
2016-07-06,333.65,333.65,333.65,333.65,0,326.2978
2016-07-07,334.2,337.25,316.3,317.7,10126700,310.6993
2016-07-08,314.95,319.4,312.1,318.35,7764400,311.335
2016-07-11,325,329.7,319.65,327,7692400,319.7944
2016-07-12,329.95,343.85,329,342.3,9886500,334.7572
2016-07-13,344.7,358.65,344.3,357.75,13345800,349.8668
2016-07-14,358.8,361.35,353.35,359.3,7970800,351.3826
2016-07-15,359.3,374.4,356.75,372.9,13431100,364.6829
2016-07-18,373.45,379.4,363.5,365.65,7697400,357.5927
2016-07-19,367.95,371.65,362.35,370.25,8246000,362.0913
2016-07-20,372.2,373,366.4,368.45,5907200,360.331
2016-07-21,370,370,361.1,362.3,5343300,354.3165
2016-07-22,362.3,368.9,356.45,365.45,7372900,357.3971
2016-07-25,365,367.8,362.15,363.65,5676400,355.6368
2016-07-26,363.9,375,363.05,367.8,7798700,359.6953
2016-07-27,368.9,370.5,354.1,363.05,10359000,355.05
2016-07-28,358,359.2,348.65,349.85,10526700,349.85
2016-07-29,351.05,359,351.05,355.05,8349200,355.05
2016-08-01,356.15,366.6,354.25,364.85,10082300,364.85
2016-08-02,366.45,370.7,360.1,361.85,8108000,361.85
2016-08-03,364.65,366.45,354.9,358.05,5746700,358.05
2016-08-04,360.4,374.9,357.4,373.8,9639300,373.8
2016-08-05,378,383,376.5,381.7,9117800,381.7
2016-08-08,382.4,384.5,376.25,379.55,6662400,379.55
2016-08-09,379,382.45,373.6,375.35,5618500,375.35
2016-08-10,377.9,379.4,368.15,370.3,4594000,370.3
2016-08-11,370.3,373.6,361.5,368.35,4419500,368.35
2016-08-12,370,378.35,369.35,374.75,4411000,374.75
2016-08-15,374.75,374.75,374.75,374.75,0,374.75
2016-08-16,375,381,373.05,379.15,6104100,379.15
2016-08-17,379.95,392.95,379.95,391.85,9353100,391.85
2016-08-18,392.5,393.9,385.1,387.2,5920300,387.2
2016-08-19,389.15,394.65,383.5,392.15,8947200,392.15
2016-08-22,391.5,391.5,384.5,388.15,5563400,388.15
2016-08-23,387.95,391,378.15,385.15,6720800,385.15
2016-08-24,385.6,387.3,378.75,379.95,4261800,379.95
2016-08-25,381.7,382.3,370.5,372.3,4773600,372.3
2016-08-26,375,375.95,367.3,369.45,4311700,369.45
2016-08-29,368.9,375.45,367.75,373.75,3718200,373.75
2016-08-30,375.35,379.5,375,377.75,3804400,377.75
2016-08-31,378,381.35,368.8,370.1,4530300,370.1
2016-09-01,371.3,377.7,369.5,374.6,4453400,374.6
2016-09-02,375.95,376.2,370.4,374.2,2824200,374.2
2016-09-05,374.2,374.2,374.2,374.2,0,374.2
2016-09-06,375,386.75,374.4,385.75,5828500,385.75
2016-09-07,387.1,394.15,386.6,389.95,6965000,389.95
2016-09-08,390.25,408.6,390.25,403,11234700,403
2016-09-09,404.9,406.9,393.25,394.6,5962800,394.6
2016-09-12,385,385.9,370.6,373.3,6717300,373.3
2016-09-13,373.3,373.3,373.3,373.3,0,373.3
2016-09-14,370,378,363.15,373.9,11105300,373.9
2016-09-15,374,375.1,363.75,366.4,4875000,366.4
2016-09-16,369.5,371.9,357.6,358.85,6075700,358.85
2016-09-19,360,363.95,355.3,361.65,5121600,361.65
2016-09-20,364.3,370,359.25,365.6,5697800,365.6
2016-09-21,365.3,372.5,365.3,369.8,6868900,369.8
2016-09-22,377.7,379.8,372.8,377.25,6669400,377.25
