"Date","GODREJCP.NS.Open","GODREJCP.NS.High","GODREJCP.NS.Low","GODREJCP.NS.Close","GODREJCP.NS.Volume","GODREJCP.NS.Adjusted"
2016-04-29,1332,1349,1308.6,1321.65,282000,1315.56
2016-05-02,1321,1374.95,1318,1371.3,179600,1364.98
2016-05-03,1380,1393.1,1354,1366.35,559300,1360.05
2016-05-04,1360,1374.85,1328,1332.9,123900,1326.76
2016-05-05,1336,1342.25,1302.2,1327.6,196800,1321.48
2016-05-06,1327,1337,1315.3,1323.75,147600,1317.65
2016-05-09,1330,1371,1330,1348.75,361300,1342.53
2016-05-10,1351,1387,1351,1383.35,361600,1379.79
2016-05-11,1370,1415.95,1363.15,1395.55,265600,1391.95
2016-05-12,1390,1446.5,1390,1439.25,255000,1435.54
2016-05-13,1433,1440,1388.05,1392.4,174600,1388.81
2016-05-16,1405,1411.75,1377,1392.1,122800,1388.51
2016-05-17,1392.1,1407,1372.05,1379.2,97400,1375.65
2016-05-18,1389.8,1393,1367.55,1384.85,146800,1381.28
2016-05-19,1386,1389,1350.15,1364,81900,1360.49
2016-05-20,1374.9,1379,1357.35,1370,113900,1366.47
2016-05-23,1380,1383.35,1355.2,1361.45,105800,1357.94
2016-05-24,1360,1400,1359.95,1394.75,291800,1391.16
2016-05-25,1403,1464,1403,1457.1,524400,1453.35
2016-05-26,1465,1498,1456.5,1484.5,352700,1480.68
2016-05-27,1475,1530,1475,1526.45,253900,1522.52
2016-05-30,1527.1,1536.85,1512,1528.6,197800,1524.66
2016-05-31,1525,1526.5,1470.05,1482.65,622500,1478.83
2016-06-01,1475,1498.25,1462.9,1485.1,163700,1481.27
2016-06-02,1485.1,1550,1485,1543.2,602600,1539.22
2016-06-03,1546.9,1576,1546.8,1570.45,527900,1566.4
2016-06-06,1569,1569,1512.1,1522.75,428000,1518.83
2016-06-07,1523.3,1572.4,1510,1544.35,357700,1540.37
2016-06-08,1544,1544,1511,1530.45,274600,1526.51
2016-06-09,1539,1541.85,1513.55,1517.55,65600,1513.64
2016-06-10,1525,1539.8,1494.65,1505.6,88900,1501.72
2016-06-13,1490.15,1500,1467,1485.6,178300,1481.77
2016-06-14,1482.25,1509.85,1463.15,1487,206900,1483.17
2016-06-15,1489.95,1498.75,1470,1481.6,176900,1477.78
2016-06-16,1490,1494.15,1475,1488.9,187300,1485.06
2016-06-17,1494,1535,1486.15,1531.85,343800,1527.9
2016-06-20,1524.7,1563.5,1509.55,1552.15,174400,1548.15
2016-06-21,1554.25,1583.9,1541.2,1571.2,450800,1567.15
2016-06-22,1567,1582,1551.9,1574,108000,1569.94
2016-06-23,1574,1582,1537.8,1549.55,252300,1545.56
2016-06-24,1504.5,1530.95,1474.3,1511.5,180900,1507.61
2016-06-27,1540,1540,1511.3,1521.85,206600,1517.93
2016-06-28,1538,1538,1516.95,1528.8,90800,1524.86
2016-06-29,1545,1564.75,1521.15,1556.85,101400,1552.84
2016-06-30,1565.9,1620,1562,1607.25,407300,1603.11
2016-07-01,1614.4,1645.3,1612,1628.6,134700,1624.4
2016-07-04,1640,1654.6,1613,1638,164100,1633.78
2016-07-05,1649.8,1672,1625,1661.75,200400,1657.47
2016-07-06,1661.75,1661.75,1661.75,1661.75,0,1657.47
2016-07-07,1670,1670,1615,1631.6,210600,1627.4
2016-07-08,1639.9,1660,1624.55,1646.5,118100,1642.26
2016-07-11,1656,1670.35,1639.05,1657.15,109400,1652.88
2016-07-12,1650,1666,1611,1618,163400,1613.83
2016-07-13,1625.5,1639.3,1575.1,1598.6,321300,1594.48
2016-07-14,1599.9,1624,1576.05,1580.25,202200,1576.18
2016-07-15,1582,1606.2,1582,1599.05,184000,1594.93
2016-07-18,1610,1625,1572.6,1585.05,142900,1580.97
2016-07-19,1585,1597.3,1551.35,1582.7,224600,1578.62
2016-07-20,1585,1620,1585,1613.05,259700,1608.89
2016-07-21,1617.1,1625.2,1600.1,1611.8,294900,1607.65
2016-07-22,1625,1658,1612.05,1650.55,127300,1646.3
2016-07-25,1660,1678.5,1636,1643.1,252100,1638.87
2016-07-26,1631,1649.95,1580,1586.25,222500,1582.16
2016-07-27,1587,1622,1583.05,1617.05,156500,1612.88
2016-07-28,1620,1647,1593.35,1635.3,205400,1631.09
2016-07-29,1641.95,1689.9,1581,1590.8,312200,1586.7
2016-08-01,1601,1610,1580,1590.1,179500,1586
2016-08-02,1591.8,1612.55,1578.65,1598,172800,1593.88
2016-08-03,1610,1613,1556,1566.95,126600,1563.89
2016-08-04,1583,1601.95,1569,1585.7,94400,1582.61
2016-08-05,1595,1598.5,1582.3,1589.6,139100,1587.5
2016-08-08,1600,1600,1561.6,1568.45,135700,1566.38
2016-08-09,1570,1576.5,1522,1530,273900,1527.98
