"Date","ANDHRABANK.NS.Open","ANDHRABANK.NS.High","ANDHRABANK.NS.Low","ANDHRABANK.NS.Close","ANDHRABANK.NS.Volume","ANDHRABANK.NS.Adjusted"
2016-01-01,66.3,66.5,65.3,66.15,1603800,65.1
2016-01-04,65.9,66.05,63.6,63.8,1125300,62.78
2016-01-05,64,64.3,62.95,63.55,1286500,62.54
2016-01-06,63.5,64.3,63,63.15,912200,62.14
2016-01-07,62.7,62.7,60.6,60.85,1482800,59.88
2016-01-08,61.35,61.75,60.6,60.85,1019300,59.88
2016-01-11,60.6,61.3,59.35,60.5,1554300,59.54
2016-01-12,60.3,60.75,59,59.2,1223800,58.26
2016-01-13,59.55,59.9,56.85,57.7,1902600,56.78
2016-01-14,57,57,55.05,55.65,1637100,54.76
2016-01-15,55.75,55.95,51.9,52.6,2462500,51.76
2016-01-18,51.4,52.8,50.2,50.65,2034600,49.84
2016-01-19,51.05,52.35,50.65,51.9,1272500,51.07
2016-01-20,51.65,51.65,49.1,49.85,1843900,49.06
2016-01-21,50.45,51.65,49.7,50.85,1506300,50.04
2016-01-22,51.5,53.5,51.15,53.2,1760600,52.35
2016-01-25,53.95,54.05,52.4,52.55,1342300,51.71
2016-01-26,52.55,52.55,52.55,52.55,0,51.71
2016-01-27,53.1,53.9,52,53.25,1638800,52.4
2016-01-28,53.2,53.4,51.95,52.25,3763800,51.42
2016-01-29,52.25,52.55,50.4,52.15,1652900,51.32
2016-02-01,52.5,52.8,51.1,51.5,1385600,50.68
2016-02-02,51.8,53.35,50.55,51.1,1810600,50.29
2016-02-03,50.7,50.7,49.35,49.95,1724600,49.15
2016-02-04,50.6,51.35,49.35,49.9,1571300,49.11
2016-02-05,50.3,52.25,50.25,51.9,1635500,51.07
2016-02-08,52,54,51.95,52.6,1672000,51.76
2016-02-09,52.1,53.2,50.85,51,1521400,50.19
2016-02-10,50.3,50.95,47,47.45,3253000,46.69
2016-02-11,47,47.75,44.1,44.8,3149900,44.09
2016-02-12,45,45.3,41.8,43.35,4566600,42.66
2016-02-15,44.4,47.15,43.8,46.15,2390200,45.42
2016-02-16,46.9,47.2,44.5,44.85,1881800,44.14
2016-02-17,45,46.6,43.6,46.4,3334600,45.66
2016-02-18,46.95,47.8,46.1,47.15,2786900,46.4
2016-02-19,46.9,47.55,46.25,47.2,1644200,46.45
2016-02-22,47.25,47.8,46.8,47.45,1263900,46.69
2016-02-23,47.7,47.7,46.45,46.8,926000,46.06
2016-02-24,46.4,47.6,46.25,47.15,1442200,46.4
2016-02-25,47.6,47.6,46.7,46.95,1663100,46.2
2016-02-26,47.6,47.65,46.2,46.85,1371200,46.1
2016-02-29,47.2,48.9,45.7,46.1,2784500,45.37
2016-03-01,46.55,47.65,46.5,47.25,2082100,46.5
2016-03-02,49.4,51.4,48.5,50.25,3661400,49.45
2016-03-03,51.6,51.6,49.75,50.75,1927900,49.94
2016-03-04,51,53.4,50.15,52.9,3746400,52.06
2016-03-07,52.9,52.9,52.9,52.9,0,52.06
2016-03-08,52.8,53.6,52.25,52.9,2148300,52.06
2016-03-09,52.05,54.1,52,53.9,1427200,53.04
2016-03-10,54,54.35,52.8,53.05,1377000,52.21
2016-03-11,52.25,53.3,51.9,52.3,1625300,51.47
2016-03-14,52.7,53.2,51.55,51.85,2035500,51.02
2016-03-15,52.3,52.35,51.3,51.5,3103600,50.68
2016-03-16,51.5,51.8,50,50.95,2633500,50.14
2016-03-17,51.5,51.7,50.4,50.55,1887600,49.75
2016-03-18,50.7,51.35,50.25,51,1530500,50.19
2016-03-21,51.3,52.35,51.15,52.2,1725100,51.37
2016-03-22,52.2,52.4,51.1,51.45,1663200,50.63
2016-03-23,49.45,51.05,49.45,50.75,1793600,49.94
2016-03-24,50.75,50.75,50.75,50.75,0,49.94
2016-03-25,50.75,50.75,50.75,50.75,0,49.94
2016-03-28,51,51.05,49.65,49.85,1312600,49.06
2016-03-29,50.05,50.4,49.6,50.05,960700,49.25
2016-03-30,50.25,52.1,50.25,51.8,1562900,50.98
2016-03-31,51.8,53,51.45,52.25,3981300,51.42
2016-04-01,52.15,55.8,52.1,55.45,3853700,54.57
2016-04-04,55.7,56.65,54.45,54.95,3088200,54.08
2016-04-05,54.2,55.45,51.35,51.95,3306600,51.12
2016-04-06,52.15,52.55,51.7,52,1637200,51.17
2016-04-07,51.9,52.1,50,50.85,2032600,50.04
2016-04-08,50.6,52,50.5,51.8,1051800,50.98
2016-04-11,52,53.35,51.35,53.1,1259900,52.25
2016-04-12,53.1,53.75,52.2,52.8,1359100,51.96
2016-04-13,53.4,54.2,53.15,53.65,1616300,52.8
2016-04-14,53.65,53.65,53.65,53.65,0,52.8
2016-04-15,53.65,53.65,53.65,53.65,0,52.8
2016-04-18,53.65,54.65,52.4,53.6,1368700,52.75
2016-04-19,53.6,53.6,53.6,53.6,0,52.75
2016-04-20,53.9,55.15,53.3,54.8,1595900,53.93
