"Date","HINDPETRO.NS.Open","HINDPETRO.NS.High","HINDPETRO.NS.Low","HINDPETRO.NS.Close","HINDPETRO.NS.Volume","HINDPETRO.NS.Adjusted"
2016-02-17,695.151,710.901,679.299,708.549,3945800,208.7523
2016-02-18,711,717.951,685.2,700.299,3029800,206.3216
2016-02-19,699,699.801,660.501,665.049,4752300,195.9363
2016-02-22,668.349,680.001,655.101,676.599,3616000,199.3392
2016-02-23,678.999,678.999,638.001,643.599,3567500,189.6167
2016-02-24,647.001,662.601,641.499,653.199,5327600,192.4451
2016-02-25,656.901,656.901,635.151,641.901,9145500,189.1165
2016-02-26,654,664.299,639.999,661.35,3848900,194.8465
2016-02-29,659.001,711.351,643.401,687.951,9106100,202.6837
2016-03-01,688.5,723.999,683.001,721.299,4920800,212.5086
2016-03-02,725.001,752.901,721.95,730.749,6228700,215.2928
2016-03-03,739.599,739.599,717.6,730.551,3281800,215.2345
2016-03-04,732,751.899,726.999,748.149,3090200,220.4192
2016-03-07,748.149,748.149,748.149,748.149,0,220.4192
2016-03-08,751.899,766.8,735,751.5,4045900,221.4065
2016-03-09,744.999,753.501,732.999,740.601,2924100,218.1954
2016-03-10,741,748.5,717.999,720.099,3399300,212.1551
2016-03-11,723.999,737.55,722.4,728.55,2423000,214.6449
2016-03-14,731.901,736.851,717.849,722.85,2452500,212.9656
2016-03-15,725.001,743.301,721.149,740.4,4248500,218.1362
2016-03-16,737.901,737.901,726.399,734.049,2833100,216.265
2016-03-17,743.199,765,740.001,758.601,5800600,230.0808
2016-03-18,761.25,761.25,743.601,747.549,2605900,226.7288
2016-03-21,753.999,768.15,749.55,763.701,2793900,231.6276
2016-03-22,762.75,781.05,758.001,768.099,3916200,232.9615
2016-03-23,770.001,771.801,746.001,748.5,2725400,227.0172
2016-03-24,748.5,748.5,748.5,748.5,0,227.0172
2016-03-25,748.5,748.5,748.5,748.5,0,227.0172
2016-03-28,751.599,762.9,740.199,750.351,2573700,227.5786
2016-03-29,750.999,777.249,750.999,769.401,4238000,233.3564
2016-03-30,771.999,799.701,768,786.351,5318600,238.4973
2016-03-31,795,805.8,782.1,787.749,4876000,238.9213
2016-04-01,783.999,797.799,775.551,793.851,2331000,240.772
2016-04-04,798.9,799.899,786,790.8,1784800,239.8466
2016-04-05,800.001,814.701,791.7,798.15,4424400,242.0758
