"Date","JINDALSTEL.NS.Open","JINDALSTEL.NS.High","JINDALSTEL.NS.Low","JINDALSTEL.NS.Close","JINDALSTEL.NS.Volume","JINDALSTEL.NS.Adjusted"
2016-03-29,60.5,60.7,55.5,55.75,12955200,55.75
2016-03-30,57.35,58.5,55.6,57.7,11219100,57.7
2016-03-31,57.9,60.6,57.3,60.25,13194900,60.25
2016-04-01,59.55,65.3,59.35,63.5,18486800,63.5
2016-04-04,64.85,65.6,62.7,63.4,10798800,63.4
2016-04-05,62.95,63.2,60,60.1,9563500,60.1
2016-04-06,60.3,63,60,61.95,9190700,61.95
2016-04-07,62.3,62.8,60,60.25,7506600,60.25
2016-04-08,59.7,67.9,59.7,66.65,44145000,66.65
2016-04-11,66.5,67.25,65.1,65.85,15081000,65.85
2016-04-12,65.9,67.25,65,65.4,7970900,65.4
2016-04-13,66.2,70.15,66.15,68,19053300,68
2016-04-14,68,68,68,68,0,68
2016-04-15,68,68,68,68,0,68
2016-04-18,68.5,69.8,67.1,69.25,9367700,69.25
2016-04-19,69.25,69.25,69.25,69.25,0,69.25
2016-04-20,70.25,76.5,70.2,74.55,28069100,74.55
2016-04-21,75.5,75.7,72.5,73.35,10590600,73.35
2016-04-22,73.4,74.9,72.35,72.95,8568800,72.95
2016-04-25,72.95,73.6,70.2,72.75,10832900,72.75
2016-04-26,72.65,75.4,72.25,74.25,11950900,74.25
2016-04-27,74.35,79.25,74.3,76.8,22870700,76.8
2016-04-28,75.95,77.5,74.3,74.7,11366100,74.7
2016-04-29,74.5,74.95,67.3,69.8,32805100,69.8
2016-05-02,69.3,71.6,68.1,70.7,12695700,70.7
2016-05-03,70.7,71.95,68.55,68.95,8774300,68.95
2016-05-04,70.8,71.4,65.95,66.5,17462200,66.5
2016-05-05,65.7,68.1,65,65.95,12531000,65.95
2016-05-06,65.5,65.95,63.8,64.15,8603100,64.15
2016-05-09,65,66.35,64.15,64.95,7619700,64.95
2016-05-10,64.35,66.65,64,64.4,10236300,64.4
2016-05-11,63.7,65.1,63.05,63.6,8192000,63.6
2016-05-12,64.3,64.95,63,64,7592700,64
2016-05-13,64,64,61.5,62.35,8310400,62.35
2016-05-16,62.45,62.8,61,61.35,5505900,61.35
2016-05-17,61.9,62.1,60,60.2,6250500,60.2
