"Date","BHEL.NS.Open","BHEL.NS.High","BHEL.NS.Low","BHEL.NS.Close","BHEL.NS.Volume","BHEL.NS.Adjusted"
2016-03-18,111.75,114.2,111.2,113.4,8802900,112.217
2016-03-21,113.4,113.8,111,111.95,6184500,110.782
2016-03-22,113,117.3,112.4,116.7,14725100,115.483
2016-03-23,117.5,117.8,115.85,116.4,6089800,115.186
2016-03-24,116.4,116.4,116.4,116.4,0,115.186
2016-03-25,116.4,116.4,116.4,116.4,0,115.186
2016-03-28,117.3,117.7,112.35,113.15,4997800,111.97
2016-03-29,112.95,114.2,110.45,110.95,5273500,109.793
2016-03-30,112.4,115.85,111.3,114.85,5766500,113.652
2016-03-31,114.1,115.7,113,113.85,6793900,112.663
2016-04-01,113.8,120.7,113.35,116.45,19232200,115.235
2016-04-04,117.5,118.8,114.7,116.85,6485200,115.631
2016-04-05,116.7,117.9,112.35,112.85,6495200,111.673
2016-04-06,114.55,115.8,112.65,113.9,7010300,112.712
2016-04-07,115,121.45,112.7,119.25,37822600,118.006
2016-04-08,119,123.35,117.8,122.8,21997200,121.519
2016-04-11,123.6,128.2,123,127.45,15478200,126.121
2016-04-12,127.7,129,126.1,127.3,7586700,125.972
2016-04-13,128.2,135.45,128.2,133.65,12061100,132.256
2016-04-14,133.65,133.65,133.65,133.65,0,132.256
2016-04-15,133.65,133.65,133.65,133.65,0,132.256
2016-04-18,134.8,134.8,131.35,132.2,7049300,130.821
2016-04-19,132.2,132.2,132.2,132.2,0,130.821
2016-04-20,132.45,134.25,131.8,132.95,5417200,131.563
2016-04-21,134.45,135,127.9,128.9,8736500,127.556
2016-04-22,128.75,128.75,126.3,127.55,6782600,126.22
2016-04-25,125,127.7,124.25,125.65,5108700,124.339
2016-04-26,126,130.85,125,129.15,8074200,127.803
2016-04-27,129.65,131.3,127.1,127.75,5482300,126.418
2016-04-28,127.8,128.65,123.8,125,7587700,123.696
2016-04-29,125,126.8,123.15,125.4,4281400,124.092
2016-05-02,125,129,123.65,127.7,5083500,126.368
2016-05-03,128.5,129.7,123.9,124.45,5158500,123.152
