"Date","EXIDEIND.NS.Open","EXIDEIND.NS.High","EXIDEIND.NS.Low","EXIDEIND.NS.Close","EXIDEIND.NS.Volume","EXIDEIND.NS.Adjusted"
2015-12-17,144,145.5,142.15,145.15,615200,142.66
2015-12-18,144,146.2,143.55,145.25,661200,142.76
2015-12-21,145.25,145.95,143.3,145.55,248400,143.05
2015-12-22,144.9,146.6,143.2,144.3,230800,141.82
2015-12-23,144.35,145.6,141.85,142.95,729700,140.5
2015-12-24,143,145.9,142.25,145.1,1996000,142.61
2015-12-25,145.1,145.1,145.1,145.1,0,142.61
2015-12-28,146,147.6,145.85,146.3,464200,143.79
2015-12-29,146.4,147.3,144.75,146.5,482600,143.99
2015-12-30,146.9,147.65,146.1,147,689200,144.48
2015-12-31,148.05,148.65,145.5,146.45,558500,143.94
2016-01-01,146.9,148.5,146.45,147.45,439300,144.92
2016-01-04,146.1,147.8,143,144.75,915300,142.27
2016-01-05,144.7,145.2,142,142.35,1101500,139.91
2016-01-06,142.25,143.85,141.2,141.85,2958000,139.42
2016-01-07,141,141,137.35,139.25,1007700,136.86
2016-01-08,139.55,142.75,139.2,142.35,446200,139.91
2016-01-11,140.7,140.8,138.75,139.7,825500,137.3
2016-01-12,140.2,141.45,139.05,139.85,791800,137.45
2016-01-13,140.4,141.25,135.6,138,305500,135.63
2016-01-14,136.5,138.95,134.4,138.45,505700,136.07
2016-01-15,138.8,139.6,133.9,134.7,430000,132.39
2016-01-18,134.8,134.8,128,129.85,828500,127.62
2016-01-19,130.15,130.9,126.75,127.7,2862300,125.51
2016-01-20,129.95,129.95,124.7,125,2810000,122.86
2016-01-21,125.6,128,118.6,119.95,8016200,117.89
2016-01-22,121.25,126.9,119.5,125.05,2812600,122.9
2016-01-25,126.8,128.05,123.3,124.9,1176300,122.76
2016-01-26,124.9,124.9,124.9,124.9,0,122.76
2016-01-27,125.4,125.85,120.85,121.3,1842300,119.22
2016-01-28,121.4,121.4,117.55,118.3,3065000,116.27
2016-01-29,118,120.95,116,120.25,6915400,118.19
2016-02-01,121.25,124.5,120.15,123.25,1357300,121.14
2016-02-02,122.9,125.75,121.5,122.15,1156900,120.05
2016-02-03,120.5,121.1,116.5,119.05,891200,117.01
2016-02-04,120.1,123.25,119.35,122.1,760000,120.01
2016-02-05,122.5,125.1,122.25,124.75,583000,122.61
2016-02-08,124.4,129.25,123.1,126.85,2319900,124.67
2016-02-09,125.3,129.2,123.9,128.5,956800,126.3
2016-02-10,127.25,128.5,125,127.55,1686800,125.36
2016-02-11,126.1,128.3,124.1,126.65,2130500,124.48
2016-02-12,126.9,127.3,118.5,125.55,1154800,123.4
2016-02-15,126,130.2,125.7,129,1517000,126.79
2016-02-16,129.15,131.8,125.4,126.25,1537400,124.08
2016-02-17,125.75,127.5,121.8,124.25,1807700,122.12
2016-02-18,124.8,129.75,124.5,128.85,1273300,126.64
2016-02-19,128,128.85,126.35,126.95,645900,124.77
2016-02-22,126.7,129.4,126.7,129,926900,126.79
2016-02-23,128.9,129.75,125.5,126.3,713600,124.13
2016-02-24,126,130,124,127.95,995900,125.75
2016-02-25,128.9,133.85,124.9,126.4,3384900,124.23
2016-02-26,128.2,130.5,124.9,129.1,1473100,126.89
2016-02-29,129.7,129.9,123.55,127.85,911400,125.66
2016-03-01,128,130.5,126.6,128,736300,125.8
2016-03-02,130,133.95,129.3,131.7,1161300,129.44
2016-03-03,132.7,134.7,130.6,131.85,839300,129.59
2016-03-04,132,133.75,130.7,132.1,496300,129.83
2016-03-07,132.1,132.1,132.1,132.1,0,129.83
2016-03-08,132.25,132.3,129.6,130.6,510800,128.36
2016-03-09,130.6,134.95,130.1,132.5,1846600,130.23
2016-03-10,133.4,135,132.75,133.55,646000,131.26
2016-03-11,133.25,133.55,131.3,131.85,309900,129.59
2016-03-14,132.4,137.45,132.3,136.7,1105800,134.35
2016-03-15,137,138.05,133.1,135,1657200,132.68
2016-03-16,135,135.7,132.75,134.9,618300,132.59
2016-03-17,135.5,136.35,134.4,134.85,626400,132.54
2016-03-18,135.5,136.95,134.7,136.55,696800,134.21
2016-03-21,137.5,137.5,135,135.65,747100,133.32
2016-03-22,135.6,136.9,135.3,136.25,548100,133.91
2016-03-23,135.8,136.8,135,135.85,263900,133.52
2016-03-24,135.85,135.85,135.85,135.85,0,133.52
2016-03-25,135.85,135.85,135.85,135.85,0,133.52
2016-03-28,135.9,139.3,134.5,136.05,1372200,133.72
2016-03-29,135.2,137.25,133.5,134.55,930400,132.24
2016-03-30,135.5,138.5,135,138.2,966500,135.83
2016-03-31,137.75,142.5,136.9,139.35,1648100,136.96
2016-04-01,139.05,142,138.2,141.45,1097000,139.02
2016-04-04,141.5,142.5,140.55,141.6,557800,139.17
2016-04-05,142,142.75,133.5,134.85,1592400,132.54
2016-04-06,131,137.5,130,135.7,1372000,133.37
2016-04-07,134.85,135.8,133.9,134.5,380100,132.19
2016-04-08,135.35,135.6,133.8,134.2,265300,131.9
2016-04-11,134.4,134.9,133.1,134.45,635900,132.14
2016-04-12,134.9,136.45,134,135.45,345100,133.13
2016-04-13,138,138.75,133.7,134.35,5250000,132.05
2016-04-14,134.35,134.35,134.35,134.35,0,132.05
