"Date","RELINFRA.NS.Open","RELINFRA.NS.High","RELINFRA.NS.Low","RELINFRA.NS.Close","RELINFRA.NS.Volume","RELINFRA.NS.Adjusted"
2016-03-02,434.2,445.8,431.75,437.05,3880500,430.86
2016-03-03,442.4,463.5,439.9,460.85,5313100,454.32
2016-03-04,464.95,472.9,457.65,470.9,4509600,464.23
2016-03-07,470.9,470.9,470.9,470.9,0,464.23
2016-03-08,467.95,489.65,466.55,483.65,4605500,476.8
2016-03-09,478,523.5,476.55,515.4,7393400,508.1
2016-03-10,519,524.65,504.2,506.85,5160400,499.67
2016-03-11,506.7,519.75,501.55,504.55,4167800,497.4
2016-03-14,509,512.7,497.3,500.7,2997800,493.61
2016-03-15,498,508.4,497.65,500.65,2734200,493.56
2016-03-16,499.5,503.2,482.4,497.05,3644100,490.01
2016-03-17,507.9,520.6,507,511.45,5019800,504.2
2016-03-18,513,515.4,504.2,510.25,2688800,503.02
2016-03-21,512,515.7,505.5,511.85,2384200,504.6
2016-03-22,513.5,538,509.75,535.95,6230300,528.36
2016-03-23,537.8,544.75,533.35,536.6,3507900,529
2016-03-24,536.6,536.6,536.6,536.6,0,529
2016-03-25,536.6,536.6,536.6,536.6,0,529
2016-03-28,535,536.95,518.7,522.6,2267300,515.2
2016-03-29,522.1,532,518.45,520.9,2725700,513.52
2016-03-30,527.15,538,524.5,534.35,2351100,526.78
2016-03-31,533.7,541.6,527.55,533.6,2748500,526.04
2016-04-01,530.8,557.55,530,555.9,3662600,548.02
2016-04-04,558,564.5,549.4,554.25,2993800,546.4
2016-04-05,551.35,552.8,533.25,535.55,2807700,527.96
2016-04-06,531,546.65,530,544.5,2322200,536.79
2016-04-07,546.1,548.9,534.05,536.4,2368200,528.8
2016-04-08,536,546.2,532.6,540.8,2293000,533.14
2016-04-11,542.1,582.8,542.1,576.85,5765400,568.68
2016-04-12,578.15,584.85,570.45,574.35,3503700,566.21
2016-04-13,579.35,581.9,571.65,573.15,2530400,565.03
2016-04-14,573.15,573.15,573.15,573.15,0,565.03
2016-04-15,573.15,573.15,573.15,573.15,0,565.03
2016-04-18,572.7,574.45,556,561.75,2366500,553.79
2016-04-19,561.75,561.75,561.75,561.75,0,553.79
2016-04-20,563.95,570.85,558.05,562.85,3324500,554.88
2016-04-21,565.4,568.95,542.15,550.2,3755900,542.41
2016-04-22,550.2,560.75,546.75,554,3128000,546.15
2016-04-25,555.95,563.7,542,546.35,3187000,538.61
2016-04-26,545.5,556.2,544.6,553,1735500,545.17
2016-04-27,555.95,560.95,548,550.1,1637800,542.31
2016-04-28,549.7,555.7,534.4,535.9,2480700,528.31
2016-04-29,536.55,541.3,522.6,538.55,2302900,530.92
2016-05-02,539,547.8,535,542.4,2381900,534.72
2016-05-03,545.65,555.4,533,535.85,2851600,528.26
2016-05-04,536.9,538.9,515.1,516.8,2519700,509.48
2016-05-05,517.85,525,510.65,520,2773500,512.63
2016-05-06,518.95,521.8,513.2,520.5,1966200,513.13
2016-05-09,524.5,545,523,543.2,3189800,535.5
2016-05-10,544.95,551.25,535.65,548.35,3166700,540.58
2016-05-11,541.35,551.85,537.1,540.6,2685600,532.94
2016-05-12,543.5,544.5,533.65,538.3,2909500,530.67
2016-05-13,536,537.85,507.15,510.8,4120100,503.56
2016-05-16,512,515,498.75,512.95,3484500,505.68
2016-05-17,515,518.95,508.4,510.55,2288300,503.32
2016-05-18,506.55,515.05,502.1,513.65,2022000,506.37
2016-05-19,512.3,518,501,502.35,1870300,495.23
2016-05-20,504.7,511,500.3,504.95,1995600,497.8
2016-05-23,508.25,510.9,500.5,504.1,1739800,496.96
2016-05-24,504.45,509.1,490.1,498.3,2625700,491.24
2016-05-25,503,514.9,502.5,513.7,1889000,506.42
2016-05-26,517,518.65,508.8,516.65,2339500,509.33
2016-05-27,518.4,553.5,518.1,541.7,4833200,534.03
