"Date","JPASSOCIAT.NS.Open","JPASSOCIAT.NS.High","JPASSOCIAT.NS.Low","JPASSOCIAT.NS.Close","JPASSOCIAT.NS.Volume","JPASSOCIAT.NS.Adjusted"
2016-07-05,10,12.4,9.8,11.6,407182700,11.6
2016-07-06,11.6,11.6,11.6,11.6,0,11.6
2016-07-07,11.9,12.55,11.85,12.05,242311200,12.05
2016-07-08,12.05,12.1,11.2,11.35,104062900,11.35
2016-07-11,11.55,11.75,10.75,10.95,72935500,10.95
2016-07-12,10.9,11.4,10.35,11.15,126488500,11.15
2016-07-13,11.2,11.6,11,11.2,98349200,11.2
2016-07-14,11.3,11.6,11.25,11.4,51676900,11.4
2016-07-15,11.5,11.8,11.05,11.1,67967400,11.1
2016-07-18,11.25,11.5,10.85,11,49795500,11
2016-07-19,11.25,11.75,11.2,11.65,93939700,11.65
2016-07-20,11.8,12.2,11.55,12,64184600,12
2016-07-21,12.25,13.5,12.15,12.45,210520000,12.45
2016-07-22,12.3,12.8,12.15,12.55,55991600,12.55
2016-07-25,12.6,12.8,12.4,12.45,29247200,12.45
2016-07-26,12.45,12.5,11.95,12.1,49261300,12.1
2016-07-27,12.2,12.85,12.1,12.6,46007400,12.6
2016-07-28,12.9,13.4,12.8,13.3,103646400,13.3
2016-07-29,13.25,13.3,12,12.1,111576700,12.1
2016-08-01,12.25,12.55,11.7,12,86237600,12
2016-08-02,11.95,12.4,11.75,11.9,62850500,11.9
2016-08-03,11.9,12.3,11.75,11.85,51809800,11.85
2016-08-04,12.2,12.25,11.9,12,38233200,12
2016-08-05,12.1,12.35,12.05,12.2,36306500,12.2
2016-08-08,12.35,12.4,12.1,12.25,16836400,12.25
2016-08-09,12.25,12.25,11.55,11.75,54905900,11.75
2016-08-10,11.75,11.75,11,11.1,39984300,11.1
2016-08-11,11.1,12,10.9,11.75,69108400,11.75
2016-08-12,11.8,12,11.2,11.3,28359800,11.3
2016-08-15,11.3,11.3,11.3,11.3,0,11.3
2016-08-16,11.25,11.3,10.5,11,46905400,11
2016-08-17,10.9,11.1,10.4,10.55,43848800,10.55
2016-08-18,10.7,11.05,10.55,10.9,31985600,10.9
2016-08-19,11.05,11.4,10.95,11.15,33473000,11.15
2016-08-22,11.1,11.25,10.85,11,20936200,11
2016-08-23,11.05,11.75,10.9,11.55,39618800,11.55
2016-08-24,11.65,11.75,11.5,11.6,18870800,11.6
2016-08-25,11.65,11.95,11.6,11.65,41479300,11.65
2016-08-26,11.75,11.85,11.2,11.25,40945800,11.25
2016-08-29,11.25,11.3,10.45,11.15,23025700,11.15
2016-08-30,11.3,11.4,11.2,11.25,9264800,11.25
2016-08-31,11.25,11.9,11.25,11.65,50541300,11.65
2016-09-01,11.45,11.5,11.05,11.2,35321700,11.2
2016-09-02,11.2,11.35,11.05,11.3,15305200,11.3
2016-09-05,11.3,11.3,11.3,11.3,0,11.3
2016-09-06,11.45,11.6,11.35,11.5,11191100,11.5
2016-09-07,11.5,12.2,11.05,11.95,60654400,11.95
2016-09-08,12.05,12.8,12.05,12.3,50803100,12.3
