"Date","ASHOKLEY.NS.Open","ASHOKLEY.NS.High","ASHOKLEY.NS.Low","ASHOKLEY.NS.Close","ASHOKLEY.NS.Volume","ASHOKLEY.NS.Adjusted"
2016-03-04,94.85,94.85,92.85,93.55,6650600,92.601
2016-03-07,93.55,93.55,93.55,93.55,0,92.601
2016-03-08,93.85,93.95,90.95,91.95,10204400,91.017
2016-03-09,91.2,97.45,90.9,97.15,20873300,96.164
2016-03-10,97.6,98,95.3,96.55,16263700,95.57
2016-03-11,96.05,98.5,95.75,97.1,15493500,96.114
2016-03-14,97.9,98.15,96.55,97.2,8370800,96.213
2016-03-15,97.45,97.65,95,95.95,7163000,94.976
2016-03-16,96,96.95,94.2,96.25,7989000,95.273
2016-03-17,97,97.85,94.8,95.25,7773600,94.283
2016-03-18,96,97.9,95,97.3,8703700,96.312
2016-03-21,97.5,103.45,97.45,103.05,29375100,102.004
2016-03-22,103.95,104.75,102.05,103.5,19537900,102.45
2016-03-23,103.95,106.4,103.1,106,16253800,104.924
2016-03-24,106,106,106,106,0,104.924
2016-03-25,106,106,106,106,0,104.924
2016-03-28,106.55,107.35,103.35,104.75,14057300,103.687
2016-03-29,105.4,108.15,104.7,106.65,15694700,105.568
2016-03-30,108,108.65,107.15,108.05,9151800,106.953
2016-03-31,108.95,109.4,106.95,108.6,15686300,107.498
2016-04-01,108.4,110.85,107.8,110.25,11800600,109.131
2016-04-04,111,111,109.4,110.1,6908200,108.983
2016-04-05,109,110.5,108.05,108.75,9662100,107.646
2016-04-06,109,109.3,106.1,107.55,10307900,106.458
2016-04-07,107.55,108.85,106.2,106.95,6203100,105.864
2016-04-08,106.35,107.6,106.35,107.05,6460100,105.963
2016-04-11,107.9,110.25,106.7,109.75,10123400,108.636
2016-04-12,110.65,112.8,110.05,111.35,14630400,110.22
2016-04-13,112.5,112.9,110,110.35,19080900,109.23
2016-04-14,110.35,110.35,110.35,110.35,0,109.23
2016-04-15,110.35,110.35,110.35,110.35,0,109.23
2016-04-18,109.25,111.2,108.3,109.3,7797900,108.191
2016-04-19,109.3,109.3,109.3,109.3,0,108.191
2016-04-20,109.2,110.05,107,108.15,9870200,107.052
2016-04-21,108.5,108.95,105.8,106.55,11429300,105.469
2016-04-22,106.55,106.7,104.9,105.35,9210300,104.281
