"Date","HDFCBANK.NS.Open","HDFCBANK.NS.High","HDFCBANK.NS.Low","HDFCBANK.NS.Close","HDFCBANK.NS.Volume","HDFCBANK.NS.Adjusted"
2016-05-16,1145,1165.9,1132.55,1162.8,1129600,1153.33
2016-05-17,1165.05,1169.25,1151.3,1153.45,1073800,1144.06
2016-05-18,1151,1151,1131.5,1140.65,1040600,1131.36
2016-05-19,1140.1,1142.7,1132,1139.3,963900,1130.03
2016-05-20,1139.95,1148.5,1133.6,1140.9,504100,1131.61
2016-05-23,1141.95,1149.95,1133.2,1136.75,865800,1127.5
2016-05-24,1138.4,1143.65,1135.55,1139.95,814800,1130.67
2016-05-25,1146.3,1175.95,1146.3,1173.3,1441800,1163.75
2016-05-26,1176.1,1188.9,1166.25,1183.25,3426300,1173.62
2016-05-27,1183.25,1190,1176.7,1186.8,1443700,1177.14
2016-05-30,1187,1195,1178.1,1179.75,953600,1170.15
2016-05-31,1185.9,1185.9,1177.4,1181.9,1378900,1172.28
2016-06-01,1182.95,1182.95,1171,1175.15,1418900,1165.58
2016-06-02,1174.7,1180.6,1171,1174.95,1977600,1165.38
2016-06-03,1180.1,1185,1169.05,1171.75,1131100,1162.21
2016-06-06,1176,1182.4,1170.05,1171.1,1386800,1161.57
2016-06-07,1176.95,1180,1167.65,1173.7,1407100,1164.15
2016-06-08,1175.8,1178,1161,1162.6,1185700,1153.14
2016-06-09,1162.5,1164.2,1152.5,1159.4,1162000,1149.96
2016-06-10,1158.4,1172.7,1156.2,1161.35,1580500,1151.9
2016-06-13,1154.75,1164.95,1151.05,1152.9,830800,1143.51
2016-06-14,1155,1157,1144.25,1151.85,957100,1142.47
2016-06-15,1155,1170.9,1153.2,1169.55,761400,1160.03
2016-06-16,1166.55,1168.85,1155.35,1162.15,1181900,1152.69
2016-06-17,1167,1178,1165.55,1170,940400,1160.48
2016-06-20,1159,1179.25,1158.8,1172.05,685600,1162.51
2016-06-21,1175,1175.45,1161.2,1166.65,667700,1157.15
2016-06-22,1166,1175,1166,1171.5,950900,1161.96
2016-06-23,1169.8,1191.85,1167.5,1190.1,981600,1180.41
2016-06-24,1159.85,1171.9,1147,1161.9,2793400,1152.44
2016-06-27,1162,1169,1153.05,1159.95,1040900,1150.51
2016-06-28,1161.25,1173.1,1150,1166.95,1008700,1157.45
2016-06-29,1165,1169.5,1159.7,1168.3,1355100,1168.3
2016-06-30,1171,1180,1162.15,1176.45,4069700,1176.45
2016-07-01,1180,1185,1171.8,1174.5,1076200,1174.5
2016-07-04,1178.2,1179.5,1171.4,1172.8,1812400,1172.8
2016-07-05,1172.8,1174.3,1162,1165.6,534000,1165.6
2016-07-06,1165.6,1165.6,1165.6,1165.6,0,1165.6
2016-07-07,1167.9,1188.75,1160.9,1185.65,1208100,1185.65
2016-07-08,1185.1,1185.6,1171.25,1174.85,779700,1174.85
2016-07-11,1186,1201.9,1181.05,1199.75,1275600,1199.75
2016-07-12,1209.9,1209.9,1195.55,1202.15,1761500,1202.15
2016-07-13,1199.8,1201.95,1193.3,1197.75,1671700,1197.75
2016-07-14,1201,1202.15,1192.2,1200.35,864900,1200.35
2016-07-15,1203.8,1226,1195.1,1223.7,1443500,1223.7
2016-07-18,1225,1238.5,1222.65,1227.45,1109600,1227.45
2016-07-19,1229,1230.75,1213.85,1218.35,646500,1218.35
2016-07-20,1223,1238.5,1221.75,1232.2,1172500,1232.2
2016-07-21,1230.7,1239.9,1222.5,1228.6,2278200,1228.6
2016-07-22,1233.35,1234.65,1221.5,1230.8,1405000,1230.8
2016-07-25,1233,1249.45,1227,1246.95,2468200,1246.95
2016-07-26,1242.4,1245.65,1235.15,1238.8,1416400,1238.8
2016-07-27,1241,1247.55,1230,1236.95,2683600,1236.95
