"Date","PETRONET.NS.Open","PETRONET.NS.High","PETRONET.NS.Low","PETRONET.NS.Close","PETRONET.NS.Volume","PETRONET.NS.Adjusted"
2015-12-03,237.2,242.95,234.65,241.55,2269800,239.82
2015-12-04,240,247.3,238.6,244.35,2064600,242.6
2015-12-07,247,247.3,242.6,244.95,2025000,243.2
2015-12-08,244.2,244.2,239.6,240.75,1051300,239.03
2015-12-09,239,243.85,239,242.45,1056400,240.72
2015-12-10,243.65,244.95,239.75,243.9,1764900,242.16
2015-12-11,245,245.4,241.15,243,1307500,241.26
2015-12-14,244.8,245.65,241.6,242.6,898400,240.87
2015-12-15,242.65,243.55,237.5,239.1,749400,237.39
2015-12-16,240.2,245.2,238.8,241.2,1994000,239.48
2015-12-17,242.05,244,240.1,243.35,1237000,241.61
2015-12-18,243.8,245,242,243.3,1918900,241.56
2015-12-21,243.35,244.75,239.7,241.4,979300,239.67
2015-12-22,243.7,243.7,238.75,241,982900,239.28
2015-12-23,242.5,243,239.6,240.05,1166900,238.33
2015-12-24,240.6,241.6,237.5,240.45,774700,238.73
2015-12-25,240.45,240.45,240.45,240.45,0,238.73
2015-12-28,238.55,242.75,238.55,242.25,747500,240.52
2015-12-29,243,250.9,241.5,248.15,2296100,246.38
2015-12-30,249.2,249.45,245.95,247.65,1905700,245.88
2015-12-31,248,257.6,246.7,255.95,7585200,254.12
2016-01-01,256.75,261.9,256.05,259,2341900,257.15
2016-01-04,258,258.5,249,249.6,1957500,247.82
2016-01-05,256.25,261.6,251.7,259.8,4009000,257.94
2016-01-06,262.15,272.7,261,268.2,6413500,266.28
2016-01-07,265,272.05,257.65,263.05,5082800,261.17
2016-01-08,264.85,269.7,263.35,264.05,1705500,262.16
2016-01-11,257.35,265,257.35,261.85,2002300,259.98
2016-01-12,265,265,255.8,257.15,2003700,255.31
2016-01-13,257.9,263.35,249,259.75,1980600,257.89
2016-01-14,257,261,253.85,256.6,1382800,254.77
2016-01-15,256.6,258.75,250.6,252.5,733400,250.69
2016-01-18,254,255.4,246.65,248.55,1255300,246.77
2016-01-19,247.05,251.55,243.5,248.15,1148000,246.38
2016-01-20,246,247,239.75,242.1,1280300,240.37
2016-01-21,242.7,246.2,240.1,241.9,2032100,240.17
2016-01-22,241,252.9,241,251.2,2816200,249.4
2016-01-25,254.15,255.75,250.25,251.1,2244100,249.3
2016-01-26,251.1,251.1,251.1,251.1,0,249.3
