"Date","STAR.NS.Open","STAR.NS.High","STAR.NS.Low","STAR.NS.Close","STAR.NS.Volume","STAR.NS.Adjusted"
2016-01-11,1215,1224.95,1202.6,1208.75,168600,1204.64
2016-01-12,1211,1220.4,1185.3,1195,217200,1190.94
2016-01-13,1211.5,1218,1132.75,1178.35,281000,1174.35
2016-01-14,1145.05,1172,1140.6,1145.6,335000,1141.71
2016-01-15,1156.5,1156.5,1050,1062.55,637500,1058.94
2016-01-18,1064,1084.7,963.55,1019.1,578100,1015.64
2016-01-19,1030,1060,986.8,1049.8,1252900,1046.23
2016-01-20,1029,1069.5,1001.15,1057.5,617100,1053.91
2016-01-21,1060,1099,1055,1086.2,482600,1082.51
2016-01-22,1100,1148,1090.2,1134.85,458200,1130.99
2016-01-25,1149,1166.85,1136.55,1156.2,369100,1152.27
2016-01-26,1156.2,1156.2,1156.2,1156.2,0,1152.27
2016-01-27,1162,1179,1151.2,1170.55,365800,1166.57
2016-01-28,1171.85,1179.25,1140.1,1147.45,263100,1143.55
2016-01-29,1141.2,1184.3,1110,1167.9,405600,1163.93
2016-02-01,1168,1184,1147.95,1153.65,158900,1149.73
2016-02-02,1154.9,1158,1102.25,1106.6,219600,1102.84
2016-02-03,1087.15,1123,1082,1099.65,220700,1095.91
2016-02-04,1119,1119,1022.8,1065.6,649400,1061.98
2016-02-05,1070,1119.05,1040.55,1108,248400,1104.23
2016-02-08,1108.05,1138.8,1056,1106.8,816500,1103.04
2016-02-09,1095,1098.95,1016,1029.1,817400,1025.6
2016-02-10,1029,1062,1008,1045,763200,1041.45
2016-02-11,1040,1056.65,997,1006.05,449600,1002.63
2016-02-12,1009.2,1011.85,916,963.85,698000,960.57
2016-02-15,989,1027,947.1,961.7,474300,958.43
2016-02-16,959,960,865.55,879.65,1927300,876.66
2016-02-17,884.1,894.9,850,881.8,1638400,878.8
2016-02-18,896.9,953.9,895,923.4,710900,920.26
2016-02-19,918,941.8,900,935.65,531900,932.47
2016-02-22,945,962.9,940.3,948.2,303000,944.98
2016-02-23,949,953.95,915.2,935.2,464500,932.02
2016-02-24,935.2,935.2,885.6,912.45,627100,909.35
2016-02-25,917,932.8,882,885.3,406900,882.29
2016-02-26,895,907.75,871,874.45,410400,871.48
2016-02-29,874.45,892,847,879.55,458600,876.56
2016-03-01,884.95,942,870.3,932.05,639800,928.88
2016-03-02,940.45,1047.2,937,1033.2,1984300,1029.69
2016-03-03,1038,1050,1019,1031.05,601300,1027.55
2016-03-04,1035.05,1058,1015.1,1032.55,511300,1029.04
2016-03-07,1032.55,1032.55,1032.55,1032.55,0,1029.04
2016-03-08,1038,1135.8,1035.5,1056,1015800,1052.41
2016-03-09,1049,1079,1031.1,1068.8,413200,1065.17
2016-03-10,1068,1078,1024.3,1029.9,463000,1026.4
2016-03-11,1036.8,1071,1031.25,1067.6,438800,1063.97
2016-03-14,1071,1079.2,1055,1065.15,240900,1061.53
2016-03-15,1067.3,1070,1033,1042.15,326100,1038.61
2016-03-16,1044.95,1065.85,1003,1057.15,474900,1053.56
2016-03-17,1076,1076,1022.5,1029.25,389000,1025.75
2016-03-18,1029.25,1043.3,1006.9,1028.6,329400,1025.1
2016-03-21,1029,1033.4,1013.45,1021.45,404000,1017.98
2016-03-22,1020,1034.35,1012.05,1025.9,437000,1022.41
2016-03-23,1020,1068,1020,1056.4,547000,1052.81
2016-03-24,1056.4,1056.4,1056.4,1056.4,0,1052.81
2016-03-25,1056.4,1056.4,1056.4,1056.4,0,1052.81
2016-03-28,1062.8,1062.8,1036,1047.1,293700,1043.54
2016-03-29,1041,1048.35,992.6,1026.95,666900,1023.46
2016-03-30,1040.05,1055,1032.95,1045.25,360700,1041.7
2016-03-31,1045.95,1108,1040.05,1084.05,1387100,1080.37
2016-04-01,1084.95,1084.95,1052.45,1063.05,263200,1059.44
2016-04-04,1067,1079,1033.35,1043.45,282600,1039.9
2016-04-05,1054,1147.75,1021.25,1027.2,426700,1023.71
2016-04-06,1025,1035,1010,1026.95,283300,1023.46
2016-04-07,1033.95,1046.1,1018.35,1024.5,320300,1021.02
2016-04-08,1034,1048.5,1023.05,1027.95,316100,1024.46
2016-04-11,1024,1036.9,1011,1032.45,213200,1028.94
2016-04-12,1032.45,1063.9,1032.45,1057.3,399600,1053.71
2016-04-13,1062,1114,1061.6,1101.55,611600,1097.81
2016-04-14,1101.55,1101.55,1101.55,1101.55,0,1097.81
2016-04-15,1101.55,1101.55,1101.55,1101.55,0,1097.81
2016-04-18,1101.05,1140,1081.3,1132.15,478200,1128.3
2016-04-19,1132.15,1132.15,1132.15,1132.15,0,1128.3
2016-04-20,1133,1151,1115.7,1124,270700,1120.18
2016-04-21,1131,1153,1113,1117.95,325300,1114.15
2016-04-22,1121,1135,1117,1123.8,167700,1119.98
2016-04-25,1125,1133.95,1091.05,1100.1,229100,1096.36
2016-04-26,1089,1126.85,1077.55,1119.15,364000,1115.35
2016-04-27,1120,1133,1097.4,1103.9,370600,1100.15
2016-04-28,1103,1111,1078.55,1082.3,459200,1078.62
2016-04-29,1081,1093.75,1071.2,1081,203500,1077.33
2016-05-02,1069,1113,1069,1107.45,191800,1103.69
2016-05-03,1111.1,1143.45,1111.1,1122.7,373200,1118.88
2016-05-04,1117,1138.75,1104,1107.65,272300,1103.89
2016-05-05,1107.85,1123,1093.4,1100.95,157100,1097.21
2016-05-06,1096.8,1115,1075,1100.65,176300,1096.91
2016-05-09,1111.65,1136.95,1105.6,1125.6,281300,1121.77
2016-05-10,1125.1,1152,1120.45,1134.3,267400,1130.45
2016-05-11,1125,1160,1111.1,1148.25,311900,1144.35
2016-05-12,1119,1169.5,1113,1166.7,374400,1162.73
2016-05-13,1155,1197.15,1148,1190.5,239700,1186.45
2016-05-16,1192,1216.35,1170.1,1191.5,598300,1187.45
2016-05-17,1208,1208,1156.25,1162.95,430600,1159
2016-05-18,1160,1160,1130,1136.05,408100,1132.19
2016-05-19,1130.05,1146.95,1105.1,1114.35,332900,1110.56
2016-05-20,1106.05,1116,1072.35,1077.2,250900,1073.54
2016-05-23,1086,1115.9,1042,1054,455700,1050.42
2016-05-24,1052,1054,998.05,1030.05,623100,1026.55
2016-05-25,1045,1048.4,1020.55,1041.85,336700,1038.31
2016-05-26,1042,1118.95,1031.2,1112.15,637000,1108.37
2016-05-27,1112.15,1141.75,1109,1120.85,322300,1117.04
2016-05-30,1128.5,1130,1100.1,1116.2,149600,1112.41
2016-05-31,1111,1125.9,1096,1111.65,213900,1107.87
2016-06-01,1118,1135,1104,1110.75,250900,1106.98
2016-06-02,1112,1126.7,1099.25,1120.6,130400,1116.79
2016-06-03,1127.8,1127.8,1102,1108.6,145900,1104.83
2016-06-06,1108.9,1128.45,1093.3,1120.7,240300,1116.89
2016-06-07,1114,1167.8,1108.55,1128.95,440400,1125.11
2016-06-08,1133,1140,1121,1131.15,154100,1127.31
2016-06-09,1130,1134.8,1111.55,1118.2,186400,1114.4
2016-06-10,1120,1134,1104.75,1110.35,226800,1106.58
2016-06-13,1108.95,1116.8,1094.1,1109.85,192800,1106.08
2016-06-14,1116.8,1125,1105.65,1121.65,141400,1117.84
2016-06-15,1121,1139.7,1111.2,1123,291000,1119.18
2016-06-16,1113.2,1121.15,1095,1099.05,334000,1095.31
2016-06-17,1099.05,1110.65,1088.05,1097.45,167600,1093.72
2016-06-20,1086,1104.55,1076.55,1091.35,186600,1087.64
2016-06-21,1099,1099,1083.7,1087.9,90400,1084.2
2016-06-22,1085.15,1088.25,1056.6,1063.05,276800,1059.44
2016-06-23,1067,1074,1053.3,1066.1,274700,1062.48
2016-06-24,1050,1071,1010,1058.65,254300,1055.05
2016-06-27,1066.65,1077.95,1058.05,1068.4,174700,1064.77
2016-06-28,1064,1092.25,1064,1090.25,180100,1086.54
2016-06-29,1105,1124,1096.6,1119.7,325800,1115.89
2016-06-30,1126,1136.6,1119.15,1128.85,340100,1125.01
2016-07-01,1164.95,1205,1152,1177.1,694900,1173.1
2016-07-04,1188.95,1190.65,1161.15,1165.8,231200,1161.84
2016-07-05,1169,1176.55,1150.1,1155.15,158200,1151.22
2016-07-06,1155.15,1155.15,1155.15,1155.15,0,1151.22
2016-07-07,1156.2,1169,1150,1157.05,149900,1153.12
2016-07-08,1163.85,1182.3,1150.9,1168,210700,1164.03
2016-07-11,1173,1196,1170.05,1186.9,254400,1182.87
2016-07-12,1183.35,1197,1177.1,1185.6,193800,1181.57
2016-07-13,1182,1195,1151.05,1158.6,232100,1154.66
2016-07-14,1154.8,1170.3,1146.1,1155.9,134800,1151.97
2016-07-15,1158,1166.2,1137.5,1142.6,191700,1138.72
2016-07-18,1149,1158.4,1134.2,1138,125000,1134.13
2016-07-19,1140,1144.8,1120.35,1130.75,100300,1126.91
2016-07-20,1122,1180,1122,1177,310500,1173
2016-07-21,1175,1179.8,1151.6,1159.45,303500,1159.45
2016-07-22,1159.45,1174,1150,1169.1,203700,1169.1
2016-07-25,1162.2,1179.7,1160,1165.85,245200,1165.85
